clip_filename,true_reps,notes
barbell biceps curl_1.mp4,1,
barbell biceps curl_10.mp4,1,
barbell biceps curl_11.mp4,1,side angle not front but proper 1 rep 
barbell biceps curl_12.mp4,1.5,1 rep and one was half rep
barbell biceps curl_13.mp4,1,side angle not front 
barbell biceps curl_14.mp4,1,"curl 14 , 15 , 16 and 17 are same 1 rep video"
barbell biceps curl_15.mp4,1,"curl 14 , 15 , 16 and 17 are same 1 rep video"
barbell biceps curl_16.mp4,1,"curl 14 , 15 , 16 and 17 are same 1 rep video"
barbell biceps curl_17.mp4,1,"curl 14 , 15 , 16 and 17 are same 1 rep video"
barbell biceps curl_18.mp4,1,side angle not front but proper 1 rep
barbell biceps curl_19.mp4,1,side angle not front but proper 1 rep and 18 and 19 same video
barbell biceps curl_2.mp4,1,front holding rod one proper rep
barbell biceps curl_20.mp4,1,"side angle not front but proper 1 rep curl 20 ,21 and 22 are same vide"
barbell biceps curl_21.mp4,1,"side angle not front but proper 1 rep curl 20 ,21 and 22 are same vide"
barbell biceps curl_22.mp4,1,"side angle not front but proper 1 rep curl 20 ,21 and 22 are same vide"
barbell biceps curl_23.mp4,1,front holding rod one proper rep
barbell biceps curl_24.mp4,1,same as 23
barbell biceps curl_25.mp4,1,same as 23
barbell biceps curl_26.mp4,1,same as 23
barbell biceps curl_27.mp4,1,same as curl 20 video
barbell biceps curl_28.mp4,1,same as curl 20 video
barbell biceps curl_29.mp4,1,same as curl 20 video
barbell biceps curl_3.mp4,1,holding rod front one rep video
barbell biceps curl_30.mp4,1,bad for demo
barbell biceps curl_31.mp4,1,side one rep curl bicep
barbell biceps curl_32.mp4,1,same as 31
barbell biceps curl_33.mp4,1,same as 31
barbell biceps curl_34.mp4,1,same as 31
barbell biceps curl_35.mp4,1,same as 31
barbell biceps curl_36.mp4,1,same as 31 
barbell biceps curl_37.mp4,1,front holding rod one proper rep
barbell biceps curl_38.mp4,1,same as 37
barbell biceps curl_39.mp4,1,same as 37
barbell biceps curl_4.mp4,1,1 second video of ful rep 
barbell biceps curl_40.mp4,3,three reps 
barbell biceps curl_41.mp4,1,bad for demo
barbell biceps curl_42.mp4,1,one slow proper front facing rep 
barbell biceps curl_43.mp4,1,video with audio saying first left the rod hold up little then put down teaching proper 1 rep 
barbell biceps curl_44.mp4,3,three reps 
barbell biceps curl_45.mp4,4,front angle camera doing 4 reps 
barbell biceps curl_46.mp4,1,side angle women doing 1 rep with holding rode 
barbell biceps curl_47.mp4,2,2 reps 
barbell biceps curl_48.mp4,1,front angle 1 rep
barbell biceps curl_49.mp4,1,side angle 1 rep
barbell biceps curl_5.mp4,1,bad for demo
barbell biceps curl_50.mp4,1,one rep showing person back angle 
barbell biceps curl_51.mp4,3,3 front facing reps in last moment person lefts the rod up but video was short so it would be 4 but 3 reps 
barbell biceps curl_52.mp4,3,3 rep zooming on elbow joint 
barbell biceps curl_53.mp4,1,bad for demo
barbell biceps curl_54.mp4,3,3 front facing reps
barbell biceps curl_55.mp4,2,2 reps 
barbell biceps curl_56.mp4,1,bad for demo
barbell biceps curl_57.mp4,1,2 back angle of body of person reps 
barbell biceps curl_58.mp4,3,3 reps of back angle 
barbell biceps curl_59.mp4,3,3 reps of back angle 
barbell biceps curl_6.mp4,1,one slow proper back facing to camera 
barbell biceps curl_60.mp4,3,3 reps of back angle 
barbell biceps curl_61.mp4,1,side angle  proper rep
barbell biceps curl_62.mp4,1,side angle proper rep
barbell biceps curl_7.mp4,1,front face 1 ful rep and 1 half then more rep 
barbell biceps curl_8.mp4,1,bad for demo
barbell biceps curl_9.mp4,1,bad for demo
