landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.503006,0.079814,-0.096095,0.751856,0.483025,0.05159,-0.099068,0.833059,0.46935,0.05963,-0.108371,0.804727,0.479316,0.064674,-0.111174,0.770622,0.526642,0.056737,-0.12356,0.842073,0.529021,0.062229,-0.12524,0.846017,0.515673,0.084564,-0.115434,0.832308,0.442027,0.089821,-0.046846,0.790124,0.555536,0.085558,-0.041635,0.827591,0.483992,0.121288,-0.077331,0.809424,0.522259,0.119734,-0.096604,0.827796,0.399429,0.278689,0.003963,0.806007,0.581816,0.292465,-0.011617,0.923126,0.361754,0.480146,-0.01715,0.797063,0.530358,0.488743,0.006096,0.912045,0.323632,0.681885,-0.001341,0.789523,0.690231,0.539223,-0.001677,0.958655,0.321492,0.718557,0.013949,0.796403,0.671663,0.727328,0.01856,0.799652,0.314195,0.691818,0.013122,0.842236,0.687419,0.706504,0.01973,0.799835,0.320442,0.705933,0.012841,0.810516,0.672733,0.706631,0.023871,0.856862,0.439929,0.630531,0.011865,0.827868,0.552546,0.631135,0.004783,0.952171,0.430242,0.829761,0.006746,0.776541,0.563666,0.826762,-0.002296,0.782628,0.430868,0.997361,0.002154,0.776651,0.559052,0.991541,-0.008905,0.739232,0.42139,1.022999,0.014485,0.818677,0.574791,1.027128,0.01928,0.786518,0.444605,1.04713,-0.018696,0.825925,0.577977,1.053456,-0.027334,0.818378,0,synthetic/back/adult/bad_form_arms_only,synthetic_bad_form_arms_only_00000.mp4,back,adult,0,bad_form_arms_only,synthetic
0.502931,0.085437,-0.106062,0.815261,0.492207,0.051268,-0.114438,0.78332,0.455902,0.069035,-0.117542,0.815537,0.468066,0.074696,-0.121424,0.818585,0.507471,0.069027,-0.126073,0.805612,0.536502,0.05131,-0.113447,0.818948,0.537028,0.074796,-0.116601,0.78178,0.447065,0.097065,-0.054909,0.739664,0.551527,0.095512,-0.058133,0.774365,0.467974,0.1238,-0.076308,0.750757,0.505627,0.121482,-0.089074,0.797421,0.38997,0.282095,0.011039,0.862158,0.610963,0.285947,0.009498,0.9504,0.354299,0.484615,0.007387,0.753522,0.484785,0.446938,0.007809,0.958971,0.32771,0.675936,0.005872,0.784251,0.419006,0.615095,-0.003709,0.932944,0.329056,0.726869,0.016034,0.831745,0.660856,0.720577,0.016538,0.804664,0.314893,0.706164,0.015673,0.823029,0.695884,0.702216,0.006243,0.785832,0.318689,0.706224,0.029333,0.804659,0.690141,0.70413,0.020634,0.769885,0.41979,0.619627,-0.013163,0.832684,0.548219,0.62145,-0.009344,0.918131,0.432961,0.821925,-0.006181,0.790277,0.5804,0.8152,-0.01228,0.842632,0.428161,1.011239,-0.002506,0.812439,0.581769,1.011935,0.000196,0.818552,0.429021,1.023709,0.017193,0.78217,0.581731,1.018098,0.018534,0.825113,0.432949,1.035075,-0.030557,0.79002,0.571921,1.040185,-0.025457,0.811502,1,synthetic/back/adult/bad_form_arms_only,synthetic_bad_form_arms_only_00001.mp4,back,adult,0,bad_form_arms_only,synthetic
0.498841,0.081188,-0.099177,0.825302,0.48168,0.062518,-0.130397,0.768622,0.479087,0.050599,-0.131057,0.822163,0.455797,0.076226,-0.124975,0.819655,0.52256,0.055127,-0.118653,0.761043,0.523646,0.052101,-0.126033,0.786108,0.543338,0.070913,-0.1251,0.849404,0.441293,0.087459,-0.050468,0.806795,0.537838,0.090644,-0.049402,0.806967,0.47438,0.116354,-0.078229,0.82601,0.507051,0.10986,-0.079128,0.800562,0.400938,0.27931,-0.004236,0.794328,0.594624,0.288456,0.003337,0.947406,0.347206,0.470126,-0.004981,0.819707,0.501221,0.45848,0.014852,0.947857,0.328731,0.686331,0.005925,0.798257,0.66039,0.547368,-0.000193,0.92695,0.318714,0.724909,0.02562,0.814294,0.682379,0.712085,0.009462,0.832833,0.329605,0.696605,0.017912,0.748499,0.669689,0.694462,0.015729,0.81995,0.319993,0.693856,0.018104,0.795506,0.71351,0.697943,0.017359,0.816795,0.427389,0.612693,-0.00639,0.762203,0.578584,0.62089,0.001157,0.945435,0.423796,0.806997,0.001822,0.790707,0.570877,0.816202,-0.00798,0.805945,0.436505,0.998778,-0.00553,0.825828,0.565593,0.995902,0.005938,0.813948,0.405791,1.029206,0.01867,0.77651,0.570093,1.015832,0.007247,0.841523,0.429076,1.03467,-0.030827,0.792782,0.569863,1.028003,-0.04026,0.817461,2,synthetic/back/adult/bad_form_arms_only,synthetic_bad_form_arms_only_00002.mp4,back,adult,0,bad_form_arms_only,synthetic
0.503127,0.084642,-0.101326,0.835007,0.479491,0.049598,-0.133503,0.804539,0.464938,0.075077,-0.126137,0.787706,0.463809,0.054739,-0.120197,0.813151,0.531427,0.060111,-0.114475,0.805645,0.519969,0.054145,-0.126131,0.776737,0.534642,0.060982,-0.116867,0.807664,0.440428,0.086166,-0.057118,0.860794,0.550065,0.108138,-0.060533,0.758551,0.466116,0.115206,-0.076207,0.809389,0.513561,0.120281,-0.079788,0.765643,0.39952,0.284757,-0.003615,0.827292,0.58781,0.288487,-0.008414,0.928881,0.343078,0.485931,-0.015326,0.781829,0.542201,0.480242,-0.008381,0.905676,0.32876,0.678874,-0.001305,0.797903,0.607576,0.64976,-0.018207,0.933448,0.315389,0.714387,0.023888,0.82326,0.674877,0.721333,0.023834,0.792904,0.308725,0.7039,0.005451,0.842248,0.682833,0.718642,0.01986,0.833549,0.311647,0.695111,0.016727,0.78509,0.67672,0.688458,0.009768,0.796481,0.428315,0.607135,-0.023745,0.729048,0.575628,0.62108,-0.017541,0.940679,0.420068,0.826637,0.010759,0.757252,0.553021,0.824754,0.002015,0.872003,0.434903,1.00022,0.002746,0.756553,0.565904,0.999795,0.015483,0.753229,0.43315,1.020532,0.019842,0.806518,0.588533,1.019151,0.024093,0.816171,0.425835,1.04601,-0.015328,0.793862,0.578976,1.038107,-0.024426,0.771842,3,synthetic/back/adult/bad_form_arms_only,synthetic_bad_form_arms_only_00003.mp4,back,adult,0,bad_form_arms_only,synthetic
0.512044,0.069345,-0.101635,0.779824,0.483667,0.063847,-0.118804,0.806812,0.473262,0.060374,-0.122673,0.781839,0.472982,0.070261,-0.129243,0.834072,0.533572,0.056348,-0.121717,0.785813,0.540785,0.050901,-0.098394,0.821201,0.540159,0.060291,-0.120092,0.846161,0.441407,0.081429,-0.049917,0.798556,0.558531,0.09827,-0.042843,0.828045,0.481576,0.110053,-0.077449,0.735953,0.513019,0.103202,-0.074399,0.803553,0.409088,0.277582,-0.001391,0.822173,0.59528,0.294018,0.003273,0.927054,0.343249,0.489781,0.001061,0.773818,0.532703,0.477352,-0.008476,0.998117,0.341942,0.686229,0.006233,0.78409,0.689552,0.570659,-0.001844,0.941044,0.317457,0.725232,0.02417,0.757738,0.682222,0.711216,0.025029,0.75033,0.308763,0.693075,0.029397,0.789442,0.680072,0.707846,0.018635,0.789152,0.324047,0.700418,0.017813,0.835426,0.686412,0.701116,0.01437,0.868127,0.425046,0.628131,0.00068,0.832796,0.578366,0.613812,0.003048,0.96925,0.425006,0.821762,-0.010767,0.826629,0.572689,0.801452,-0.010745,0.79611,0.441135,1.004662,0.0054,0.829725,0.577492,1.002891,0.004217,0.815565,0.409007,1.02748,0.010977,0.814583,0.577505,1.025625,0.021801,0.817598,0.424327,1.034767,-0.021719,0.851641,0.570965,1.035268,-0.020799,0.8193,4,synthetic/back/adult/bad_form_arms_only,synthetic_bad_form_arms_only_00004.mp4,back,adult,0,bad_form_arms_only,synthetic
0.498794,0.081879,-0.110349,0.805041,0.487114,0.051867,-0.12395,0.761671,0.473905,0.06917,-0.107117,0.817853,0.451901,0.068596,-0.116702,0.814874,0.517634,0.048707,-0.120712,0.819204,0.531855,0.067453,-0.127382,0.779742,0.529342,0.071094,-0.126725,0.813264,0.45049,0.10563,-0.058625,0.781264,0.546987,0.100917,-0.04949,0.807726,0.476149,0.123179,-0.078723,0.789142,0.527847,0.118536,-0.08924,0.838491,0.399717,0.272136,0.002069,0.799637,0.601816,0.263074,0.005664,0.973626,0.352023,0.494519,0.001087,0.819652,0.502086,0.4366,-0.006158,0.919534,0.34118,0.675191,0.001428,0.772093,0.659638,0.504193,-0.01271,0.879044,0.304111,0.714072,0.024345,0.772051,0.673508,0.717374,0.022151,0.800607,0.318743,0.692059,0.011456,0.856712,0.694836,0.704435,0.019484,0.831262,0.323382,0.707464,0.03445,0.876128,0.67957,0.699231,0.0072,0.805495,0.417041,0.616134,0.002224,0.851115,0.550782,0.598085,0.005252,0.887806,0.427208,0.825842,-0.00367,0.754608,0.571852,0.828814,-0.005057,0.814591,0.432231,1.004533,-0.000463,0.752584,0.563407,1.002998,-0.0093,0.816349,0.41509,1.012472,0.018319,0.853818,0.558993,1.010918,0.017448,0.798669,0.43802,1.045663,-0.014472,0.789777,0.568762,1.04259,-0.042902,0.83517,5,synthetic/back/adult/bad_form_arms_only,synthetic_bad_form_arms_only_00005.mp4,back,adult,0,bad_form_arms_only,synthetic
0.511384,0.072714,-0.094703,0.816903,0.482252,0.065971,-0.116153,0.759426,0.466417,0.065435,-0.112385,0.799791,0.446884,0.054287,-0.122012,0.83355,0.51203,0.058547,-0.133201,0.840996,0.537724,0.070025,-0.10586,0.763961,0.529826,0.053822,-0.119028,0.788114,0.444771,0.09425,-0.05382,0.846224,0.559998,0.095221,-0.053142,0.778941,0.479994,0.131678,-0.084642,0.794113,0.523808,0.131669,-0.073601,0.818606,0.397472,0.263723,0.003873,0.797132,0.585666,0.292064,-0.022019,0.962555,0.343563,0.473777,-0.017865,0.817023,0.524137,0.492344,0.013353,0.983416,0.349252,0.684627,-0.013318,0.735547,0.704824,0.50948,0.010101,0.95326,0.311206,0.721865,0.033357,0.797084,0.685021,0.72737,0.007132,0.802605,0.299274,0.684779,0.01681,0.813077,0.688758,0.704662,0.024082,0.818673,0.326451,0.687304,0.032579,0.835957,0.668346,0.711034,-0.007529,0.796345,0.420792,0.622226,0.002133,0.799157,0.561213,0.619572,0.020083,0.98088,0.435638,0.826921,0.005619,0.829006,0.556419,0.81872,-0.001563,0.826763,0.430698,0.995564,-0.003884,0.834967,0.566318,1.011036,-0.003791,0.802862,0.417388,1.016609,0.022008,0.807918,0.576876,1.023456,0.004743,0.818061,0.423781,1.042108,-0.033138,0.80455,0.581699,1.047334,-0.032425,0.774788,6,synthetic/back/adult/bad_form_arms_only,synthetic_bad_form_arms_only_00006.mp4,back,adult,0,bad_form_arms_only,synthetic
0.483755,0.072018,-0.103535,0.837655,0.48253,0.05869,-0.139298,0.77405,0.473768,0.054987,-0.118527,0.793728,0.456063,0.057797,-0.120191,0.779693,0.522007,0.053915,-0.12189,0.803972,0.54348,0.052249,-0.117689,0.82364,0.539112,0.062685,-0.112347,0.762993,0.449706,0.104652,-0.064972,0.780348,0.54314,0.101491,-0.04456,0.832088,0.481197,0.136924,-0.063894,0.808269,0.519546,0.118774,-0.068856,0.790539,0.397195,0.273566,0.01647,0.763964,0.605134,0.275505,-0.00455,0.968899,0.341412,0.481678,-0.00104,0.842807,0.518998,0.458909,-0.000525,0.957223,0.33215,0.67834,0.001592,0.835025,0.597493,0.613361,-0.014347,0.993092,0.316186,0.726858,0.0235,0.764715,0.678953,0.724418,0.021909,0.82439,0.313083,0.707837,0.037134,0.790345,0.695019,0.692247,0.013347,0.859358,0.321713,0.681927,0.017758,0.796402,0.6759,0.712775,0.01421,0.753945,0.428148,0.620175,-0.022247,0.780237,0.554652,0.620931,-0.006819,0.985658,0.425426,0.812139,0.000474,0.79286,0.575816,0.813814,-0.005696,0.787437,0.433913,0.995989,-0.003127,0.799127,0.55047,1.00985,-0.002798,0.785206,0.423868,1.030842,0.023962,0.795214,0.578086,1.023135,0.00258,0.832788,0.432985,1.053093,-0.016688,0.851853,0.579189,1.050058,-0.022385,0.809177,7,synthetic/back/adult/bad_form_arms_only,synthetic_bad_form_arms_only_00007.mp4,back,adult,0,bad_form_arms_only,synthetic
0.493871,0.0774,-0.084201,0.782964,0.48375,0.061821,-0.117863,0.807675,0.478867,0.051513,-0.127748,0.84122,0.443686,0.060909,-0.119217,0.746049,0.526436,0.067117,-0.12557,0.840669,0.532898,0.058315,-0.124684,0.815264,0.538659,0.083766,-0.111357,0.846635,0.445266,0.105944,-0.058918,0.811502,0.551154,0.098862,-0.057589,0.810164,0.467716,0.121719,-0.074635,0.803279,0.519749,0.116859,-0.083044,0.7947,0.408298,0.296179,0.012656,0.775908,0.588329,0.265005,-0.010671,0.953026,0.368594,0.486578,-0.012766,0.832346,0.522581,0.457597,-0.001461,0.933395,0.343979,0.688337,0.000849,0.746737,0.661058,0.56171,0.013342,0.935635,0.312158,0.734443,0.024106,0.798528,0.678577,0.731522,0.021982,0.818388,0.304684,0.697663,0.012663,0.778892,0.696103,0.692642,0.020878,0.794328,0.314254,0.695539,0.020104,0.785767,0.688033,0.689588,0.022625,0.783139,0.41631,0.614761,0.005165,0.784059,0.585515,0.621149,-0.003152,0.888306,0.440603,0.818361,-0.005254,0.839978,0.579147,0.820225,-0.001536,0.751375,0.427988,0.998773,0.002789,0.77104,0.579279,1.001322,0.003146,0.737615,0.421035,1.015378,0.021962,0.785352,0.57882,1.028722,0.030736,0.799042,0.434324,1.049014,-0.014224,0.762348,0.573767,1.0437,-0.04201,0.818888,8,synthetic/back/adult/bad_form_arms_only,synthetic_bad_form_arms_only_00008.mp4,back,adult,0,bad_form_arms_only,synthetic
0.495425,0.07893,-0.100282,0.783921,0.486617,0.049968,-0.114434,0.78107,0.477648,0.063777,-0.117476,0.735814,0.452066,0.068698,-0.111114,0.743096,0.528375,0.070508,-0.12562,0.811347,0.518386,0.045452,-0.129696,0.76409,0.543758,0.079612,-0.123272,0.76493,0.450912,0.106503,-0.048407,0.75737,0.549432,0.097691,-0.046347,0.822309,0.483663,0.129296,-0.093701,0.803305,0.508246,0.110246,-0.09043,0.792457,0.398653,0.285603,0.012116,0.743106,0.60258,0.279995,-0.004809,0.910015,0.3707,0.467507,0.001211,0.759771,0.514834,0.459876,0.007096,0.910806,0.327842,0.668723,0.00372,0.779676,0.586945,0.623859,-0.00162,0.916688,0.319861,0.741211,0.026917,0.804231,0.676447,0.7145,0.033587,0.810727,0.296924,0.706258,0.020069,0.7517,0.69359,0.704098,0.025597,0.789255,0.317351,0.692667,0.011546,0.78163,0.675809,0.706244,0.02261,0.754689,0.407508,0.621528,-0.001886,0.770389,0.570496,0.637911,-0.011903,0.913022,0.417443,0.817969,0.017197,0.821271,0.568795,0.808685,0.000522,0.829613,0.422461,0.994456,0.004634,0.823,0.580689,0.995631,-0.006994,0.827966,0.414383,1.025942,0.021342,0.763976,0.593412,1.00728,0.015655,0.805733,0.44326,1.035598,-0.01906,0.816647,0.576825,1.040093,-0.008363,0.79797,9,synthetic/back/adult/bad_form_arms_only,synthetic_bad_form_arms_only_00009.mp4,back,adult,0,bad_form_arms_only,synthetic
