landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.495972,0.076067,-0.11249,0.77366,0.478185,0.043054,-0.126602,0.761024,0.487201,0.038005,-0.123189,0.769059,0.455332,0.082396,-0.113876,0.805641,0.513118,0.052294,-0.112319,0.791611,0.528064,0.057385,-0.126524,0.834626,0.545595,0.069782,-0.119002,0.847492,0.451996,0.117706,-0.053836,0.795361,0.555234,0.095671,-0.037826,0.785209,0.492349,0.115179,-0.094211,0.779358,0.520413,0.107213,-0.081351,0.810159,0.408219,0.28123,-0.001907,0.775605,0.592442,0.280131,0.00091,0.933979,0.351477,0.483923,-0.001158,0.825571,0.403782,0.32041,0.00523,0.986054,0.323487,0.673653,-0.020792,0.763458,0.410578,0.495691,-0.000137,0.983681,0.320412,0.716042,0.030298,0.831697,0.683121,0.719969,0.018921,0.771568,0.317125,0.705986,0.011184,0.780088,0.687401,0.706078,0.027008,0.815633,0.322207,0.69429,0.014857,0.779165,0.671141,0.697701,0.026326,0.803787,0.428763,0.625154,-0.011564,0.785885,0.582733,0.625985,-0.008925,0.986281,0.422863,0.81157,-0.004615,0.836277,0.564207,0.823194,-0.001614,0.775299,0.436909,1.00094,-0.008698,0.749807,0.554839,0.996885,-0.005929,0.766325,0.415683,1.029382,0.02639,0.820038,0.583768,1.018724,0.015353,0.821339,0.430367,1.036153,-0.02214,0.789661,0.565973,1.055771,-0.019308,0.779602,0,synthetic/back/adult/good_form,synthetic_good_form_00000.mp4,back,adult,1,good_form,synthetic
0.496951,0.090968,-0.099673,0.826413,0.483631,0.066605,-0.119825,0.724502,0.46884,0.055552,-0.131396,0.805435,0.454339,0.062926,-0.13343,0.813056,0.526142,0.062808,-0.109386,0.766683,0.531466,0.062135,-0.118562,0.834543,0.561934,0.069232,-0.108975,0.806921,0.452448,0.09951,-0.042544,0.851395,0.561619,0.116532,-0.047605,0.81022,0.485401,0.112901,-0.089163,0.803194,0.51379,0.114519,-0.084355,0.775502,0.40842,0.275837,-0.000191,0.734058,0.61306,0.282568,0.002658,0.930151,0.340381,0.468287,-0.003436,0.830576,0.42777,0.344139,0.011081,0.947867,0.306091,0.682911,-0.000804,0.780316,0.554421,0.45885,0.004644,0.947608,0.325774,0.712938,0.017468,0.834351,0.69068,0.713678,0.030006,0.767709,0.306429,0.697537,0.019001,0.791679,0.696683,0.695046,0.012843,0.819807,0.314849,0.696006,0.009172,0.808238,0.686673,0.699983,0.012377,0.790569,0.413481,0.615781,-0.021402,0.794724,0.578878,0.614869,0.007357,0.950547,0.423067,0.811214,0.001216,0.770424,0.5789,0.815919,0.012082,0.771509,0.426839,1.004664,0.002545,0.781493,0.580992,1.003464,0.007187,0.781292,0.419447,1.024195,0.001552,0.80358,0.58242,1.022985,0.02335,0.767312,0.425393,1.056137,-0.024176,0.814973,0.545554,1.037768,-0.013502,0.792051,1,synthetic/back/adult/good_form,synthetic_good_form_00001.mp4,back,adult,1,good_form,synthetic
0.516569,0.089108,-0.101576,0.770854,0.473668,0.061318,-0.122139,0.781389,0.482227,0.055692,-0.097133,0.822275,0.455499,0.067444,-0.120986,0.795112,0.517667,0.056583,-0.127836,0.803435,0.523547,0.061848,-0.121376,0.796996,0.546433,0.065495,-0.113365,0.825181,0.44844,0.118948,-0.048246,0.769301,0.55529,0.106353,-0.042348,0.776264,0.488197,0.133524,-0.085834,0.769554,0.512468,0.133109,-0.077019,0.772943,0.406286,0.276508,-0.00736,0.75757,0.60927,0.264446,-0.000986,0.952784,0.344407,0.480284,-0.001906,0.835399,0.416285,0.300866,-0.002224,0.919866,0.338577,0.680364,0.000606,0.745551,0.256227,0.375082,0.008791,0.961538,0.32092,0.71922,0.016183,0.818274,0.673427,0.728456,0.012631,0.832535,0.298725,0.688545,0.023852,0.828011,0.691361,0.702932,0.023395,0.84147,0.325094,0.71082,0.018289,0.809215,0.689731,0.691926,0.024455,0.821357,0.434305,0.614368,-0.010447,0.790379,0.579811,0.618826,-0.012329,0.996161,0.437498,0.819375,-0.009894,0.820691,0.574335,0.822558,-0.007613,0.783861,0.423775,0.998276,0.004173,0.758525,0.577764,0.995148,-0.004944,0.840059,0.417218,1.023621,0.016718,0.776712,0.574346,1.028598,0.006642,0.836209,0.436766,1.053355,-0.023727,0.804043,0.578931,1.040954,-0.009771,0.825367,2,synthetic/back/adult/good_form,synthetic_good_form_00002.mp4,back,adult,1,good_form,synthetic
0.503729,0.079785,-0.099124,0.820106,0.489229,0.065067,-0.126536,0.826387,0.472438,0.062924,-0.131588,0.829827,0.458985,0.063882,-0.119642,0.809985,0.518526,0.053988,-0.119831,0.815243,0.530893,0.073741,-0.112321,0.834055,0.535482,0.085065,-0.116554,0.8298,0.440295,0.107324,-0.048522,0.753788,0.556282,0.098828,-0.054946,0.769853,0.483892,0.1218,-0.078698,0.768568,0.528384,0.130142,-0.092078,0.817477,0.402448,0.286677,0.010453,0.821161,0.599111,0.284762,-0.005625,1.0,0.343298,0.480634,-0.00872,0.779791,0.419042,0.367674,0.000803,0.971113,0.332181,0.681387,0.003798,0.8329,0.583564,0.433535,0.004779,0.949754,0.303651,0.729227,0.027228,0.838044,0.682683,0.718692,0.025151,0.779753,0.312257,0.703004,0.024223,0.819677,0.69997,0.678333,0.024661,0.849833,0.322626,0.697235,0.025539,0.813259,0.682145,0.697666,0.024034,0.786812,0.436267,0.615854,0.011345,0.786875,0.566914,0.619236,0.003003,0.920563,0.420142,0.818205,-0.00653,0.789734,0.571242,0.80601,0.006328,0.7957,0.434109,1.005365,-0.004726,0.818836,0.57264,1.003279,0.012782,0.766388,0.424618,1.030641,0.02645,0.799259,0.572732,1.028105,0.026355,0.796655,0.424705,1.052366,-0.035511,0.842326,0.56771,1.049971,-0.017208,0.816311,3,synthetic/back/adult/good_form,synthetic_good_form_00003.mp4,back,adult,1,good_form,synthetic
0.482021,0.088887,-0.107351,0.821305,0.481797,0.059292,-0.126334,0.793634,0.473304,0.045462,-0.120249,0.803642,0.45833,0.071249,-0.123241,0.783499,0.498571,0.072307,-0.115784,0.804544,0.523211,0.069764,-0.11945,0.806602,0.53264,0.063828,-0.116054,0.799125,0.466331,0.100456,-0.052258,0.812478,0.557838,0.102509,-0.05923,0.752661,0.479104,0.12453,-0.075828,0.806669,0.527676,0.126382,-0.063848,0.844557,0.376231,0.287091,-0.008448,0.844146,0.609128,0.275009,0.010371,0.963672,0.352391,0.474337,0.000276,0.801412,0.425793,0.354372,-0.006123,0.938218,0.33414,0.67864,0.003249,0.762633,0.5516,0.474592,-0.005506,0.910829,0.319517,0.722144,0.020944,0.823421,0.68011,0.711548,0.018603,0.798,0.317318,0.712893,0.017905,0.746338,0.684148,0.683072,0.034304,0.814682,0.315083,0.685168,0.023781,0.794573,0.683589,0.706211,0.010688,0.769251,0.425646,0.615913,-0.001304,0.78574,0.571749,0.612378,-0.005601,0.939567,0.428465,0.8222,-0.020172,0.808086,0.564722,0.817698,0.006062,0.813984,0.434573,0.999456,0.00303,0.814416,0.578235,0.996437,0.006233,0.814549,0.418661,1.018119,0.001638,0.777089,0.58329,1.021772,0.018478,0.749208,0.422482,1.043096,-0.019132,0.766903,0.579272,1.037098,-0.026939,0.770838,4,synthetic/back/adult/good_form,synthetic_good_form_00004.mp4,back,adult,1,good_form,synthetic
0.483444,0.087474,-0.106465,0.818838,0.49015,0.063744,-0.124264,0.784629,0.462859,0.06444,-0.127717,0.785306,0.445144,0.082612,-0.122292,0.783564,0.543086,0.053069,-0.12518,0.814419,0.528706,0.071062,-0.122244,0.70239,0.533389,0.087735,-0.11261,0.807632,0.436565,0.106499,-0.057555,0.809289,0.547178,0.099415,-0.055308,0.782877,0.479766,0.123526,-0.084594,0.776248,0.5181,0.126854,-0.083723,0.825807,0.417296,0.287275,0.020996,0.783322,0.591174,0.263916,0.002938,0.909127,0.348723,0.48299,-0.001492,0.784441,0.3936,0.288789,0.003269,0.88615,0.3268,0.676709,0.001462,0.794104,0.24227,0.38936,0.002587,0.967201,0.331118,0.714804,0.027305,0.817561,0.682264,0.709329,0.021553,0.839724,0.319776,0.704085,0.018509,0.707104,0.682251,0.700741,0.016661,0.832333,0.327801,0.705219,0.012345,0.792774,0.684939,0.695033,0.018016,0.813453,0.426689,0.610954,0.00251,0.79527,0.569074,0.622664,0.009337,0.935385,0.424338,0.793092,-0.018973,0.790009,0.568403,0.818418,-0.021859,0.81736,0.4149,1.004907,-0.009885,0.79846,0.565854,1.017889,-0.002085,0.80355,0.407465,1.018538,0.012218,0.803496,0.570257,1.017658,0.004624,0.777141,0.442346,1.0373,-0.015886,0.840548,0.566647,1.023967,-0.030244,0.756519,5,synthetic/back/adult/good_form,synthetic_good_form_00005.mp4,back,adult,1,good_form,synthetic
0.508687,0.087966,-0.096044,0.816045,0.490923,0.054033,-0.109954,0.82895,0.473398,0.066615,-0.118174,0.783506,0.470172,0.061534,-0.103832,0.810342,0.52425,0.066776,-0.109357,0.817521,0.531283,0.059773,-0.122138,0.870204,0.540746,0.064846,-0.117804,0.782721,0.439362,0.114311,-0.030656,0.844556,0.544115,0.110075,-0.042892,0.785353,0.483262,0.124427,-0.07098,0.786851,0.533895,0.134946,-0.085613,0.81443,0.402296,0.278446,-0.011811,0.794345,0.596178,0.277913,0.002263,0.915816,0.353901,0.475336,0.005202,0.790695,0.441866,0.391579,-0.000597,0.90491,0.326477,0.675601,-0.011245,0.795147,0.511382,0.566631,0.00454,0.897999,0.318702,0.729268,0.021492,0.824104,0.677213,0.717162,0.010599,0.779121,0.301188,0.694406,0.032261,0.820137,0.679773,0.700403,0.017382,0.840191,0.336897,0.705004,0.019613,0.777542,0.678202,0.699207,0.011622,0.794962,0.443177,0.617271,0.002957,0.836719,0.58415,0.619996,0.009169,0.973603,0.451037,0.815416,-0.001567,0.805596,0.574432,0.812572,-0.008104,0.803955,0.427343,1.003031,-0.004115,0.810226,0.575336,0.993225,-0.001868,0.811295,0.423688,1.014444,0.027114,0.829615,0.579681,1.019304,0.013278,0.782788,0.437758,1.048233,-0.025505,0.843153,0.567345,1.051845,-0.01722,0.78771,6,synthetic/back/adult/good_form,synthetic_good_form_00006.mp4,back,adult,1,good_form,synthetic
0.51582,0.072205,-0.083092,0.826514,0.46763,0.056514,-0.121792,0.808631,0.47104,0.06475,-0.124825,0.792465,0.458189,0.074689,-0.119932,0.777485,0.518631,0.059036,-0.127397,0.797618,0.534199,0.056969,-0.123231,0.805561,0.54418,0.068501,-0.118788,0.791794,0.454813,0.09443,-0.058393,0.849054,0.544076,0.099453,-0.044749,0.781589,0.484704,0.112226,-0.080945,0.794336,0.511379,0.122699,-0.072117,0.797173,0.400023,0.277262,0.002702,0.721944,0.5931,0.278004,-0.008001,0.964961,0.347204,0.475003,0.006569,0.833597,0.418448,0.374341,-0.004185,0.91328,0.331165,0.688369,0.003822,0.826589,0.59243,0.438041,0.006591,0.987299,0.319566,0.715491,0.021863,0.816713,0.678491,0.716218,0.00231,0.760691,0.299642,0.71542,0.001877,0.836856,0.67756,0.690387,0.025331,0.76517,0.321686,0.700354,0.022683,0.795996,0.678852,0.700864,0.02539,0.774088,0.423343,0.621668,0.001346,0.798354,0.575325,0.611889,-0.003456,0.897435,0.434284,0.814206,-0.006412,0.716479,0.55535,0.810098,-0.005159,0.838768,0.424379,0.98668,-0.016805,0.841846,0.568618,0.997342,-0.004206,0.828275,0.42246,1.034909,0.022339,0.803411,0.587292,1.016739,0.033567,0.776096,0.438875,1.043999,-0.028517,0.807918,0.57662,1.036967,-0.024662,0.742851,7,synthetic/back/adult/good_form,synthetic_good_form_00007.mp4,back,adult,1,good_form,synthetic
0.500977,0.073831,-0.087528,0.78244,0.48028,0.049689,-0.115971,0.77532,0.476896,0.053421,-0.122189,0.767995,0.462455,0.075046,-0.127902,0.782921,0.504853,0.070532,-0.108745,0.829924,0.533784,0.066367,-0.11656,0.780623,0.534971,0.065871,-0.119523,0.817784,0.450982,0.112528,-0.058255,0.767282,0.547731,0.106822,-0.04316,0.788635,0.480492,0.107079,-0.084068,0.813744,0.528843,0.108474,-0.086062,0.757379,0.399167,0.280991,0.006823,0.757854,0.590172,0.293833,-0.004069,0.975711,0.345643,0.46929,0.006815,0.848617,0.392582,0.260615,-0.001613,0.955713,0.338922,0.675175,0.012737,0.813571,0.222973,0.323304,0.006238,0.947081,0.318605,0.724663,0.011745,0.797875,0.693694,0.701938,0.025456,0.824867,0.313592,0.688369,0.017596,0.861228,0.6874,0.704307,0.024576,0.761477,0.314282,0.707934,0.015363,0.783218,0.661739,0.705312,0.017573,0.77327,0.410247,0.611878,0.002145,0.856181,0.598321,0.6265,-0.007773,0.943303,0.42524,0.824435,-0.00399,0.773261,0.571837,0.812046,0.013999,0.826174,0.418795,1.008556,-0.005205,0.816008,0.569654,0.991172,-0.012765,0.77947,0.423825,1.025456,0.009694,0.829125,0.581107,1.028205,0.032433,0.799909,0.433952,1.023789,-0.018144,0.817782,0.567504,1.032817,-0.015674,0.777231,8,synthetic/back/adult/good_form,synthetic_good_form_00008.mp4,back,adult,1,good_form,synthetic
0.49999,0.095776,-0.10805,0.769854,0.476975,0.053129,-0.132284,0.763794,0.467553,0.067891,-0.123013,0.758426,0.464199,0.07022,-0.114295,0.795535,0.503545,0.055741,-0.114412,0.86503,0.541045,0.059007,-0.12409,0.778911,0.546999,0.074131,-0.103593,0.768667,0.450899,0.11405,-0.070068,0.821697,0.547073,0.091699,-0.0441,0.863636,0.473789,0.117251,-0.079068,0.815101,0.514959,0.125979,-0.075319,0.756298,0.393118,0.278707,-0.001613,0.778956,0.587167,0.275474,0.00382,0.957317,0.348281,0.47779,0.012545,0.775486,0.395493,0.240393,-0.011687,0.920129,0.338081,0.680842,0.004187,0.84256,0.230792,0.322552,-0.010732,0.955025,0.314735,0.723433,0.004658,0.798822,0.69165,0.719053,0.026526,0.812659,0.305756,0.705015,0.033344,0.770811,0.693803,0.692128,0.025868,0.7693,0.317078,0.699953,0.018799,0.794983,0.685408,0.701906,0.008448,0.781432,0.423763,0.620848,-0.008853,0.746435,0.581312,0.60969,-0.002511,0.885303,0.427873,0.825373,-0.011564,0.821437,0.578094,0.830282,-0.000534,0.7727,0.42364,1.019961,-0.004135,0.788646,0.589482,0.999411,0.010153,0.780667,0.427531,1.021102,0.026157,0.827734,0.587689,1.013843,0.012291,0.844214,0.426099,1.041144,-0.012183,0.754296,0.570361,1.035363,-0.028335,0.735935,9,synthetic/back/adult/good_form,synthetic_good_form_00009.mp4,back,adult,1,good_form,synthetic
0.497454,0.071253,-0.099287,0.78404,0.483579,0.054811,-0.120606,0.770075,0.467843,0.057573,-0.110032,0.782876,0.468657,0.072111,-0.122947,0.793034,0.529105,0.055861,-0.1149,0.814611,0.531129,0.077769,-0.121019,0.776645,0.543205,0.070563,-0.11634,0.811369,0.436804,0.105033,-0.045626,0.803272,0.55679,0.096643,-0.037431,0.825381,0.479633,0.131005,-0.070947,0.759752,0.531091,0.10708,-0.061578,0.836225,0.398535,0.283069,-0.009525,0.766109,0.599263,0.283038,-0.000319,0.931151,0.341896,0.48155,-0.001219,0.783866,0.423142,0.376284,-0.005909,0.891513,0.324432,0.684005,0.015631,0.783891,0.362692,0.552882,0.005989,0.959579,0.311158,0.709887,0.018704,0.822806,0.690275,0.723423,0.042822,0.774049,0.307708,0.693041,0.01998,0.819565,0.699939,0.696768,0.024778,0.820301,0.328695,0.703209,0.027969,0.798384,0.666599,0.708077,0.025163,0.759372,0.430657,0.615117,-0.005071,0.756407,0.594237,0.623912,0.007301,0.893705,0.432368,0.822769,-0.004494,0.815091,0.583559,0.820915,0.002242,0.760655,0.445334,0.974583,-0.003354,0.802961,0.564283,1.003905,0.003062,0.754943,0.415444,1.027927,0.038124,0.780405,0.57296,1.022939,0.026548,0.835963,0.425972,1.039194,-0.024938,0.797451,0.588079,1.042002,-0.028003,0.792825,10,synthetic/back/adult/good_form,synthetic_good_form_00010.mp4,back,adult,1,good_form,synthetic
0.49837,0.078403,-0.088844,0.780868,0.492764,0.080603,-0.115862,0.821738,0.466482,0.073006,-0.128083,0.798825,0.46274,0.068419,-0.116687,0.820517,0.525709,0.034663,-0.117233,0.797713,0.533019,0.071135,-0.139134,0.76488,0.532136,0.073805,-0.119168,0.813605,0.450228,0.105104,-0.061685,0.80232,0.551484,0.112654,-0.040108,0.846659,0.468186,0.11782,-0.064854,0.792843,0.528764,0.117032,-0.093378,0.765873,0.385738,0.281106,0.003736,0.785527,0.588535,0.267879,0.008292,0.948523,0.356412,0.470256,-0.008143,0.80984,0.397337,0.257647,-0.006847,0.930256,0.322657,0.685537,-0.013623,0.882317,0.458869,0.410931,-0.006117,0.966979,0.321317,0.723188,0.021021,0.776657,0.662659,0.710573,0.019582,0.826084,0.305139,0.70537,0.020541,0.771003,0.689027,0.698361,0.021821,0.823691,0.304999,0.692298,0.021949,0.816545,0.681798,0.705258,0.020318,0.811959,0.434985,0.622376,0.011995,0.826024,0.573326,0.61352,-0.005017,0.969461,0.428526,0.814217,0.012386,0.814581,0.558063,0.817288,-0.008558,0.848599,0.429403,1.001422,0.011939,0.811652,0.5737,0.987508,-0.006517,0.770455,0.418533,1.022676,0.038562,0.793153,0.578947,1.025474,-0.001107,0.771534,0.444532,1.038932,-0.013436,0.830332,0.579564,1.040411,-0.034301,0.813196,11,synthetic/back/adult/good_form,synthetic_good_form_00011.mp4,back,adult,1,good_form,synthetic
0.484519,0.085068,-0.091376,0.83665,0.494294,0.067173,-0.133932,0.774351,0.470799,0.067953,-0.119305,0.793973,0.455066,0.069244,-0.122242,0.801708,0.511363,0.072415,-0.134163,0.820833,0.541699,0.072771,-0.120083,0.772221,0.547471,0.069919,-0.117047,0.808053,0.450713,0.090067,-0.056559,0.805887,0.540461,0.083134,-0.057959,0.826569,0.4913,0.111121,-0.075778,0.762782,0.512283,0.116989,-0.082415,0.75654,0.414389,0.279385,-0.005262,0.788336,0.609441,0.301679,-0.009163,0.933721,0.34716,0.478142,0.006013,0.79703,0.400224,0.308257,-0.008294,0.923754,0.336352,0.674636,0.012205,0.746646,0.319379,0.457661,-0.009053,0.91722,0.32536,0.711239,0.029072,0.795095,0.690487,0.699943,0.020353,0.827329,0.300729,0.699156,0.009026,0.794116,0.690386,0.695285,0.012678,0.833136,0.328294,0.704616,0.014557,0.872425,0.681441,0.688218,0.032367,0.820572,0.431294,0.611904,-0.010698,0.756672,0.564143,0.626644,0.007023,0.942144,0.426376,0.816118,-0.00273,0.762358,0.568747,0.81216,-0.002737,0.814563,0.434742,0.987223,0.002862,0.832922,0.562876,1.005671,-0.005439,0.779862,0.434557,1.030595,0.02208,0.817489,0.565612,1.014334,0.018996,0.823329,0.432621,1.036098,-0.017442,0.804096,0.569914,1.055096,-0.015943,0.881468,12,synthetic/back/adult/good_form,synthetic_good_form_00012.mp4,back,adult,1,good_form,synthetic
