landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.493175,0.064315,-0.084239,0.77144,0.500028,0.060161,-0.117195,0.822803,0.468052,0.04311,-0.123763,0.795457,0.47016,0.057176,-0.112814,0.754193,0.5178,0.048995,-0.127779,0.800701,0.526616,0.061264,-0.113304,0.773079,0.539514,0.059382,-0.117141,0.803107,0.441469,0.098011,-0.046892,0.734189,0.557523,0.103692,-0.039741,0.833591,0.485465,0.125926,-0.085331,0.843543,0.536519,0.125284,-0.076685,0.779319,0.406123,0.295087,-0.008834,0.803574,0.592288,0.274566,-0.005136,0.891864,0.341558,0.49735,0.005037,0.774421,0.528056,0.435586,-0.013396,0.95906,0.333516,0.664876,-0.002914,0.799002,0.542027,0.597289,-0.004332,0.984664,0.321589,0.718084,0.024099,0.774359,0.682789,0.716734,0.021835,0.847051,0.311475,0.710058,0.006369,0.838305,0.691327,0.693497,0.024171,0.778132,0.321216,0.710022,0.020781,0.854188,0.678736,0.692377,0.010401,0.838782,0.449498,0.609105,-0.000993,0.764367,0.582523,0.611144,-0.004051,0.969875,0.422052,0.825333,-0.006275,0.803481,0.582061,0.821038,-0.002721,0.834006,0.43487,1.009735,-0.003648,0.809982,0.560493,0.999167,0.012634,0.795012,0.435042,1.026697,0.03256,0.80524,0.58108,1.013634,0.014388,0.802286,0.419614,1.054506,-0.024355,0.826168,0.568382,1.031664,-0.011919,0.834374,0,synthetic/back/children/bad_form_arms_only,synthetic_bad_form_arms_only_00000.mp4,back,children,0,bad_form_arms_only,synthetic
0.503724,0.066658,-0.099492,0.809345,0.480579,0.057418,-0.120027,0.824622,0.470873,0.070505,-0.111973,0.837257,0.450834,0.066645,-0.130785,0.82473,0.508538,0.069196,-0.1294,0.787001,0.528765,0.065093,-0.115572,0.755938,0.538682,0.078129,-0.121981,0.831973,0.442907,0.094932,-0.051165,0.767788,0.550783,0.10733,-0.047986,0.779355,0.471308,0.107343,-0.077834,0.743627,0.50573,0.114091,-0.074799,0.864908,0.388086,0.278715,-0.002476,0.794421,0.594136,0.267842,-0.022628,0.967344,0.36349,0.470472,0.005293,0.753089,0.53253,0.429895,0.002733,0.96282,0.336557,0.686325,-0.001517,0.783511,0.6231,0.547784,-0.007424,1.0,0.323711,0.711355,0.029601,0.803006,0.683938,0.72063,0.022762,0.818709,0.30232,0.692861,0.024112,0.798638,0.688598,0.702559,0.02701,0.816196,0.308508,0.710309,0.014987,0.828087,0.673631,0.706845,0.01726,0.769658,0.435651,0.624351,-0.005238,0.77289,0.561635,0.62671,0.006924,0.968987,0.439778,0.820262,0.005487,0.84911,0.561835,0.824415,0.01036,0.792487,0.431438,1.008018,0.002903,0.77866,0.568583,0.991152,0.003168,0.774888,0.415512,1.024608,0.00653,0.786803,0.574584,1.016595,0.018721,0.74816,0.429246,1.036209,-0.022061,0.788171,0.580977,1.048498,-0.014744,0.751555,1,synthetic/back/children/bad_form_arms_only,synthetic_bad_form_arms_only_00001.mp4,back,children,0,bad_form_arms_only,synthetic
0.495428,0.066868,-0.102154,0.762636,0.471328,0.06006,-0.121965,0.81179,0.470158,0.072676,-0.128547,0.83031,0.453841,0.07582,-0.131397,0.833044,0.525829,0.054318,-0.113911,0.80468,0.529904,0.054464,-0.119666,0.765859,0.534138,0.072168,-0.108182,0.780936,0.451299,0.100577,-0.059172,0.771558,0.568555,0.108517,-0.047731,0.791239,0.488405,0.119023,-0.070064,0.759163,0.516363,0.12375,-0.085817,0.83002,0.399858,0.279648,-0.0125,0.832434,0.616049,0.266641,-0.012675,0.963552,0.348643,0.493193,-0.011133,0.774812,0.514014,0.41424,-0.011543,1.0,0.347282,0.678864,-0.006496,0.796374,0.566914,0.556994,-0.007829,0.960055,0.317191,0.716025,0.016439,0.786249,0.670292,0.713882,0.01385,0.846124,0.31425,0.697796,0.014583,0.788921,0.689013,0.706137,0.026255,0.821895,0.319176,0.712175,0.025363,0.784037,0.684111,0.704921,0.038765,0.778377,0.433975,0.635943,-0.005993,0.770441,0.589342,0.610573,-0.006744,0.997412,0.420191,0.827112,-0.009531,0.82392,0.57466,0.821782,-0.002806,0.821768,0.425149,0.996539,-0.00451,0.849877,0.559811,1.000141,-0.002256,0.775905,0.403805,1.020338,0.013708,0.817928,0.569355,1.011962,0.012875,0.806236,0.426545,1.05321,-0.018236,0.777653,0.560701,1.041975,-0.018889,0.742634,2,synthetic/back/children/bad_form_arms_only,synthetic_bad_form_arms_only_00002.mp4,back,children,0,bad_form_arms_only,synthetic
0.484409,0.093563,-0.091426,0.796665,0.489738,0.060784,-0.125735,0.787083,0.46025,0.06307,-0.120869,0.847846,0.447024,0.067142,-0.116118,0.819042,0.521481,0.048035,-0.111733,0.836395,0.533816,0.065013,-0.126098,0.867431,0.536679,0.083824,-0.11655,0.809285,0.452637,0.100738,-0.037597,0.824802,0.546483,0.098738,-0.057218,0.813541,0.489098,0.127317,-0.086219,0.819455,0.529538,0.123159,-0.090213,0.795747,0.408865,0.266224,0.005778,0.808781,0.573125,0.282112,-0.001499,0.969208,0.356909,0.476246,-0.002225,0.764043,0.538417,0.449007,-0.002082,0.880495,0.323172,0.696967,0.010819,0.841693,0.661509,0.547029,-0.008328,0.923599,0.308272,0.716095,0.024647,0.8048,0.691286,0.730827,0.024734,0.836521,0.31306,0.707561,0.024641,0.791112,0.699849,0.703436,0.015733,0.827945,0.312097,0.703489,0.017819,0.776367,0.693224,0.711051,0.020645,0.780823,0.423366,0.627522,0.00393,0.783153,0.571602,0.628743,-0.003932,0.912797,0.430082,0.826086,-0.007379,0.785488,0.575151,0.826243,-0.003494,0.78046,0.429804,0.998277,0.005308,0.780262,0.559165,0.985961,0.013913,0.81503,0.415452,1.011662,0.020256,0.785881,0.574987,1.022495,0.014461,0.80255,0.432714,1.032561,-0.029731,0.763273,0.572772,1.03806,-0.00867,0.760167,3,synthetic/back/children/bad_form_arms_only,synthetic_bad_form_arms_only_00003.mp4,back,children,0,bad_form_arms_only,synthetic
0.49689,0.088243,-0.092923,0.830749,0.455089,0.059966,-0.12607,0.786651,0.469052,0.050536,-0.120026,0.808894,0.462833,0.083922,-0.135611,0.802404,0.524017,0.072334,-0.119464,0.825085,0.532256,0.058811,-0.11841,0.800005,0.540997,0.075741,-0.116312,0.768718,0.460578,0.096224,-0.054778,0.761865,0.550454,0.099161,-0.068648,0.786867,0.47302,0.131718,-0.086397,0.876568,0.516682,0.119265,-0.098695,0.7902,0.406348,0.280631,0.007103,0.745769,0.586562,0.284273,0.002004,0.913221,0.347997,0.471937,-0.007258,0.840031,0.501573,0.438234,0.000798,0.934806,0.33488,0.672879,-0.008352,0.737324,0.654925,0.44148,-0.001505,0.9379,0.328607,0.71604,0.005763,0.801768,0.681317,0.710663,0.030393,0.827903,0.30966,0.697571,0.023228,0.775502,0.690182,0.696334,0.017358,0.858307,0.320123,0.690742,0.02769,0.773595,0.684111,0.701901,0.031564,0.769574,0.429205,0.611454,-0.00975,0.806936,0.573987,0.6237,-0.002636,0.936979,0.434977,0.829258,-0.006492,0.75658,0.561694,0.812787,0.010589,0.781051,0.441366,1.017284,0.009752,0.751209,0.570226,1.000292,0.01399,0.773229,0.420819,1.019147,0.018823,0.864323,0.582142,1.018923,0.02859,0.848177,0.419849,1.036504,-0.014736,0.762573,0.571833,1.048014,-0.02398,0.760742,4,synthetic/back/children/bad_form_arms_only,synthetic_bad_form_arms_only_00004.mp4,back,children,0,bad_form_arms_only,synthetic
0.502804,0.079704,-0.1014,0.886278,0.466939,0.050895,-0.106017,0.856607,0.472213,0.05928,-0.114574,0.866965,0.452112,0.068111,-0.125494,0.74805,0.515469,0.064633,-0.112265,0.784114,0.535772,0.066552,-0.114647,0.781342,0.542524,0.07758,-0.113259,0.78398,0.461675,0.098258,-0.055589,0.828917,0.548582,0.098666,-0.058588,0.833096,0.489545,0.109084,-0.077434,0.793884,0.526326,0.136213,-0.080925,0.828602,0.394028,0.285679,0.002109,0.832513,0.616131,0.290091,-0.002801,0.992289,0.350138,0.486237,0.002835,0.815147,0.49781,0.420431,0.008353,0.956048,0.328453,0.670159,0.011296,0.775954,0.65576,0.449885,0.005634,0.897192,0.318334,0.725168,0.015891,0.796698,0.674745,0.729914,0.025932,0.802283,0.315578,0.706128,0.020213,0.796037,0.670585,0.684598,0.020948,0.82328,0.31304,0.683417,0.033491,0.867353,0.665158,0.687926,0.032536,0.810818,0.425908,0.615329,0.004943,0.803893,0.563421,0.627447,-0.000445,0.961338,0.435081,0.814392,-0.010863,0.846457,0.5579,0.817041,-0.005184,0.776665,0.427956,1.003384,0.002434,0.820468,0.574062,0.990904,0.000463,0.848239,0.423697,1.018133,0.020953,0.865822,0.583834,1.024238,0.0171,0.744765,0.436325,1.051078,-0.023752,0.798941,0.571313,1.047155,-0.029559,0.789036,5,synthetic/back/children/bad_form_arms_only,synthetic_bad_form_arms_only_00005.mp4,back,children,0,bad_form_arms_only,synthetic
0.503938,0.066259,-0.103102,0.783707,0.492687,0.056125,-0.128398,0.765344,0.465767,0.05438,-0.108648,0.752403,0.463128,0.082199,-0.126901,0.831636,0.515794,0.058307,-0.118481,0.824836,0.526873,0.063992,-0.11042,0.812369,0.544651,0.066864,-0.134566,0.810609,0.437747,0.090793,-0.056094,0.807285,0.552725,0.110533,-0.06452,0.836984,0.483503,0.116438,-0.078265,0.818599,0.51997,0.132412,-0.077754,0.796154,0.407048,0.27108,0.00674,0.763882,0.603798,0.282686,-0.004265,0.903308,0.345252,0.466911,-0.005413,0.786272,0.523731,0.433036,0.013378,0.949971,0.330387,0.674199,-0.017512,0.805791,0.680319,0.415483,0.006929,0.933473,0.322252,0.710503,0.015963,0.760833,0.677194,0.722185,0.005468,0.820756,0.328088,0.693846,0.014624,0.755005,0.683242,0.704843,0.021851,0.785211,0.330863,0.708959,0.009505,0.771438,0.686536,0.689743,0.026243,0.859352,0.430219,0.620357,-0.01086,0.851045,0.558529,0.612474,0.009297,0.997869,0.423301,0.820957,0.002509,0.753049,0.561769,0.826329,0.010653,0.800817,0.437447,1.001421,-0.01162,0.859798,0.570772,0.988725,-0.00805,0.761884,0.425911,1.022088,0.021475,0.815769,0.577387,1.032865,0.01711,0.787162,0.411604,1.041725,-0.011315,0.788356,0.554677,1.040095,-0.022402,0.826351,6,synthetic/back/children/bad_form_arms_only,synthetic_bad_form_arms_only_00006.mp4,back,children,0,bad_form_arms_only,synthetic
0.479736,0.072314,-0.112188,0.816233,0.492389,0.048867,-0.127401,0.8395,0.463711,0.053595,-0.115537,0.82794,0.452809,0.063321,-0.129173,0.848016,0.527584,0.067356,-0.122491,0.785273,0.531753,0.062949,-0.11167,0.833653,0.542049,0.075309,-0.121795,0.819589,0.444011,0.10355,-0.051362,0.82042,0.564228,0.105257,-0.030884,0.804889,0.490352,0.127549,-0.063908,0.75108,0.519829,0.116807,-0.087251,0.824044,0.386232,0.272471,0.007357,0.798276,0.594671,0.284811,0.00073,0.869165,0.351242,0.47047,0.013335,0.785551,0.564635,0.448939,0.009411,0.935393,0.347511,0.689595,-0.002339,0.789102,0.691426,0.518772,-0.000692,0.988775,0.321437,0.705101,0.025496,0.725519,0.665142,0.712415,0.00532,0.760618,0.298851,0.695859,0.018442,0.871473,0.691824,0.690119,0.026278,0.802604,0.312276,0.703964,0.022379,0.787097,0.68469,0.713288,0.024271,0.825182,0.431228,0.611377,0.003212,0.775156,0.570488,0.59521,0.006147,0.957242,0.421756,0.821286,-0.002249,0.811163,0.576649,0.832957,-0.001999,0.810616,0.430155,1.008987,-0.01223,0.727967,0.582367,1.00592,-0.003957,0.827503,0.418029,1.024714,-0.000295,0.829163,0.574978,1.01659,0.023592,0.801612,0.422035,1.038103,-0.029368,0.798866,0.565271,1.041358,-0.021422,0.772231,7,synthetic/back/children/bad_form_arms_only,synthetic_bad_form_arms_only_00007.mp4,back,children,0,bad_form_arms_only,synthetic
0.498138,0.075949,-0.105321,0.806947,0.490302,0.053365,-0.102047,0.829984,0.46824,0.055029,-0.119683,0.757445,0.458152,0.069856,-0.126851,0.773521,0.521343,0.049613,-0.124213,0.7471,0.521837,0.050817,-0.125502,0.83172,0.541367,0.071687,-0.12233,0.809666,0.439164,0.112854,-0.044914,0.804353,0.536307,0.096888,-0.057019,0.840197,0.491571,0.109964,-0.0641,0.759143,0.521227,0.118293,-0.086789,0.774576,0.392503,0.266189,-0.003192,0.816846,0.612796,0.272437,-0.000726,0.980583,0.351427,0.480333,0.006899,0.816524,0.518544,0.409956,0.004258,0.953583,0.334413,0.674536,0.005442,0.811109,0.48244,0.55719,-0.003316,0.919038,0.333097,0.714808,0.014248,0.793856,0.687955,0.726274,0.028172,0.785079,0.316133,0.69629,0.018535,0.7991,0.690204,0.701376,0.019546,0.789005,0.326815,0.695056,0.027624,0.728047,0.670707,0.697203,0.023099,0.779952,0.43899,0.610202,0.006431,0.808352,0.563444,0.64116,0.004823,0.936737,0.439721,0.808139,0.003945,0.811548,0.563967,0.822783,-0.004775,0.821387,0.425779,0.982568,0.000901,0.79372,0.561728,0.988865,-0.001869,0.821001,0.422577,1.02073,0.014191,0.815392,0.583821,1.014211,0.01626,0.784562,0.424243,1.042701,-0.018164,0.792663,0.567749,1.046179,-0.026726,0.793165,8,synthetic/back/children/bad_form_arms_only,synthetic_bad_form_arms_only_00008.mp4,back,children,0,bad_form_arms_only,synthetic
0.505003,0.077907,-0.097254,0.855335,0.476436,0.050257,-0.11502,0.794392,0.471524,0.058826,-0.117416,0.756476,0.452009,0.069079,-0.127928,0.811511,0.523439,0.05845,-0.111456,0.801873,0.521791,0.05286,-0.11299,0.815573,0.543275,0.079194,-0.120554,0.826994,0.447691,0.079018,-0.050396,0.78594,0.548585,0.109063,-0.045568,0.812677,0.463742,0.122179,-0.089848,0.786234,0.507413,0.133241,-0.070556,0.80135,0.392375,0.289394,0.004742,0.85107,0.597414,0.276301,-0.001144,0.976731,0.342975,0.481726,0.001074,0.858245,0.533159,0.427918,0.003871,0.904439,0.331812,0.679001,0.008644,0.837752,0.60067,0.558342,0.006174,0.927022,0.32924,0.71885,0.019649,0.761188,0.685589,0.726816,0.023027,0.772362,0.306259,0.708363,0.016388,0.801767,0.69562,0.690605,0.026743,0.768113,0.316435,0.699509,0.020262,0.775396,0.686526,0.703455,0.021918,0.805297,0.429141,0.620536,0.020133,0.844999,0.579561,0.621052,0.002315,0.969557,0.429283,0.814547,-0.017715,0.795506,0.565254,0.827226,-0.011248,0.805723,0.444732,1.002751,-0.008941,0.789963,0.569698,0.999406,0.012351,0.79679,0.432303,1.014129,0.02095,0.790656,0.584856,1.02892,0.019011,0.810017,0.42364,1.042716,-0.032247,0.820722,0.573726,1.032794,-0.025866,0.798008,9,synthetic/back/children/bad_form_arms_only,synthetic_bad_form_arms_only_00009.mp4,back,children,0,bad_form_arms_only,synthetic
