landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.496651,0.079554,-0.093265,0.800496,0.46643,0.067047,-0.115095,0.800113,0.456503,0.073466,-0.10971,0.792594,0.457722,0.065556,-0.11745,0.81154,0.526908,0.070686,-0.110728,0.738731,0.533521,0.05463,-0.110531,0.768113,0.542527,0.066389,-0.120934,0.776895,0.444363,0.105209,-0.051688,0.808478,0.539463,0.09031,-0.0551,0.827363,0.4631,0.123431,-0.070541,0.795502,0.499578,0.122083,-0.075609,0.820734,0.398121,0.287858,-0.0051,0.804644,0.589516,0.285457,-0.00689,0.956533,0.352661,0.490776,-0.001813,0.787007,0.425448,0.29385,0.004244,0.941471,0.332427,0.679189,0.007776,0.780811,0.358451,0.431985,-0.00969,0.990726,0.327773,0.715608,0.020663,0.797616,0.669011,0.713058,0.006651,0.786027,0.298617,0.714919,0.029564,0.87391,0.690928,0.6961,0.024006,0.768555,0.313023,0.707739,0.025205,0.813643,0.686371,0.706841,0.008752,0.830303,0.434303,0.625358,0.000962,0.76121,0.569496,0.618528,-0.000576,0.907016,0.427728,0.822689,-0.003287,0.794339,0.568466,0.822268,0.002184,0.803452,0.429277,1.004256,-0.014373,0.788137,0.57292,1.001821,-0.004768,0.809637,0.429096,1.021997,0.015241,0.816149,0.583787,1.018627,0.01714,0.843845,0.433077,1.057326,-0.019598,0.741027,0.570038,1.050558,-0.022407,0.765267,0,synthetic/back/children/good_form,synthetic_good_form_00000.mp4,back,children,1,good_form,synthetic
0.495847,0.071258,-0.093932,0.820922,0.485548,0.066025,-0.113794,0.797661,0.472261,0.062541,-0.118618,0.811725,0.470584,0.077337,-0.108225,0.834193,0.518761,0.038474,-0.113127,0.826132,0.517488,0.046013,-0.118954,0.746105,0.545269,0.063817,-0.117048,0.817824,0.445097,0.108576,-0.052591,0.757716,0.554208,0.093049,-0.04371,0.760052,0.485483,0.115098,-0.072309,0.819201,0.524311,0.110994,-0.07297,0.840293,0.399384,0.27672,0.010523,0.785294,0.5934,0.274717,-0.013521,0.878412,0.337886,0.476705,0.010764,0.826348,0.41768,0.267679,-0.007432,0.962549,0.314259,0.687469,-0.00681,0.830318,0.288316,0.329346,-0.001269,0.953704,0.319225,0.713516,0.024777,0.82577,0.684137,0.71398,0.008918,0.793995,0.308153,0.706134,0.021363,0.833464,0.686827,0.704545,0.031096,0.83231,0.313276,0.700815,0.031469,0.74382,0.677335,0.701818,0.018254,0.808061,0.416807,0.612249,0.026744,0.860051,0.575463,0.615991,-0.002598,0.996509,0.431543,0.812655,0.004845,0.776186,0.571611,0.825045,-0.018586,0.770969,0.438409,1.007714,-0.008711,0.760171,0.570899,0.994724,-0.00983,0.796934,0.405612,1.012107,0.013944,0.781128,0.589379,1.027123,0.019868,0.807603,0.427845,1.041561,-0.013659,0.833466,0.550534,1.026285,-0.013406,0.761443,1,synthetic/back/children/good_form,synthetic_good_form_00001.mp4,back,children,1,good_form,synthetic
0.503655,0.084341,-0.095762,0.772035,0.479091,0.061292,-0.120464,0.788815,0.459549,0.066647,-0.108009,0.792166,0.457394,0.071707,-0.112238,0.763695,0.519645,0.053623,-0.117734,0.8092,0.530453,0.054149,-0.130902,0.86022,0.540376,0.070274,-0.130184,0.889528,0.442373,0.096001,-0.061579,0.852037,0.550031,0.093571,-0.041645,0.821094,0.46262,0.134119,-0.088995,0.805338,0.5226,0.122655,-0.088936,0.813983,0.390487,0.285703,-0.000314,0.806008,0.617043,0.275468,0.013507,0.914872,0.35625,0.456029,-0.000866,0.823567,0.449271,0.292483,0.002061,0.942581,0.337306,0.68186,0.001705,0.819318,0.509347,0.434459,-0.000777,0.992503,0.323251,0.712351,0.027921,0.790894,0.671976,0.72501,0.010654,0.803754,0.311753,0.696241,0.026875,0.809728,0.681888,0.703753,0.030657,0.74666,0.326766,0.709554,0.027886,0.827294,0.67994,0.704105,0.01179,0.846938,0.426046,0.624565,0.007463,0.806884,0.567861,0.626137,0.002022,0.937559,0.417214,0.827769,0.008289,0.840461,0.57885,0.823463,0.005778,0.817743,0.428834,0.987876,-0.016041,0.816312,0.578415,0.992672,0.009387,0.773439,0.419849,1.025056,0.009095,0.842142,0.574794,1.012729,0.026131,0.842924,0.442787,1.040509,-0.020702,0.779785,0.562403,1.053804,-0.017962,0.795851,2,synthetic/back/children/good_form,synthetic_good_form_00002.mp4,back,children,1,good_form,synthetic
0.50724,0.081394,-0.103203,0.776443,0.493896,0.057554,-0.118248,0.781871,0.457647,0.060643,-0.128436,0.809739,0.457343,0.089054,-0.129819,0.791924,0.518126,0.058175,-0.127931,0.812444,0.53289,0.064561,-0.124004,0.803495,0.556157,0.062948,-0.113576,0.762616,0.438249,0.107229,-0.06607,0.812799,0.538869,0.100179,-0.047074,0.773662,0.480143,0.114516,-0.071249,0.743514,0.513969,0.106219,-0.076244,0.797544,0.389066,0.279409,-0.00216,0.814314,0.570522,0.267013,0.005355,0.885975,0.34867,0.475703,-0.00547,0.808463,0.407858,0.313509,0.009112,0.865462,0.335617,0.685187,-0.012195,0.755523,0.416136,0.469779,0.003969,0.959456,0.319952,0.73317,0.02217,0.795474,0.679873,0.726609,0.010102,0.790668,0.322738,0.712266,0.022781,0.771601,0.687716,0.685907,0.019711,0.844464,0.322941,0.685607,0.007421,0.816818,0.681007,0.701363,0.021323,0.762534,0.431322,0.62883,0.001302,0.801462,0.57038,0.632554,0.007454,0.932732,0.441041,0.80148,0.006667,0.817382,0.579921,0.813976,-0.000269,0.740808,0.435739,1.000938,0.011352,0.800459,0.567992,0.995879,0.006446,0.793362,0.439022,1.006832,0.005312,0.780088,0.572603,1.019925,0.017724,0.799714,0.430518,1.047908,-0.019923,0.768676,0.555682,1.056515,-0.020319,0.797315,3,synthetic/back/children/good_form,synthetic_good_form_00003.mp4,back,children,1,good_form,synthetic
0.497715,0.098994,-0.101629,0.832499,0.48358,0.061435,-0.108049,0.760978,0.478245,0.056261,-0.121194,0.768669,0.468626,0.067598,-0.123247,0.8128,0.517111,0.064035,-0.119102,0.787676,0.529914,0.061263,-0.105831,0.798902,0.522569,0.070818,-0.11986,0.756588,0.441252,0.093404,-0.034934,0.71039,0.562962,0.09218,-0.058183,0.756253,0.477825,0.112313,-0.092371,0.773723,0.516255,0.126454,-0.070478,0.791613,0.390608,0.282403,0.008917,0.857157,0.602956,0.298731,0.00815,0.976914,0.348715,0.474455,-0.006533,0.793666,0.442973,0.371211,0.002649,0.976459,0.326857,0.674577,0.005843,0.865262,0.57638,0.441244,0.009909,0.95536,0.305218,0.725672,0.01339,0.708485,0.665135,0.712788,0.00642,0.783663,0.31986,0.695676,0.012907,0.83637,0.70656,0.697328,0.027647,0.794226,0.334741,0.712502,0.022844,0.725334,0.678615,0.696506,0.017762,0.82019,0.436858,0.622895,-0.002546,0.800214,0.569037,0.634994,0.00809,0.944571,0.415686,0.84071,-0.008521,0.859449,0.569752,0.82573,-0.002799,0.79956,0.43854,1.007898,-0.000251,0.773223,0.566251,1.004107,0.013208,0.781208,0.411572,1.009428,0.019451,0.777937,0.576934,1.021089,0.028964,0.737668,0.418686,1.046358,-0.015104,0.762282,0.56636,1.058909,-0.037298,0.768816,4,synthetic/back/children/good_form,synthetic_good_form_00004.mp4,back,children,1,good_form,synthetic
0.500526,0.092007,-0.109934,0.83083,0.475188,0.063243,-0.108014,0.825094,0.474695,0.06679,-0.124227,0.818762,0.444951,0.061853,-0.133542,0.812116,0.509544,0.05898,-0.119747,0.807678,0.541166,0.056314,-0.131423,0.79911,0.544964,0.081104,-0.127523,0.751429,0.448868,0.103534,-0.047323,0.793281,0.54891,0.101777,-0.057569,0.850812,0.485043,0.117061,-0.082096,0.803115,0.519985,0.128641,-0.083276,0.804784,0.418025,0.267626,-0.004895,0.753881,0.603134,0.273821,0.006762,0.953945,0.355998,0.479386,-0.009027,0.778934,0.447872,0.351908,-0.000749,0.918075,0.331279,0.688154,-0.00432,0.794511,0.42277,0.502234,-0.021697,0.949027,0.325992,0.715114,0.011906,0.817985,0.673159,0.724992,0.034724,0.823417,0.312008,0.702089,0.015566,0.795497,0.685319,0.706149,0.002224,0.795971,0.329366,0.71496,0.017244,0.802793,0.681093,0.702366,0.013584,0.741391,0.444593,0.617941,-0.007975,0.803815,0.572715,0.608684,-0.010141,0.971675,0.43687,0.819887,0.001198,0.778693,0.543627,0.824842,0.007559,0.77405,0.423162,1.008196,0.004758,0.832366,0.567301,1.006369,-0.001428,0.79754,0.430088,1.009647,0.00704,0.773409,0.585191,1.016316,0.031735,0.798272,0.437392,1.045974,-0.022046,0.850106,0.555434,1.043879,-0.017911,0.828422,5,synthetic/back/children/good_form,synthetic_good_form_00005.mp4,back,children,1,good_form,synthetic
0.50571,0.09425,-0.094255,0.760824,0.483772,0.055085,-0.112401,0.797852,0.47037,0.054395,-0.113573,0.816638,0.45143,0.061942,-0.120988,0.73346,0.532254,0.053256,-0.117163,0.780006,0.523261,0.051249,-0.124289,0.797213,0.53763,0.07205,-0.125123,0.855552,0.445385,0.097953,-0.033097,0.806661,0.545701,0.09802,-0.056681,0.845543,0.479352,0.121319,-0.063197,0.822705,0.513242,0.119478,-0.085706,0.786288,0.403174,0.270686,0.010251,0.779832,0.614463,0.281819,-0.006088,0.880727,0.358519,0.478181,0.000883,0.819136,0.437472,0.28148,0.002541,0.990969,0.327357,0.665173,-0.008707,0.793026,0.479821,0.42663,0.01896,0.917946,0.331973,0.703603,0.022939,0.772326,0.680758,0.724452,0.021714,0.795357,0.309258,0.704816,0.017026,0.786505,0.709854,0.704428,0.01646,0.824274,0.32051,0.698189,0.013057,0.75341,0.682964,0.697174,0.028209,0.796298,0.437869,0.633385,-0.013402,0.771951,0.575535,0.616535,-0.007235,0.930802,0.419611,0.823913,-0.006547,0.821176,0.575585,0.818222,-0.007537,0.825374,0.426154,1.013373,-0.000932,0.800384,0.570485,1.003562,0.004127,0.824083,0.410116,1.005892,0.031848,0.777302,0.593481,1.017625,0.033381,0.845747,0.42285,1.039682,-0.021594,0.862001,0.568653,1.039446,-0.014729,0.82771,6,synthetic/back/children/good_form,synthetic_good_form_00006.mp4,back,children,1,good_form,synthetic
0.507348,0.082505,-0.109485,0.821149,0.458766,0.062971,-0.119526,0.840411,0.46388,0.057226,-0.110517,0.808318,0.462552,0.0761,-0.120277,0.810852,0.51641,0.059395,-0.114155,0.804861,0.521852,0.050526,-0.110097,0.792521,0.539924,0.066042,-0.120723,0.784901,0.461322,0.103593,-0.050347,0.793256,0.553127,0.100233,-0.050229,0.777533,0.48181,0.116137,-0.080259,0.72598,0.504652,0.115009,-0.075631,0.796208,0.417257,0.28602,0.001785,0.850187,0.596759,0.271796,-5.4e-05,0.96956,0.343565,0.46051,0.010186,0.793947,0.425744,0.240788,-0.003128,0.946713,0.320479,0.669005,0.000757,0.875127,0.362463,0.385779,-0.003691,0.913429,0.313716,0.722349,0.019886,0.791309,0.678597,0.721777,0.023763,0.812418,0.316555,0.709743,0.009448,0.784518,0.690803,0.711122,0.024328,0.794907,0.323241,0.689826,0.012306,0.813396,0.682852,0.709493,0.014034,0.818239,0.431736,0.602869,0.009598,0.818718,0.57417,0.6282,-0.011646,0.958114,0.449108,0.823472,0.020095,0.850313,0.567455,0.825969,0.009808,0.741491,0.432701,0.995856,-0.015362,0.805849,0.570041,0.991612,-0.002496,0.797625,0.413529,1.031592,0.013592,0.799156,0.580324,1.022359,0.014773,0.774129,0.436613,1.038562,-0.011339,0.809426,0.575506,1.023729,-0.021009,0.808203,7,synthetic/back/children/good_form,synthetic_good_form_00007.mp4,back,children,1,good_form,synthetic
0.49273,0.079896,-0.101032,0.79529,0.481816,0.061611,-0.127826,0.76653,0.458137,0.058622,-0.116268,0.762225,0.465838,0.08189,-0.120531,0.774969,0.522203,0.056449,-0.104008,0.814752,0.537118,0.052027,-0.113923,0.829174,0.533878,0.084135,-0.118225,0.78739,0.44125,0.114267,-0.043599,0.839711,0.54722,0.109609,-0.059294,0.791466,0.481876,0.118595,-0.079391,0.763739,0.516801,0.119963,-0.089433,0.888735,0.40121,0.291257,0.0026,0.826885,0.598034,0.271841,0.013741,0.961351,0.355694,0.466332,0.007301,0.787905,0.430669,0.230012,0.000683,0.945005,0.331929,0.661783,0.011354,0.767299,0.304732,0.316432,0.008156,0.919379,0.338955,0.726281,0.020723,0.786598,0.690384,0.712753,0.011627,0.827246,0.310212,0.689685,0.014127,0.797265,0.695114,0.696544,0.019578,0.782688,0.318828,0.700926,0.015494,0.777538,0.676888,0.691308,0.020278,0.840462,0.430044,0.624605,-0.001219,0.787086,0.547627,0.625968,0.001861,0.945372,0.442202,0.827197,0.001898,0.778669,0.56941,0.826686,0.007482,0.817194,0.437268,1.002032,-0.008735,0.798905,0.576352,1.007245,-0.000936,0.838357,0.413303,1.018551,0.026689,0.779155,0.574528,1.026725,0.015464,0.837482,0.429195,1.046522,-0.025691,0.850061,0.568736,1.034862,-0.011311,0.793431,8,synthetic/back/children/good_form,synthetic_good_form_00008.mp4,back,children,1,good_form,synthetic
0.503703,0.075407,-0.097539,0.809154,0.478834,0.059165,-0.139783,0.794071,0.459513,0.050044,-0.126059,0.832236,0.456782,0.061529,-0.111218,0.842877,0.536246,0.060644,-0.112915,0.790599,0.525892,0.06374,-0.117062,0.719204,0.540312,0.063228,-0.120415,0.805628,0.462809,0.106263,-0.046397,0.883515,0.548643,0.095054,-0.044375,0.793853,0.471865,0.129203,-0.08609,0.757689,0.523694,0.10992,-0.075594,0.772038,0.400559,0.28267,-0.004935,0.81968,0.589852,0.281239,-0.00077,0.930833,0.357124,0.481307,-0.008995,0.846459,0.447655,0.356125,-0.010686,0.974945,0.333449,0.695939,-0.002297,0.842759,0.588305,0.393509,-0.004561,0.955982,0.314832,0.710175,0.017171,0.847128,0.672509,0.731576,0.013743,0.805957,0.308749,0.701769,0.016639,0.816545,0.704017,0.697386,0.022688,0.821154,0.310669,0.702804,0.027072,0.750987,0.669421,0.689069,0.021643,0.776046,0.4198,0.624404,-0.013897,0.746287,0.560811,0.61051,-0.016613,0.933122,0.425796,0.830396,-0.006822,0.800012,0.570453,0.827475,-0.003693,0.829147,0.428085,1.020489,0.005231,0.795106,0.581586,1.009527,-0.003098,0.769711,0.426228,1.019623,0.019922,0.824447,0.584303,1.030275,0.020989,0.799295,0.426939,1.032477,-0.020858,0.801159,0.569824,1.04983,-0.022006,0.775994,9,synthetic/back/children/good_form,synthetic_good_form_00009.mp4,back,children,1,good_form,synthetic
