landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.494362,0.079279,-0.101257,0.84684,0.490437,0.062979,-0.125087,0.825309,0.4806,0.058432,-0.113316,0.787607,0.46654,0.070104,-0.118842,0.820018,0.521014,0.044658,-0.127271,0.794505,0.512147,0.060953,-0.10774,0.762825,0.542255,0.078435,-0.119826,0.821516,0.447372,0.11541,-0.049478,0.769858,0.555335,0.109737,-0.05789,0.799069,0.470392,0.128898,-0.074724,0.806017,0.508626,0.13269,-0.074088,0.829844,0.418461,0.287883,-0.000593,0.806156,0.602575,0.28374,-0.007801,0.934717,0.360717,0.492013,0.008224,0.829534,0.480512,0.426759,-0.001649,0.951648,0.317122,0.673509,-0.000241,0.791033,0.579938,0.578242,0.01278,0.94883,0.327431,0.720209,0.018451,0.765585,0.678078,0.717387,0.027718,0.796107,0.314867,0.707154,-0.003726,0.76726,0.689794,0.699989,0.008553,0.754152,0.324862,0.711761,0.027388,0.731934,0.678268,0.696772,0.010248,0.80138,0.433015,0.639028,0.004724,0.790774,0.554437,0.612684,-0.010555,0.979034,0.438685,0.806336,0.006018,0.751036,0.570346,0.827592,-0.005469,0.811522,0.425724,0.995074,-0.003699,0.771731,0.564438,1.006738,0.009165,0.757841,0.411573,1.005496,0.019175,0.778654,0.569521,1.011231,0.028412,0.759985,0.428725,1.019482,-0.021535,0.802928,0.574673,1.044224,-0.015269,0.798641,0,synthetic/back/senior/bad_form_arms_only,synthetic_bad_form_arms_only_00000.mp4,back,senior,0,bad_form_arms_only,synthetic
0.488741,0.081401,-0.096265,0.827372,0.480688,0.070472,-0.117113,0.777124,0.47497,0.05959,-0.117686,0.80505,0.465171,0.069035,-0.117236,0.795524,0.526875,0.079962,-0.137117,0.790101,0.520803,0.063119,-0.114607,0.777205,0.518644,0.063121,-0.119818,0.764298,0.4609,0.09762,-0.058546,0.764589,0.536718,0.117759,-0.047599,0.785995,0.481883,0.108441,-0.083899,0.826869,0.520043,0.128617,-0.075928,0.773106,0.393103,0.279572,-0.017459,0.770821,0.588275,0.275446,-0.000204,0.924582,0.350619,0.475284,-0.003918,0.828157,0.531254,0.460332,-0.008813,0.899701,0.345818,0.689808,-0.011764,0.798154,0.642845,0.581615,-0.005103,0.99105,0.307929,0.718094,0.019356,0.807632,0.704309,0.719501,0.0239,0.817935,0.316934,0.70598,0.027017,0.743476,0.697681,0.69395,0.00845,0.817137,0.330465,0.704968,0.013326,0.825584,0.686618,0.708545,0.025909,0.792996,0.434045,0.62831,-0.002832,0.786097,0.567276,0.613712,-0.012551,0.981791,0.435871,0.808833,0.000708,0.776698,0.580233,0.814643,-0.001281,0.796976,0.418706,1.004514,-0.012092,0.846429,0.583702,0.995108,0.015172,0.824084,0.421603,1.016533,0.017017,0.834033,0.585342,1.004453,0.030499,0.768385,0.430409,1.04419,-0.02419,0.794498,0.560345,1.045195,-0.035916,0.848998,1,synthetic/back/senior/bad_form_arms_only,synthetic_bad_form_arms_only_00001.mp4,back,senior,0,bad_form_arms_only,synthetic
0.493058,0.077685,-0.107085,0.782183,0.483057,0.072351,-0.125821,0.776307,0.472182,0.054535,-0.129567,0.734783,0.457153,0.071877,-0.131049,0.787356,0.51882,0.050665,-0.131754,0.81202,0.537943,0.069547,-0.119302,0.740534,0.545787,0.061871,-0.126981,0.826171,0.445885,0.110741,-0.04859,0.813215,0.551965,0.112401,-0.050603,0.829535,0.480504,0.111061,-0.069453,0.762731,0.520961,0.123921,-0.077533,0.729079,0.391477,0.276163,0.011536,0.788429,0.587143,0.286598,0.003753,0.930953,0.354871,0.482388,0.007598,0.819361,0.516473,0.466899,0.012657,0.904532,0.332738,0.67499,-0.002613,0.824874,0.592527,0.625507,-0.009295,0.974745,0.312895,0.734153,0.018891,0.735363,0.692307,0.71514,0.019107,0.839722,0.301489,0.697465,0.012845,0.823684,0.695358,0.727102,0.017199,0.823239,0.315133,0.694562,0.032722,0.80732,0.674196,0.70195,0.021526,0.742757,0.433757,0.616376,-0.002782,0.815416,0.570662,0.625215,-0.00618,0.943979,0.424572,0.80252,0.001949,0.816439,0.574462,0.822028,0.009021,0.794857,0.446552,1.009991,0.005393,0.822392,0.571864,0.999963,-0.006693,0.773792,0.433385,0.998885,0.025341,0.800691,0.572375,1.01752,0.021788,0.822215,0.435336,1.040046,-0.025592,0.839198,0.571277,1.029685,-0.030468,0.76516,2,synthetic/back/senior/bad_form_arms_only,synthetic_bad_form_arms_only_00002.mp4,back,senior,0,bad_form_arms_only,synthetic
0.494326,0.093019,-0.097486,0.785802,0.491424,0.062603,-0.126946,0.755323,0.469525,0.05643,-0.128267,0.798186,0.44918,0.070913,-0.123177,0.81087,0.510568,0.070235,-0.125254,0.80255,0.535177,0.061402,-0.128274,0.813546,0.530046,0.082262,-0.108094,0.739661,0.461282,0.104372,-0.040121,0.840977,0.553111,0.107523,-0.038177,0.840181,0.485839,0.125604,-0.090394,0.817669,0.507065,0.117028,-0.084209,0.780972,0.400156,0.265196,0.003716,0.818306,0.601121,0.278751,0.002201,0.959378,0.359372,0.464864,0.006201,0.76475,0.533976,0.462528,0.005921,0.981558,0.322824,0.680936,-0.011161,0.771093,0.637666,0.58644,-0.001397,0.977553,0.329889,0.719439,0.022317,0.796471,0.671458,0.730291,0.011413,0.816677,0.310301,0.704598,0.027345,0.846099,0.685735,0.700776,0.017445,0.826616,0.315145,0.710307,0.01199,0.762411,0.684621,0.703147,0.025852,0.819811,0.43379,0.627092,-0.009601,0.840897,0.562632,0.605116,-0.007844,0.91848,0.442898,0.804146,-0.006556,0.76655,0.590612,0.831309,0.003028,0.795975,0.435958,0.993771,-0.01489,0.803826,0.573435,0.990998,0.001753,0.859387,0.432925,1.016133,0.016413,0.773321,0.59493,1.027204,0.023645,0.832888,0.453308,1.029292,-0.010137,0.82006,0.572842,1.039504,-0.009043,0.838914,3,synthetic/back/senior/bad_form_arms_only,synthetic_bad_form_arms_only_00003.mp4,back,senior,0,bad_form_arms_only,synthetic
0.489429,0.081326,-0.110524,0.826492,0.480648,0.053436,-0.125986,0.846478,0.48172,0.067992,-0.107289,0.832196,0.46931,0.070416,-0.116223,0.81847,0.521897,0.055687,-0.12426,0.850965,0.534712,0.062962,-0.118675,0.792081,0.531259,0.063084,-0.124699,0.768433,0.441335,0.097569,-0.063758,0.763031,0.551685,0.095167,-0.049016,0.795357,0.48863,0.108965,-0.089852,0.742797,0.520971,0.122902,-0.094596,0.812874,0.39414,0.276487,-0.002698,0.73144,0.602866,0.264443,0.001655,0.929319,0.332439,0.479325,-0.0105,0.809666,0.512484,0.423337,0.004041,1.0,0.318127,0.678477,-0.005946,0.807364,0.553961,0.591462,-0.00959,0.90964,0.315265,0.717042,0.020772,0.773234,0.682225,0.713338,0.020656,0.801013,0.319016,0.696839,0.037169,0.834523,0.699434,0.703834,0.034922,0.838794,0.335215,0.709429,0.036995,0.834185,0.680315,0.710673,0.011301,0.873696,0.424639,0.624368,-0.007036,0.797455,0.554387,0.616297,-0.014005,0.929533,0.407698,0.816046,0.00303,0.783851,0.572062,0.824226,0.00078,0.799872,0.43778,1.00265,0.001069,0.818426,0.56515,0.999617,0.00298,0.806025,0.410876,1.020956,0.037754,0.814237,0.58056,1.021649,0.028269,0.831844,0.430786,1.039869,-0.01518,0.760656,0.570174,1.056053,-0.022958,0.810033,4,synthetic/back/senior/bad_form_arms_only,synthetic_bad_form_arms_only_00004.mp4,back,senior,0,bad_form_arms_only,synthetic
0.495715,0.07713,-0.112874,0.827702,0.490233,0.06068,-0.119496,0.779095,0.470177,0.053039,-0.100854,0.766655,0.476436,0.064317,-0.120393,0.755892,0.523084,0.048144,-0.132339,0.847501,0.536924,0.0657,-0.11362,0.765629,0.527421,0.078077,-0.118407,0.790882,0.447539,0.111992,-0.052265,0.849343,0.548085,0.10497,-0.050061,0.819551,0.476989,0.120762,-0.082328,0.791777,0.507351,0.118171,-0.090171,0.774207,0.400461,0.278084,0.000122,0.801011,0.602188,0.267285,-0.018074,0.955289,0.342297,0.49209,-0.001899,0.784078,0.505157,0.440288,-0.00725,0.972876,0.34141,0.687758,-0.008345,0.815182,0.606851,0.582831,-0.008388,0.937832,0.318207,0.732198,0.037148,0.837141,0.663949,0.71494,0.012014,0.800608,0.302023,0.708036,0.0233,0.801451,0.672338,0.706718,0.018268,0.803116,0.315439,0.693614,0.007558,0.792715,0.680875,0.683857,0.01477,0.805154,0.434156,0.616033,-0.006861,0.816052,0.572468,0.631153,-0.002083,0.924691,0.429863,0.813839,-0.00965,0.801809,0.557779,0.824528,0.000595,0.79222,0.422509,1.009603,0.00408,0.766535,0.552792,0.998922,0.004033,0.800027,0.418357,1.016632,0.0265,0.787866,0.576397,1.00036,0.01162,0.844097,0.429423,1.024026,-0.021085,0.808778,0.56253,1.05611,-0.025979,0.768089,5,synthetic/back/senior/bad_form_arms_only,synthetic_bad_form_arms_only_00005.mp4,back,senior,0,bad_form_arms_only,synthetic
0.507537,0.075408,-0.095019,0.827024,0.486894,0.06764,-0.125393,0.858153,0.453543,0.048342,-0.125877,0.777356,0.456621,0.07976,-0.125555,0.795636,0.532434,0.051414,-0.126417,0.809428,0.53113,0.056685,-0.108409,0.816337,0.554184,0.089775,-0.117268,0.840537,0.435517,0.099341,-0.049709,0.792168,0.551146,0.099343,-0.061656,0.796873,0.468081,0.103042,-0.084365,0.824824,0.507831,0.113578,-0.086043,0.772133,0.401923,0.287876,-0.003628,0.823721,0.601827,0.28977,-0.012938,0.942849,0.347425,0.488967,-0.011299,0.768205,0.514561,0.456511,0.008494,0.952888,0.336465,0.686403,-0.006802,0.769722,0.513845,0.627785,-0.011715,0.972668,0.31975,0.71617,0.004406,0.833489,0.67024,0.714233,0.020548,0.801355,0.30094,0.698384,0.013936,0.819587,0.680829,0.695238,0.022643,0.8225,0.312333,0.706677,0.011387,0.79532,0.694506,0.698771,0.02343,0.790347,0.43377,0.616601,0.003655,0.792816,0.564185,0.60863,0.004525,0.949538,0.439091,0.812763,0.011286,0.796691,0.576209,0.815691,0.00919,0.856803,0.433183,1.001817,-0.005726,0.796162,0.57374,0.987705,-0.006225,0.828512,0.433664,1.023533,0.006429,0.774249,0.590952,1.022288,0.014181,0.774956,0.424258,1.034439,-0.024596,0.718678,0.565556,1.041597,-0.023774,0.81298,6,synthetic/back/senior/bad_form_arms_only,synthetic_bad_form_arms_only_00006.mp4,back,senior,0,bad_form_arms_only,synthetic
0.491169,0.08932,-0.097349,0.779388,0.466712,0.050895,-0.121842,0.831286,0.458486,0.056537,-0.123786,0.776958,0.464965,0.058993,-0.107724,0.85137,0.503683,0.059894,-0.11057,0.812879,0.539466,0.053882,-0.121583,0.795246,0.54489,0.065076,-0.136494,0.807768,0.458501,0.096061,-0.051493,0.818977,0.538866,0.091529,-0.040742,0.805361,0.490161,0.127066,-0.085881,0.752383,0.511264,0.122017,-0.080869,0.837992,0.401126,0.275938,-0.003018,0.842428,0.599665,0.2672,0.004047,0.926192,0.354761,0.493558,0.000897,0.880325,0.537447,0.452902,-0.000605,0.923947,0.318899,0.671034,-0.008078,0.803479,0.634368,0.59361,0.003336,0.939631,0.332432,0.723212,0.011709,0.756778,0.676326,0.715957,0.029078,0.827905,0.307459,0.698493,0.023525,0.812519,0.696345,0.691729,0.010944,0.785038,0.326072,0.68171,0.023198,0.782782,0.684377,0.689622,0.020829,0.825339,0.429098,0.620325,0.001869,0.819646,0.576723,0.622429,0.007089,0.93486,0.428286,0.821322,0.003306,0.81225,0.555583,0.815008,0.00179,0.796329,0.433713,1.006244,0.004843,0.796284,0.582179,0.984734,8.8e-05,0.831996,0.417884,1.018222,0.015337,0.813251,0.583044,1.02861,0.009981,0.797609,0.417369,1.04092,-0.013916,0.801556,0.568177,1.045954,-0.03253,0.851701,7,synthetic/back/senior/bad_form_arms_only,synthetic_bad_form_arms_only_00007.mp4,back,senior,0,bad_form_arms_only,synthetic
0.501147,0.079947,-0.091502,0.801307,0.4765,0.062855,-0.123074,0.792266,0.466389,0.05394,-0.106395,0.781222,0.458853,0.059964,-0.122137,0.787957,0.504344,0.046552,-0.117808,0.732517,0.522679,0.070458,-0.122874,0.842397,0.520713,0.071991,-0.13641,0.828936,0.464166,0.092091,-0.064051,0.790914,0.545122,0.101072,-0.049697,0.792858,0.48582,0.128513,-0.084066,0.822394,0.519674,0.109952,-0.085576,0.783158,0.388585,0.291685,0.010466,0.815484,0.604961,0.270332,-0.003218,0.892791,0.350792,0.477926,0.007989,0.824968,0.503448,0.432979,-0.011406,0.942325,0.335524,0.679891,0.00414,0.855257,0.640753,0.538814,-0.007918,0.96483,0.314415,0.718279,0.033469,0.742306,0.679582,0.721492,0.005272,0.801395,0.327672,0.703018,0.029947,0.769534,0.689245,0.699043,0.01914,0.800839,0.316731,0.686769,0.028037,0.825284,0.678098,0.705233,0.013709,0.857627,0.43092,0.626235,-0.007406,0.810571,0.548733,0.617128,0.00763,0.998667,0.438029,0.830892,-0.003085,0.783383,0.57204,0.841233,-0.000864,0.785758,0.42319,0.995608,-0.004975,0.821317,0.56897,0.987435,0.008656,0.790931,0.407479,1.030531,0.020487,0.817538,0.577467,1.014264,0.020326,0.769257,0.420499,1.053863,-0.016369,0.836959,0.577108,1.040167,-0.018809,0.829592,8,synthetic/back/senior/bad_form_arms_only,synthetic_bad_form_arms_only_00008.mp4,back,senior,0,bad_form_arms_only,synthetic
0.497532,0.078728,-0.101688,0.784876,0.491906,0.070795,-0.140852,0.834136,0.48488,0.063517,-0.120451,0.790345,0.46216,0.077746,-0.130325,0.800688,0.516733,0.059692,-0.11138,0.800743,0.522386,0.074461,-0.12173,0.806563,0.541056,0.082422,-0.112428,0.768681,0.447818,0.112151,-0.054437,0.780447,0.558195,0.110482,-0.046808,0.761708,0.469155,0.108728,-0.075332,0.77906,0.514874,0.130595,-0.084948,0.809908,0.400773,0.296062,-0.001071,0.800499,0.585129,0.261922,0.002423,0.946051,0.363387,0.468745,-0.015822,0.786638,0.520726,0.454629,-0.001648,0.960879,0.333425,0.671737,0.001398,0.817972,0.565535,0.628588,0.000637,0.918923,0.326808,0.714027,0.028467,0.769746,0.694354,0.70496,0.014124,0.827723,0.320468,0.69517,0.034354,0.806601,0.697329,0.691895,0.015237,0.8485,0.31856,0.692698,0.023489,0.773477,0.670904,0.710943,0.008588,0.786213,0.418239,0.621788,0.006229,0.847053,0.557301,0.621464,0.000353,0.93796,0.424291,0.825562,0.002821,0.761039,0.555749,0.814933,0.016329,0.768444,0.43335,1.010865,-0.00951,0.788584,0.55972,0.991867,0.001518,0.795572,0.422205,1.008164,0.020221,0.783673,0.595301,1.028124,0.029411,0.817862,0.437572,1.043776,-0.032769,0.786463,0.567098,1.028645,-0.020479,0.794166,9,synthetic/back/senior/bad_form_arms_only,synthetic_bad_form_arms_only_00009.mp4,back,senior,0,bad_form_arms_only,synthetic
