landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.488938,0.078565,-0.108271,0.787811,0.483555,0.037823,-0.127075,0.752307,0.479148,0.074605,-0.122737,0.820228,0.46062,0.067598,-0.116255,0.801866,0.502991,0.060402,-0.120164,0.782693,0.523508,0.067499,-0.117627,0.798721,0.531284,0.066629,-0.124051,0.834195,0.451631,0.105802,-0.03815,0.792363,0.553641,0.100385,-0.049147,0.783717,0.475284,0.110782,-0.077415,0.815118,0.528315,0.132625,-0.085162,0.792437,0.404209,0.275952,0.004552,0.785751,0.60715,0.272821,-0.011114,0.991581,0.337895,0.495297,0.012091,0.809185,0.423743,0.338829,-0.006142,0.913974,0.32912,0.674541,-0.007579,0.799952,0.433345,0.513203,0.004972,0.962741,0.318214,0.720864,0.024648,0.773622,0.673747,0.72088,0.020144,0.792638,0.311408,0.706946,0.017909,0.774427,0.698487,0.699016,-0.001975,0.736007,0.329341,0.717553,0.011809,0.757459,0.676297,0.69843,0.021205,0.821489,0.426743,0.633514,-0.008389,0.781896,0.56793,0.6208,-0.000777,0.943198,0.436439,0.818011,0.00373,0.734171,0.569291,0.815691,-0.008178,0.777962,0.422041,1.013972,-0.002284,0.810396,0.574167,1.004824,0.00706,0.835694,0.418419,1.013213,0.024093,0.812372,0.576146,1.029974,0.021383,0.77875,0.428384,1.045877,-0.032177,0.804463,0.573518,1.029803,-0.019729,0.838928,0,synthetic/back/senior/good_form,synthetic_good_form_00000.mp4,back,senior,1,good_form,synthetic
0.506137,0.075238,-0.113469,0.774454,0.491322,0.063436,-0.130063,0.823408,0.476474,0.054214,-0.137959,0.807376,0.471907,0.070857,-0.12592,0.775844,0.526615,0.055263,-0.135043,0.824767,0.52358,0.054456,-0.126686,0.824792,0.543213,0.071506,-0.112724,0.771662,0.454899,0.091788,-0.049875,0.859085,0.578075,0.087724,-0.053254,0.739632,0.473893,0.123049,-0.076734,0.745105,0.534048,0.118627,-0.073275,0.789457,0.409306,0.278978,0.010802,0.833337,0.608814,0.266631,-0.013202,0.940702,0.365716,0.469043,-0.005175,0.769926,0.433022,0.328886,-0.006033,0.94943,0.326274,0.672269,-0.01036,0.745251,0.525744,0.464563,0.015406,0.994608,0.328914,0.727479,0.019544,0.835981,0.686084,0.721589,0.015825,0.784714,0.295541,0.700351,0.005233,0.802573,0.689456,0.696563,0.008979,0.811357,0.313333,0.696018,0.011864,0.757482,0.679279,0.715146,0.012677,0.781207,0.41974,0.62112,0.004778,0.784477,0.574511,0.626466,0.008593,0.952541,0.433908,0.807285,0.006266,0.760943,0.583685,0.82306,0.000414,0.761251,0.428034,1.002377,0.005981,0.796595,0.572414,0.998945,0.004389,0.76875,0.414383,1.0275,0.025222,0.80884,0.559906,1.01466,0.015371,0.819612,0.423257,1.044142,-0.010482,0.740669,0.576632,1.04225,-0.020341,0.770064,1,synthetic/back/senior/good_form,synthetic_good_form_00001.mp4,back,senior,1,good_form,synthetic
0.503265,0.084275,-0.104161,0.811385,0.492545,0.043592,-0.119028,0.871449,0.468871,0.056588,-0.11195,0.775303,0.455764,0.05064,-0.118341,0.824754,0.521058,0.057952,-0.119454,0.79178,0.530384,0.057985,-0.130236,0.823106,0.546577,0.060276,-0.111568,0.78222,0.435087,0.100079,-0.047802,0.726897,0.558711,0.089421,-0.048122,0.782367,0.493574,0.110837,-0.084049,0.805211,0.52227,0.118511,-0.077321,0.768355,0.402539,0.283135,-0.010611,0.792372,0.595538,0.277375,0.000865,0.927952,0.348849,0.489718,-0.012614,0.776356,0.399825,0.29871,-0.005699,0.938516,0.326621,0.688589,-0.006369,0.82094,0.371563,0.462561,0.001645,0.936227,0.333391,0.708371,0.010988,0.825722,0.676513,0.719288,0.013198,0.77867,0.323013,0.699021,0.027822,0.840339,0.686327,0.707285,0.031957,0.788096,0.31551,0.705788,0.023033,0.787485,0.675292,0.684205,0.009687,0.76343,0.422779,0.609898,0.014386,0.766524,0.587618,0.615215,0.002505,0.921133,0.430225,0.813695,0.005711,0.776396,0.567434,0.824868,-0.003823,0.841957,0.426913,1.010654,-0.005055,0.817172,0.581175,1.00346,0.006657,0.78796,0.4018,1.022942,0.015323,0.830686,0.570019,1.020894,0.021973,0.791808,0.427673,1.037779,-0.031159,0.837341,0.563903,1.031698,-0.032014,0.840346,2,synthetic/back/senior/good_form,synthetic_good_form_00002.mp4,back,senior,1,good_form,synthetic
0.489577,0.068559,-0.092325,0.904012,0.487897,0.051302,-0.103572,0.802345,0.473657,0.06359,-0.136989,0.819235,0.448733,0.071817,-0.130213,0.814267,0.515544,0.057262,-0.111705,0.823809,0.528943,0.049973,-0.129571,0.798242,0.529846,0.08039,-0.114209,0.850752,0.448128,0.104589,-0.050231,0.774679,0.543005,0.094319,-0.047686,0.794548,0.470652,0.132565,-0.078053,0.77669,0.525244,0.117468,-0.073785,0.816833,0.400705,0.269294,-0.012477,0.829915,0.596459,0.285221,-0.004418,0.915157,0.34593,0.473934,0.002989,0.7686,0.409464,0.256379,-0.010997,0.968538,0.331114,0.668813,-0.006892,0.786093,0.271903,0.371784,0.005386,0.970217,0.304849,0.725953,0.038942,0.792722,0.687713,0.719393,0.016177,0.81732,0.324488,0.702619,0.018311,0.733663,0.697126,0.689845,0.023684,0.850807,0.318042,0.702568,0.014629,0.831798,0.678219,0.70139,0.007813,0.786323,0.449719,0.614579,0.000259,0.812722,0.567845,0.627558,0.007065,1.0,0.423649,0.827109,-0.008185,0.753326,0.567928,0.831819,0.011959,0.813231,0.435349,1.009811,0.005058,0.741573,0.55879,1.005695,-0.00409,0.809295,0.425198,1.02095,0.00665,0.798108,0.598372,1.023821,0.018755,0.763866,0.411878,1.044301,-0.014283,0.797342,0.559732,1.031954,-0.023183,0.81389,3,synthetic/back/senior/good_form,synthetic_good_form_00003.mp4,back,senior,1,good_form,synthetic
0.50348,0.080796,-0.098553,0.820192,0.465338,0.050397,-0.118464,0.884957,0.470924,0.067016,-0.132468,0.828307,0.462301,0.070001,-0.131409,0.835858,0.526495,0.05789,-0.123794,0.822761,0.530564,0.059124,-0.117926,0.80178,0.529422,0.068628,-0.123778,0.821304,0.458598,0.101611,-0.065948,0.783179,0.555074,0.091572,-0.068061,0.761946,0.487238,0.110143,-0.072111,0.798372,0.522657,0.107771,-0.090293,0.805991,0.391451,0.27244,-0.001133,0.791253,0.60622,0.284326,-0.000541,0.925377,0.349028,0.473012,-0.006367,0.820281,0.419972,0.32135,-0.009746,0.940534,0.308835,0.676723,0.002058,0.813959,0.390506,0.491578,-0.016382,0.950929,0.343961,0.728691,0.026444,0.787952,0.658646,0.717478,0.03219,0.827291,0.311476,0.698708,0.031023,0.870053,0.694755,0.705815,0.020711,0.869593,0.31358,0.696362,0.025453,0.840526,0.676938,0.701976,0.027293,0.731971,0.435058,0.619303,0.001416,0.77356,0.576604,0.625327,0.002959,0.956344,0.444059,0.817519,0.011743,0.786385,0.563775,0.820721,-0.017868,0.819651,0.440871,0.999147,-0.005139,0.795829,0.55601,1.007891,0.011252,0.742156,0.412079,1.018092,0.020722,0.771597,0.572901,1.010476,0.017392,0.786359,0.43612,1.044959,-0.013183,0.803341,0.558435,1.030462,-0.006134,0.815854,4,synthetic/back/senior/good_form,synthetic_good_form_00004.mp4,back,senior,1,good_form,synthetic
0.501928,0.083753,-0.081351,0.803478,0.488409,0.049105,-0.118461,0.772034,0.463156,0.070139,-0.113346,0.783889,0.437348,0.068763,-0.110965,0.819676,0.509107,0.05641,-0.121958,0.768635,0.513143,0.059787,-0.134816,0.816641,0.54599,0.074161,-0.121152,0.745134,0.46046,0.106504,-0.045162,0.740631,0.546872,0.099307,-0.046728,0.773891,0.473154,0.102045,-0.082829,0.821249,0.528535,0.116198,-0.070797,0.784572,0.38305,0.270777,-0.004422,0.791469,0.610679,0.280037,-0.003648,0.978544,0.342355,0.485412,0.001546,0.717868,0.424047,0.293182,0.006958,0.965558,0.323236,0.682183,-0.003372,0.788497,0.478137,0.461593,-0.007005,0.9725,0.322562,0.717593,0.015637,0.799882,0.695724,0.737816,0.012209,0.798244,0.299228,0.699634,0.042995,0.787129,0.682283,0.693628,0.024494,0.721411,0.316402,0.700419,0.018763,0.797677,0.689959,0.696832,0.023755,0.779301,0.420723,0.6117,0.018915,0.814726,0.54642,0.619113,-0.009149,0.967546,0.432973,0.8125,-0.00037,0.82271,0.568672,0.83016,0.00286,0.766359,0.42474,1.005187,0.008494,0.816389,0.571187,0.999153,-0.009419,0.807198,0.413007,1.011068,0.012536,0.778445,0.588789,1.014825,0.006296,0.775199,0.435403,1.025804,-0.013371,0.774833,0.58864,1.040527,-0.033848,0.798359,5,synthetic/back/senior/good_form,synthetic_good_form_00005.mp4,back,senior,1,good_form,synthetic
0.511641,0.071956,-0.109674,0.785166,0.48263,0.050002,-0.121315,0.777977,0.476688,0.061016,-0.109474,0.822547,0.469127,0.053398,-0.128454,0.833545,0.521729,0.065632,-0.100667,0.790681,0.529697,0.042455,-0.11764,0.784117,0.54243,0.076144,-0.108852,0.801479,0.44118,0.112776,-0.034985,0.779353,0.547084,0.116758,-0.044247,0.747866,0.501084,0.12086,-0.085516,0.77563,0.51138,0.12496,-0.07073,0.791966,0.399587,0.276661,0.015134,0.855633,0.599859,0.280208,0.011864,0.943682,0.360662,0.462755,-0.004468,0.799792,0.406021,0.308407,0.002772,0.968807,0.321355,0.679735,0.009162,0.73431,0.4632,0.473716,-0.004642,0.923215,0.315011,0.714496,0.019258,0.832938,0.68397,0.709377,0.026902,0.765783,0.308342,0.694391,0.021546,0.837811,0.69287,0.704165,0.019488,0.805028,0.322738,0.713614,0.019623,0.779988,0.677002,0.706781,0.006118,0.780906,0.428085,0.621206,0.007903,0.780922,0.561573,0.637843,0.003958,0.918235,0.42339,0.806668,-0.003153,0.817543,0.572232,0.820641,0.003224,0.81031,0.421238,0.995248,-0.001209,0.796304,0.559243,0.997768,-0.001054,0.861955,0.433417,1.013313,0.028206,0.809124,0.569006,1.020772,0.030983,0.767386,0.431884,1.03626,-0.012579,0.822203,0.565788,1.033443,-0.019708,0.766175,6,synthetic/back/senior/good_form,synthetic_good_form_00006.mp4,back,senior,1,good_form,synthetic
0.505496,0.095596,-0.089193,0.776843,0.491435,0.06345,-0.117397,0.799408,0.476685,0.052299,-0.119487,0.818966,0.459691,0.080641,-0.108876,0.825042,0.509095,0.052308,-0.116324,0.806423,0.533448,0.06164,-0.116201,0.791354,0.528164,0.082467,-0.113035,0.810486,0.455429,0.107013,-0.044496,0.803046,0.554532,0.105826,-0.036642,0.810243,0.487421,0.120044,-0.086242,0.800526,0.520826,0.123378,-0.074787,0.792052,0.401514,0.274284,0.008526,0.776904,0.610782,0.274045,-0.001659,0.97643,0.367315,0.479972,-0.002194,0.78533,0.431463,0.337226,0.006477,0.894585,0.33542,0.67992,0.005532,0.788665,0.470603,0.495772,-0.003222,0.991076,0.30827,0.708878,0.033919,0.847897,0.671773,0.707796,0.027551,0.794477,0.306171,0.708063,0.022381,0.869578,0.67611,0.696223,0.024595,0.732276,0.315419,0.683794,0.014663,0.863404,0.68427,0.697389,0.015672,0.827952,0.430595,0.609533,0.00751,0.78756,0.56246,0.613051,-0.000806,0.933579,0.425929,0.821467,-0.009941,0.742487,0.574389,0.837225,0.010703,0.810271,0.445138,0.996121,0.005717,0.787418,0.571285,1.002042,-0.007338,0.770307,0.425949,1.031323,0.024022,0.818232,0.581709,1.015739,0.022261,0.789984,0.430092,1.042134,-0.004171,0.801202,0.575476,1.034652,-0.022211,0.798487,7,synthetic/back/senior/good_form,synthetic_good_form_00007.mp4,back,senior,1,good_form,synthetic
0.507466,0.081696,-0.089911,0.789019,0.47164,0.053839,-0.110929,0.783394,0.468353,0.055219,-0.112517,0.780375,0.471471,0.064509,-0.118483,0.816666,0.52289,0.061009,-0.108472,0.796511,0.53162,0.064707,-0.133455,0.815401,0.547225,0.084001,-0.120707,0.820515,0.452431,0.112516,-0.04646,0.788943,0.548665,0.111671,-0.052595,0.813685,0.477481,0.110492,-0.08324,0.799184,0.52864,0.138406,-0.094505,0.836969,0.396844,0.279788,0.00072,0.810518,0.59441,0.260317,0.001562,0.926537,0.354502,0.47166,0.009146,0.746384,0.416058,0.319132,-0.013462,0.916706,0.325681,0.676484,0.007353,0.795953,0.503543,0.45845,-0.001207,0.928579,0.311032,0.728681,0.021403,0.797681,0.674013,0.727588,0.025786,0.791248,0.323612,0.715616,0.037482,0.805737,0.697664,0.706141,0.027415,0.8524,0.324427,0.698297,0.015972,0.790866,0.683893,0.700088,0.009461,0.839499,0.425347,0.620845,-0.000123,0.788586,0.565607,0.614474,0.001357,0.909279,0.419235,0.830759,-0.000849,0.808067,0.582745,0.820395,0.005199,0.807538,0.426394,1.009111,0.008649,0.792541,0.570247,0.99896,-0.00045,0.794047,0.436114,1.02013,0.017521,0.818043,0.578579,1.021959,0.032532,0.76635,0.43534,1.040055,-0.021368,0.772144,0.577977,1.032037,-0.025526,0.743385,8,synthetic/back/senior/good_form,synthetic_good_form_00008.mp4,back,senior,1,good_form,synthetic
0.511465,0.078669,-0.108669,0.757961,0.475104,0.057182,-0.129893,0.765834,0.472874,0.065795,-0.117536,0.775191,0.445454,0.071575,-0.11139,0.810846,0.515046,0.054305,-0.115382,0.76194,0.528811,0.071245,-0.124709,0.77323,0.536236,0.077187,-0.130272,0.854765,0.448846,0.111395,-0.053761,0.85527,0.547755,0.107164,-0.057481,0.77337,0.475155,0.115895,-0.083961,0.831323,0.529377,0.134025,-0.083186,0.760325,0.405388,0.278813,6.6e-05,0.861355,0.604063,0.285815,0.002967,0.887064,0.344596,0.472194,0.000181,0.870284,0.423705,0.331611,-8.7e-05,0.915287,0.329541,0.669747,-0.02232,0.770993,0.551001,0.432229,-0.001954,0.978493,0.322333,0.723054,0.024406,0.788169,0.690314,0.718808,0.022495,0.777122,0.319643,0.705735,0.020008,0.799162,0.697498,0.698838,0.020602,0.807974,0.330032,0.705398,0.024134,0.811485,0.678875,0.713216,0.006915,0.806955,0.418939,0.622861,0.00026,0.79015,0.561733,0.630502,0.00521,0.935939,0.43851,0.82139,-0.004835,0.809629,0.567911,0.827765,1.4e-05,0.800975,0.426773,0.996396,0.00043,0.800231,0.584017,1.008055,0.013335,0.794595,0.430121,1.023027,0.010717,0.82182,0.580424,1.024768,0.018562,0.838523,0.434819,1.044422,-0.017577,0.807617,0.575406,1.044824,-0.024629,0.813033,9,synthetic/back/senior/good_form,synthetic_good_form_00009.mp4,back,senior,1,good_form,synthetic
