landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.48952,0.074704,-0.105987,0.797923,0.475773,0.074053,-0.118127,0.763951,0.472699,0.05708,-0.115525,0.794838,0.459276,0.08113,-0.124824,0.777327,0.515173,0.053907,-0.125308,0.811793,0.522046,0.073364,-0.127591,0.82124,0.548896,0.066712,-0.129645,0.783752,0.455342,0.092408,-0.052311,0.777224,0.546757,0.105471,-0.056825,0.742024,0.474497,0.110998,-0.074174,0.813475,0.516393,0.120178,-0.07543,0.850125,0.405913,0.263712,-0.003069,0.819883,0.599938,0.265978,0.009503,0.912032,0.365011,0.483169,0.002123,0.825358,0.456161,0.402971,-0.008044,0.98986,0.333491,0.671283,0.013349,0.816845,0.624388,0.462772,0.006936,0.910292,0.332095,0.706055,0.014867,0.825831,0.681638,0.715719,0.023106,0.798574,0.325475,0.695923,0.018058,0.817789,0.697482,0.683527,0.025174,0.753482,0.316696,0.705007,0.013168,0.796482,0.671568,0.698594,0.031998,0.817845,0.408361,0.617546,-0.001187,0.769808,0.565848,0.622741,-0.00154,0.909324,0.436722,0.813837,-0.00757,0.802801,0.580638,0.820621,-0.001064,0.776796,0.428308,1.011968,0.001729,0.771343,0.578426,0.985373,0.001009,0.809366,0.406964,1.017669,0.034992,0.776055,0.571038,1.020827,0.029297,0.788946,0.434031,1.055734,-0.026477,0.775661,0.554539,1.03308,-0.01762,0.78909,0,synthetic/bicep/adult/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00000.mp4,bicep,adult,0,bad_form_elbow_swing,synthetic
0.497176,0.081752,-0.107111,0.787475,0.490752,0.053194,-0.12422,0.820297,0.475413,0.063905,-0.120513,0.787468,0.456883,0.069162,-0.117084,0.819321,0.530802,0.068217,-0.130403,0.785603,0.534925,0.062512,-0.126922,0.749198,0.540584,0.083983,-0.111626,0.805487,0.467699,0.105505,-0.053584,0.791673,0.546409,0.107959,-0.047169,0.800248,0.476323,0.117666,-0.081232,0.825152,0.52989,0.116381,-0.097477,0.75747,0.404877,0.282192,0.008475,0.797107,0.606618,0.28441,0.009781,0.962606,0.348722,0.477672,-0.004472,0.821122,0.422798,0.364508,-0.005949,0.983373,0.330084,0.683083,0.011172,0.823556,0.402142,0.543359,-0.008118,0.97373,0.323569,0.723284,0.027078,0.794456,0.674707,0.711023,0.018118,0.822122,0.327807,0.697988,0.029733,0.829015,0.70337,0.71613,0.021595,0.815645,0.312456,0.715371,0.027159,0.806119,0.686727,0.697778,0.03355,0.797975,0.419863,0.617352,-0.004614,0.763035,0.572979,0.592753,-0.00128,0.988417,0.40664,0.820443,0.004854,0.817976,0.575846,0.799972,-0.000732,0.789948,0.425874,1.002571,-0.000684,0.80699,0.561512,1.000862,0.007191,0.782123,0.417642,1.000176,0.026301,0.814265,0.58718,1.026808,0.026252,0.824445,0.417335,1.029253,-0.001674,0.820031,0.557391,1.039027,-0.016117,0.753446,1,synthetic/bicep/adult/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00001.mp4,bicep,adult,0,bad_form_elbow_swing,synthetic
0.500269,0.078262,-0.104115,0.771054,0.483802,0.048721,-0.12438,0.809957,0.46866,0.051478,-0.132972,0.81276,0.464846,0.070114,-0.116256,0.777793,0.527182,0.061974,-0.135611,0.856528,0.534157,0.070897,-0.116439,0.824247,0.539291,0.076155,-0.121004,0.766593,0.4466,0.09609,-0.049118,0.817788,0.567356,0.098125,-0.050031,0.783897,0.482143,0.120603,-0.078196,0.811309,0.514005,0.116299,-0.076849,0.875322,0.395015,0.271947,-0.001187,0.80305,0.608276,0.286057,0.009808,0.963431,0.339001,0.488341,0.001018,0.812829,0.458992,0.415076,-0.007834,0.950273,0.316463,0.677868,0.011671,0.858618,0.493466,0.591882,0.002042,0.975063,0.323693,0.723996,0.020736,0.79026,0.678503,0.718734,0.002816,0.783657,0.328837,0.709814,0.037304,0.842548,0.688466,0.694961,0.025806,0.848676,0.323861,0.711779,0.018545,0.781421,0.693727,0.703521,0.02097,0.822918,0.439134,0.618935,0.006671,0.796573,0.582359,0.607227,-0.009968,0.903503,0.429758,0.810284,-0.000591,0.804641,0.566014,0.82452,0.005587,0.770861,0.421812,1.010133,0.006639,0.820069,0.561818,1.008009,-0.009403,0.72238,0.423959,1.022928,0.031043,0.823691,0.580356,1.024151,0.024655,0.767048,0.428596,1.038643,-0.022161,0.815094,0.566785,1.027589,-0.024304,0.742993,2,synthetic/bicep/adult/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00002.mp4,bicep,adult,0,bad_form_elbow_swing,synthetic
0.501972,0.088736,-0.094393,0.799803,0.479452,0.052033,-0.124438,0.780624,0.457424,0.064467,-0.119148,0.77121,0.451892,0.053936,-0.118913,0.779914,0.504401,0.060683,-0.124054,0.760845,0.523053,0.067138,-0.121283,0.809678,0.546076,0.070542,-0.119832,0.800562,0.440207,0.089247,-0.031878,0.756984,0.55656,0.108106,-0.054167,0.80958,0.483789,0.122109,-0.075599,0.777189,0.510716,0.140204,-0.086364,0.792757,0.410433,0.275617,0.002294,0.799013,0.597426,0.280215,-0.00574,0.99843,0.345054,0.474974,0.014694,0.768921,0.466182,0.434039,-0.011781,0.925578,0.334331,0.683755,-0.007767,0.742288,0.550272,0.591572,-0.001477,0.921381,0.314993,0.729726,0.020792,0.826481,0.686137,0.729439,0.03344,0.819482,0.31286,0.715674,0.020102,0.788129,0.694653,0.688276,0.023035,0.778073,0.335207,0.697784,0.030745,0.78911,0.701799,0.705898,0.021649,0.7954,0.433328,0.620936,0.008973,0.797914,0.568459,0.63487,0.01178,0.953827,0.42679,0.812974,0.006015,0.789475,0.567431,0.828917,-0.005259,0.731907,0.431316,1.003118,0.004601,0.805914,0.559085,0.999092,0.001356,0.766952,0.415677,1.037033,0.023203,0.780784,0.579152,1.052543,0.019742,0.77861,0.428297,1.045236,-0.021628,0.782898,0.561487,1.049929,-0.013909,0.802831,3,synthetic/bicep/adult/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00003.mp4,bicep,adult,0,bad_form_elbow_swing,synthetic
0.492677,0.082244,-0.101583,0.784164,0.486707,0.040074,-0.131384,0.813621,0.462767,0.074456,-0.130645,0.773283,0.457682,0.06618,-0.115623,0.818972,0.515546,0.066751,-0.116832,0.774305,0.531757,0.048513,-0.117023,0.806183,0.548885,0.069741,-0.126426,0.765432,0.448759,0.096232,-0.047265,0.786318,0.55059,0.102046,-0.053724,0.744959,0.478938,0.124811,-0.091367,0.802074,0.509073,0.121612,-0.059193,0.817212,0.406483,0.289108,-0.006722,0.799945,0.600612,0.278785,-0.001536,0.938343,0.347669,0.470165,0.002676,0.796586,0.455529,0.415175,-0.001696,0.896656,0.332862,0.690847,0.008351,0.800216,0.580551,0.538444,0.00247,0.967384,0.329617,0.723823,0.014938,0.800864,0.669359,0.715625,0.01748,0.821932,0.31023,0.69549,0.022171,0.789328,0.683786,0.694975,0.023218,0.834889,0.320935,0.693763,0.005551,0.821295,0.681762,0.713334,0.014466,0.778891,0.427174,0.610095,0.008294,0.800263,0.566528,0.611636,-0.010039,0.977716,0.433312,0.835627,0.01366,0.842848,0.577575,0.805306,0.004822,0.835264,0.432854,1.008078,0.008071,0.76738,0.574754,0.991011,0.007838,0.789294,0.424014,1.01302,0.024878,0.841505,0.583795,1.026607,0.009283,0.768908,0.426593,1.042624,-0.026216,0.799905,0.566318,1.042791,-0.035019,0.758801,4,synthetic/bicep/adult/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00004.mp4,bicep,adult,0,bad_form_elbow_swing,synthetic
0.504728,0.076282,-0.099068,0.775989,0.475855,0.0552,-0.114253,0.821861,0.458333,0.066063,-0.130403,0.784785,0.467243,0.054053,-0.126186,0.815895,0.511076,0.071024,-0.130768,0.781596,0.525446,0.057945,-0.116496,0.822635,0.536899,0.078211,-0.121396,0.802363,0.458138,0.102389,-0.055983,0.790091,0.553,0.104753,-0.059727,0.787228,0.476329,0.110796,-0.077758,0.845635,0.534382,0.113338,-0.093741,0.781275,0.401991,0.272433,0.009735,0.767202,0.607202,0.290743,-0.00815,0.946383,0.347268,0.476302,-0.009758,0.821841,0.449599,0.412924,0.002619,0.908225,0.323784,0.67754,0.001183,0.753105,0.592536,0.528128,0.002278,0.98832,0.331013,0.731222,0.016152,0.747234,0.672218,0.725446,0.016685,0.695404,0.31541,0.703766,0.002465,0.839878,0.694954,0.697994,0.017205,0.796867,0.321413,0.697063,0.027191,0.782812,0.687294,0.704709,0.017275,0.818895,0.430155,0.628348,-0.030426,0.820382,0.568753,0.617575,-0.006081,0.945796,0.41932,0.825344,-0.0054,0.743817,0.563171,0.828571,-0.00659,0.825518,0.427089,1.001693,0.005155,0.821581,0.560021,1.009577,-0.008493,0.749762,0.416573,1.027573,0.020918,0.812981,0.579123,1.020045,0.015706,0.852057,0.431638,1.047276,-0.017709,0.756424,0.567302,1.029212,-0.027306,0.784298,5,synthetic/bicep/adult/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00005.mp4,bicep,adult,0,bad_form_elbow_swing,synthetic
0.493569,0.076218,-0.11589,0.784262,0.47522,0.04236,-0.117006,0.798928,0.459604,0.067293,-0.124315,0.754035,0.460522,0.072543,-0.120654,0.805804,0.527581,0.064281,-0.117976,0.734066,0.525797,0.067997,-0.11114,0.79356,0.544776,0.074329,-0.119643,0.824231,0.440663,0.088458,-0.031933,0.839933,0.544924,0.104185,-0.02132,0.848058,0.488647,0.115147,-0.07594,0.81674,0.517298,0.120661,-0.059787,0.791321,0.403081,0.268368,0.004959,0.84261,0.600645,0.274155,-0.004694,0.991949,0.334183,0.481302,-0.007493,0.764377,0.417636,0.34678,0.015677,0.895645,0.334851,0.690029,-0.002485,0.801716,0.345732,0.517373,0.003798,0.941262,0.314408,0.719308,0.02959,0.814632,0.66656,0.722503,0.023662,0.818347,0.322255,0.691267,0.018333,0.790608,0.688436,0.699681,0.014586,0.761387,0.317793,0.693922,0.017182,0.838655,0.682073,0.702466,0.011905,0.800316,0.432939,0.61009,-0.001296,0.820446,0.583846,0.623739,-0.015052,0.964828,0.428585,0.827336,-0.00291,0.751184,0.576118,0.820089,-0.003882,0.824617,0.441827,0.998092,0.005756,0.842888,0.554678,1.01238,0.003305,0.826332,0.413456,1.020964,0.013035,0.750148,0.575749,1.030804,0.018886,0.842554,0.425105,1.045829,-0.028563,0.73816,0.562246,1.038627,-0.021051,0.814468,6,synthetic/bicep/adult/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00006.mp4,bicep,adult,0,bad_form_elbow_swing,synthetic
0.499482,0.072097,-0.10708,0.775245,0.477465,0.056496,-0.125821,0.757815,0.489728,0.043789,-0.122164,0.807989,0.454071,0.074256,-0.118009,0.766674,0.51703,0.057353,-0.112926,0.771576,0.540716,0.0606,-0.124306,0.834726,0.549993,0.060441,-0.119115,0.8034,0.452693,0.090461,-0.06592,0.83071,0.561326,0.102281,-0.040723,0.81605,0.468352,0.098203,-0.087902,0.794926,0.511792,0.116259,-0.095051,0.797756,0.402207,0.279458,-0.009692,0.827924,0.596691,0.27771,0.002916,0.914035,0.35887,0.466612,0.00654,0.847573,0.412047,0.343875,-0.001014,0.953032,0.323403,0.681906,-0.002261,0.797414,0.551805,0.453618,0.000636,0.946312,0.314578,0.716897,0.017962,0.862197,0.684504,0.723724,0.007625,0.837675,0.296696,0.69694,0.042735,0.829766,0.684072,0.702925,0.021669,0.840094,0.308884,0.700247,0.010246,0.793438,0.687161,0.702316,0.014005,0.805215,0.433916,0.62682,0.0087,0.789899,0.565519,0.617317,0.005369,0.945475,0.423004,0.815535,-0.008809,0.803177,0.572875,0.836336,0.013382,0.801087,0.433985,1.000192,-0.009508,0.821497,0.568337,0.991486,0.00691,0.74316,0.427109,1.008786,0.033071,0.855567,0.583833,1.019911,0.027644,0.781977,0.432124,1.033457,-0.021795,0.815573,0.572311,1.045943,-0.026985,0.83928,7,synthetic/bicep/adult/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00007.mp4,bicep,adult,0,bad_form_elbow_swing,synthetic
0.508618,0.090083,-0.102455,0.781159,0.475298,0.065879,-0.117836,0.87749,0.475528,0.074156,-0.116572,0.746841,0.469049,0.074644,-0.121415,0.762762,0.530271,0.05291,-0.129802,0.807025,0.517227,0.063434,-0.116036,0.817299,0.538542,0.056048,-0.128201,0.82046,0.448749,0.112874,-0.043057,0.827832,0.545242,0.100398,-0.049963,0.818306,0.486656,0.122376,-0.073439,0.825635,0.513255,0.113523,-0.084689,0.800221,0.398776,0.282996,0.000946,0.830965,0.604003,0.26639,0.003544,0.919785,0.354161,0.478311,-0.012409,0.788557,0.463257,0.403289,0.005814,0.984046,0.337494,0.682279,-0.004637,0.797765,0.466513,0.5789,0.01374,0.919265,0.319721,0.735571,0.014179,0.77915,0.666982,0.723437,0.015025,0.795361,0.314508,0.685734,0.017926,0.758711,0.696772,0.693506,0.028423,0.774164,0.310915,0.705459,0.006657,0.756277,0.679539,0.709467,0.016218,0.8546,0.434547,0.618398,-0.003923,0.791331,0.564438,0.626162,-0.000437,0.969532,0.425898,0.822782,0.021497,0.826716,0.570544,0.813713,-0.001856,0.787741,0.434807,0.997085,0.000436,0.749453,0.552128,1.003171,0.003477,0.847322,0.413887,1.00457,0.013519,0.799282,0.574358,1.015535,0.010691,0.799097,0.424326,1.034306,-0.024048,0.794241,0.559986,1.053112,-0.004911,0.808098,8,synthetic/bicep/adult/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00008.mp4,bicep,adult,0,bad_form_elbow_swing,synthetic
0.509293,0.09142,-0.107298,0.761665,0.480791,0.056725,-0.116418,0.789775,0.461329,0.072244,-0.126455,0.774172,0.449003,0.069598,-0.118929,0.7789,0.52242,0.060466,-0.113894,0.818662,0.542056,0.059902,-0.120435,0.799656,0.541703,0.071441,-0.119156,0.813583,0.447027,0.101734,-0.052227,0.809182,0.550327,0.091556,-0.046264,0.84135,0.479694,0.116184,-0.090925,0.884902,0.523088,0.123415,-0.08914,0.773695,0.408619,0.276987,0.007856,0.826213,0.602255,0.297553,0.013762,0.956172,0.345764,0.47447,-0.005502,0.806209,0.423644,0.379848,0.004821,0.941207,0.336343,0.673445,0.01039,0.811082,0.372864,0.551296,-0.006981,0.918849,0.321048,0.719212,0.016773,0.831699,0.678933,0.723726,0.032925,0.808898,0.297568,0.706676,0.024434,0.810702,0.68942,0.704647,0.0151,0.793246,0.317097,0.706745,0.003873,0.801492,0.681092,0.703872,0.013535,0.824364,0.421971,0.614077,0.0038,0.8247,0.571662,0.616815,0.018858,0.873022,0.425508,0.832909,-0.011683,0.866057,0.578969,0.817276,-0.012795,0.790169,0.425281,0.997845,0.008103,0.793827,0.584235,1.003352,-0.000708,0.777017,0.419218,1.015509,0.027473,0.790925,0.576582,1.03159,0.028801,0.759904,0.423564,1.049953,-0.027689,0.792576,0.560316,1.039116,-0.016994,0.761091,9,synthetic/bicep/adult/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00009.mp4,bicep,adult,0,bad_form_elbow_swing,synthetic
