landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.495092,0.084482,-0.104079,0.822848,0.492308,0.053836,-0.126029,0.810615,0.46242,0.048524,-0.116403,0.791091,0.472695,0.064914,-0.121262,0.810423,0.524816,0.058475,-0.124707,0.809328,0.541348,0.049889,-0.128078,0.784477,0.542997,0.078619,-0.125862,0.829989,0.452125,0.102545,-0.06204,0.794602,0.561876,0.119375,-0.047799,0.832201,0.488531,0.115545,-0.07174,0.801504,0.527834,0.114445,-0.072996,0.800745,0.394065,0.284178,-0.010524,0.793817,0.580894,0.284767,-0.002537,0.948547,0.349904,0.479575,0.00819,0.804391,0.534829,0.472513,-0.013258,0.968514,0.330094,0.687218,-0.009022,0.832137,0.697444,0.398818,0.00178,0.972836,0.319759,0.70457,0.023076,0.80443,0.683156,0.730863,0.022803,0.833138,0.311949,0.693637,0.024101,0.853693,0.697475,0.696862,0.014792,0.80787,0.315529,0.70198,0.018139,0.823336,0.667162,0.697884,0.027873,0.785415,0.424511,0.623218,0.005875,0.84624,0.573396,0.627098,-0.003856,0.909292,0.431744,0.813542,0.000743,0.855568,0.586909,0.823959,0.008865,0.799914,0.425672,1.004942,-0.008804,0.76669,0.575361,0.987901,-0.002244,0.774666,0.421881,1.01853,0.031688,0.809252,0.576875,1.021412,0.013279,0.767873,0.421308,1.015961,-0.031124,0.762941,0.550499,1.036542,-0.035657,0.83601,0,synthetic/bicep/adult/good_form,synthetic_good_form_00000.mp4,bicep,adult,1,good_form,synthetic
0.493529,0.070134,-0.106537,0.809118,0.486204,0.055293,-0.117322,0.748103,0.467731,0.057595,-0.120551,0.784618,0.446524,0.081353,-0.110791,0.826973,0.515048,0.070096,-0.119011,0.832525,0.528007,0.054267,-0.126536,0.834378,0.541834,0.069847,-0.117759,0.783488,0.454861,0.088983,-0.050555,0.753951,0.551439,0.108975,-0.068078,0.799714,0.48295,0.127864,-0.082254,0.777915,0.525772,0.125984,-0.085575,0.804702,0.40522,0.269252,0.01002,0.807775,0.628173,0.290999,0.003078,0.939474,0.359824,0.495129,0.001901,0.846625,0.558001,0.471174,-0.003697,0.945204,0.343506,0.675966,-0.005927,0.824296,0.73568,0.456699,0.005618,0.940058,0.319212,0.718424,0.027406,0.819432,0.692625,0.71792,0.015921,0.828081,0.306325,0.690473,0.022301,0.838749,0.672413,0.691297,0.018201,0.802675,0.315206,0.69115,0.009334,0.833151,0.685008,0.698469,0.019878,0.824615,0.422868,0.617454,-0.006862,0.805767,0.545936,0.631363,-0.001631,0.99656,0.436425,0.828839,-0.010519,0.825392,0.578143,0.801371,-0.001245,0.808568,0.434416,0.994465,-0.002391,0.802978,0.573261,0.984099,0.010243,0.799033,0.425932,1.020348,0.02395,0.778427,0.591048,1.008824,0.01967,0.80874,0.429176,1.046592,-0.026742,0.770956,0.568777,1.042566,-0.020346,0.849432,1,synthetic/bicep/adult/good_form,synthetic_good_form_00001.mp4,bicep,adult,1,good_form,synthetic
0.49229,0.068351,-0.102379,0.791459,0.488246,0.059676,-0.114486,0.836549,0.479527,0.056504,-0.123148,0.771718,0.456173,0.078804,-0.127393,0.874192,0.520267,0.062296,-0.099848,0.763203,0.529454,0.055873,-0.132822,0.810074,0.545586,0.060283,-0.127305,0.789721,0.446674,0.0964,-0.04055,0.795545,0.542714,0.107218,-0.053306,0.799569,0.478186,0.128432,-0.085557,0.794066,0.522371,0.116224,-0.064774,0.834135,0.409097,0.297562,0.006233,0.80379,0.612703,0.274805,0.005354,0.9374,0.352509,0.47795,-0.009841,0.850474,0.533263,0.470702,0.013882,0.875607,0.332567,0.684901,0.00054,0.845077,0.713002,0.509003,0.003564,0.905255,0.315336,0.723865,0.004216,0.795525,0.692585,0.715354,0.011564,0.801552,0.326944,0.693126,0.012809,0.815664,0.696247,0.701817,0.010309,0.791242,0.318628,0.692232,0.025273,0.801194,0.688825,0.699366,0.019442,0.79742,0.4219,0.608055,0.004162,0.827413,0.564969,0.61949,-0.000977,0.977354,0.420021,0.823141,-0.004423,0.833663,0.571247,0.828686,0.002705,0.81596,0.42807,1.006118,0.003598,0.818097,0.557442,0.99707,-0.002254,0.771098,0.418324,1.017646,0.008905,0.805843,0.577841,1.023712,0.027769,0.77661,0.411372,1.036033,-0.009733,0.813878,0.574158,1.054782,-0.033954,0.709502,2,synthetic/bicep/adult/good_form,synthetic_good_form_00002.mp4,bicep,adult,1,good_form,synthetic
0.497918,0.100278,-0.090413,0.837751,0.485834,0.057302,-0.113952,0.82989,0.465299,0.070061,-0.110897,0.826427,0.453764,0.078627,-0.128371,0.801325,0.526871,0.051367,-0.119979,0.783098,0.519394,0.056734,-0.110109,0.786088,0.533414,0.062299,-0.124077,0.819621,0.448265,0.108631,-0.044857,0.819315,0.54542,0.080903,-0.05175,0.790573,0.477527,0.126998,-0.083478,0.821124,0.523843,0.117689,-0.079744,0.802541,0.403653,0.275272,-0.01221,0.789061,0.59861,0.273441,0.00829,0.950579,0.350185,0.472467,-0.006288,0.786493,0.53655,0.474924,-0.002944,0.940586,0.336102,0.680736,0.010246,0.770407,0.688101,0.568816,0.003421,0.960909,0.324363,0.726521,0.001474,0.813225,0.682744,0.708992,0.009532,0.772603,0.310698,0.725476,0.040402,0.812199,0.694715,0.69028,0.007347,0.76766,0.326007,0.683779,0.026033,0.832916,0.683313,0.699493,0.02134,0.785565,0.425309,0.61623,-0.003246,0.81691,0.552161,0.617883,-0.011154,0.959284,0.445383,0.824556,0.003727,0.817589,0.571245,0.823599,-0.009779,0.813768,0.43159,0.994523,-0.00471,0.794907,0.569488,0.987794,0.007367,0.811525,0.409036,1.030711,0.027719,0.742753,0.582358,1.002522,0.028287,0.797264,0.435845,1.043232,-0.029053,0.836994,0.560627,1.036424,-0.029254,0.831381,3,synthetic/bicep/adult/good_form,synthetic_good_form_00003.mp4,bicep,adult,1,good_form,synthetic
0.498054,0.076197,-0.102487,0.816259,0.475606,0.050804,-0.12379,0.833136,0.460219,0.057141,-0.116789,0.791677,0.465821,0.072992,-0.124465,0.830333,0.519764,0.065638,-0.11411,0.807502,0.535864,0.056631,-0.116414,0.800025,0.536035,0.074887,-0.116645,0.847029,0.450719,0.099669,-0.043428,0.799405,0.56129,0.104427,-0.053821,0.814959,0.480925,0.115829,-0.091358,0.799792,0.513239,0.134072,-0.076185,0.788428,0.391786,0.285979,0.008198,0.866113,0.61994,0.276962,0.014559,0.995587,0.354334,0.481023,-0.00439,0.830395,0.571927,0.470374,-0.007861,0.946264,0.331067,0.672979,-0.003978,0.761884,0.556096,0.651077,0.001494,0.984034,0.321828,0.706263,0.026054,0.823364,0.664984,0.715601,0.022565,0.738522,0.306666,0.718357,0.033248,0.795172,0.706088,0.694472,0.031159,0.776046,0.32254,0.686484,0.028692,0.831091,0.683839,0.712153,0.030873,0.824068,0.439402,0.621304,0.007692,0.799068,0.587469,0.620179,0.010008,0.978353,0.426995,0.809496,0.001681,0.818182,0.572893,0.822004,-0.013914,0.87937,0.417794,1.006193,-0.000665,0.812215,0.572075,0.996623,-0.00273,0.759298,0.429706,1.024848,0.01582,0.752117,0.563648,1.008174,0.02611,0.802222,0.43725,1.035762,-0.021785,0.83527,0.556712,1.049807,-0.030652,0.835962,4,synthetic/bicep/adult/good_form,synthetic_good_form_00004.mp4,bicep,adult,1,good_form,synthetic
0.511036,0.078257,-0.098457,0.829137,0.469125,0.06321,-0.12918,0.800998,0.473129,0.068272,-0.112416,0.756614,0.449103,0.069606,-0.123501,0.820535,0.529139,0.050802,-0.105502,0.843867,0.546838,0.052273,-0.109098,0.778712,0.533044,0.074276,-0.124865,0.731724,0.453755,0.109912,-0.060116,0.837302,0.568549,0.11035,-0.047318,0.807952,0.480306,0.120781,-0.07303,0.82353,0.531576,0.110522,-0.082108,0.741886,0.392239,0.274128,-0.001885,0.765785,0.612352,0.274393,-0.00384,0.967999,0.353745,0.491571,0.004145,0.818119,0.551915,0.459583,0.004828,0.954274,0.329625,0.67886,-0.004602,0.826256,0.542196,0.641553,0.002428,0.944566,0.323254,0.722024,0.02269,0.828079,0.68531,0.714925,0.016987,0.826229,0.309142,0.689619,0.025229,0.794096,0.666014,0.696021,0.037708,0.846345,0.320679,0.702884,0.018424,0.738223,0.684724,0.700763,0.021165,0.799016,0.432998,0.62284,0.005882,0.792253,0.566862,0.622514,-0.00614,0.939627,0.426715,0.818958,-0.005104,0.817035,0.57901,0.821019,-0.006531,0.752906,0.423247,0.987679,0.003767,0.781352,0.565423,1.001854,0.016086,0.791657,0.42399,1.02621,0.013769,0.784008,0.566904,1.025285,0.029878,0.871518,0.42777,1.032923,-0.020924,0.853259,0.568118,1.034234,-0.021264,0.795304,5,synthetic/bicep/adult/good_form,synthetic_good_form_00005.mp4,bicep,adult,1,good_form,synthetic
0.512319,0.070773,-0.089493,0.822862,0.498075,0.059746,-0.109342,0.762031,0.472929,0.069411,-0.129882,0.777543,0.470835,0.059447,-0.118367,0.80022,0.525303,0.070263,-0.11135,0.799889,0.539159,0.064171,-0.120498,0.819465,0.537377,0.07144,-0.11119,0.816699,0.455652,0.100127,-0.054356,0.793458,0.550791,0.104278,-0.035164,0.810099,0.468901,0.124388,-0.082102,0.833402,0.511431,0.123448,-0.078632,0.816194,0.400502,0.268473,0.008539,0.791066,0.612423,0.26893,-0.008851,1.0,0.359255,0.49419,0.000732,0.775183,0.577019,0.467711,0.009132,0.928502,0.33641,0.689406,-0.009362,0.78579,0.689436,0.610863,0.013868,0.965001,0.31303,0.725418,0.022842,0.795418,0.683216,0.732025,0.019083,0.802859,0.297243,0.713706,0.00648,0.843611,0.690999,0.702536,0.017089,0.769003,0.320328,0.6985,0.021109,0.81241,0.687493,0.695744,0.015047,0.795257,0.419462,0.623971,0.002769,0.783641,0.562751,0.623566,0.012076,0.975661,0.432112,0.828487,-0.012534,0.778828,0.570372,0.815401,-0.01325,0.785201,0.437614,0.994688,0.00763,0.772108,0.56266,0.995822,0.01258,0.767231,0.428208,1.002519,0.030515,0.847323,0.580996,1.01973,0.023418,0.830389,0.414093,1.05706,-0.009393,0.766191,0.568905,1.041289,-0.01582,0.79387,6,synthetic/bicep/adult/good_form,synthetic_good_form_00006.mp4,bicep,adult,1,good_form,synthetic
0.500386,0.080406,-0.10177,0.777172,0.476474,0.071553,-0.128504,0.837822,0.460654,0.047933,-0.119489,0.689922,0.454673,0.073517,-0.1271,0.844334,0.524142,0.058425,-0.127764,0.796105,0.515366,0.062005,-0.121891,0.75188,0.542815,0.068443,-0.116166,0.770062,0.450741,0.110856,-0.033577,0.797841,0.554856,0.098971,-0.051803,0.802317,0.496008,0.115863,-0.075669,0.82394,0.520654,0.124243,-0.070365,0.828309,0.405072,0.280129,0.006342,0.792855,0.616437,0.290273,0.00253,0.94334,0.351132,0.479056,0.000434,0.806838,0.558621,0.471158,-0.00202,0.967195,0.336338,0.657757,0.006617,0.746772,0.734915,0.49536,0.008029,0.971894,0.319848,0.714076,0.017268,0.776268,0.685728,0.728861,0.00399,0.822747,0.307058,0.715609,0.022019,0.823317,0.686156,0.715975,0.015974,0.806637,0.326014,0.705483,0.021086,0.810638,0.676667,0.701766,0.012718,0.807961,0.438344,0.628305,-0.020859,0.803589,0.571535,0.620352,0.006241,0.954402,0.424915,0.826584,-0.003064,0.782607,0.577449,0.828064,0.008528,0.828732,0.426697,1.008693,-0.003465,0.789133,0.549453,0.992682,-0.010261,0.818058,0.407824,1.025492,0.010448,0.813591,0.565815,1.029408,0.018469,0.875944,0.432187,1.035603,-0.031508,0.787117,0.578937,1.037509,-0.030563,0.831916,7,synthetic/bicep/adult/good_form,synthetic_good_form_00007.mp4,bicep,adult,1,good_form,synthetic
0.500703,0.079573,-0.096494,0.839061,0.480776,0.057546,-0.117096,0.805453,0.484224,0.050711,-0.118481,0.793296,0.473654,0.063469,-0.1236,0.798079,0.513405,0.052889,-0.118715,0.803495,0.537839,0.05712,-0.110814,0.845232,0.554369,0.062751,-0.10655,0.807237,0.463664,0.095555,-0.049776,0.797703,0.537103,0.097273,-0.066995,0.769186,0.469246,0.125115,-0.079599,0.799409,0.519208,0.123332,-0.060883,0.801354,0.393233,0.282775,-0.007428,0.81033,0.603603,0.287611,-0.018393,0.960836,0.360719,0.468728,-0.008191,0.837331,0.521837,0.474808,0.001109,0.94693,0.327008,0.677285,-0.008292,0.77611,0.70001,0.49911,0.009819,0.982999,0.325265,0.723811,0.020523,0.780586,0.684654,0.713348,0.028666,0.837637,0.314545,0.714105,0.001813,0.819236,0.68054,0.700295,0.015509,0.803455,0.32149,0.700495,0.023729,0.815762,0.688237,0.701026,0.023898,0.763569,0.412344,0.62013,0.00487,0.785957,0.571777,0.619775,0.003137,1.0,0.436648,0.809681,-0.00741,0.818161,0.578319,0.82145,0.017607,0.757874,0.420757,1.004658,0.003024,0.808236,0.579893,0.998432,-0.009481,0.798924,0.409087,1.019061,0.010645,0.785363,0.569231,1.023135,0.02061,0.773696,0.430517,1.040742,-0.002741,0.809846,0.569929,1.03194,-0.020526,0.785208,8,synthetic/bicep/adult/good_form,synthetic_good_form_00008.mp4,bicep,adult,1,good_form,synthetic
0.508997,0.071009,-0.093361,0.829007,0.493676,0.039989,-0.1204,0.738306,0.475844,0.063441,-0.111253,0.797947,0.456998,0.072641,-0.113537,0.794893,0.512968,0.051715,-0.112432,0.797619,0.523708,0.051622,-0.113183,0.817247,0.536212,0.072169,-0.113504,0.816971,0.445093,0.094568,-0.056581,0.762811,0.552156,0.088261,-0.045594,0.814224,0.484851,0.121788,-0.072944,0.833534,0.531875,0.114993,-0.080347,0.827108,0.411872,0.282438,0.016144,0.841366,0.605532,0.283302,0.007159,0.895009,0.343901,0.468083,-0.001124,0.817076,0.565065,0.481038,0.014032,0.925065,0.324278,0.681113,-0.002371,0.73486,0.729044,0.388754,0.009846,0.919458,0.325335,0.716985,0.009507,0.800345,0.681433,0.729507,0.02254,0.779177,0.31247,0.695163,0.029162,0.812476,0.694696,0.689742,0.031693,0.775424,0.325019,0.680542,0.019993,0.776852,0.67875,0.710438,0.013883,0.817121,0.438691,0.610628,-0.008745,0.810242,0.56438,0.61306,0.00063,0.919581,0.430749,0.809381,-0.013115,0.838565,0.562328,0.834587,-0.005383,0.823697,0.419611,0.989812,-0.000706,0.796606,0.58382,1.000001,-0.006941,0.773741,0.400679,1.012162,0.011231,0.778275,0.562688,1.016227,0.019734,0.796593,0.437236,1.049976,-0.025315,0.795852,0.57519,1.051109,-0.031996,0.786249,9,synthetic/bicep/adult/good_form,synthetic_good_form_00009.mp4,bicep,adult,1,good_form,synthetic
