landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.50564,0.079337,-0.102349,0.793628,0.479943,0.071281,-0.13675,0.729753,0.465164,0.054704,-0.126146,0.84287,0.466433,0.080014,-0.125067,0.751747,0.526373,0.061415,-0.122573,0.803995,0.537677,0.070346,-0.121425,0.819506,0.555426,0.070817,-0.12629,0.786022,0.446501,0.096928,-0.03957,0.805814,0.548227,0.094374,-0.0579,0.790011,0.490855,0.129876,-0.08977,0.774666,0.530572,0.109243,-0.088194,0.799745,0.3965,0.293088,-0.004627,0.783731,0.590907,0.277579,-0.000476,0.963571,0.356582,0.474049,0.004789,0.766481,0.436835,0.346079,-0.002685,0.99869,0.338139,0.688929,-0.011144,0.835841,0.336428,0.470596,-0.001433,0.92382,0.329884,0.719706,0.009721,0.763589,0.682884,0.714121,0.018175,0.873235,0.302874,0.702323,0.00377,0.747236,0.683441,0.698731,0.015812,0.782932,0.333734,0.689235,0.022448,0.767372,0.675712,0.698999,0.012102,0.856112,0.428555,0.619046,-0.000663,0.83355,0.558209,0.623315,0.011658,0.92462,0.437081,0.818636,0.009315,0.843955,0.564847,0.817579,-0.013957,0.776643,0.425868,0.991421,0.00153,0.770767,0.571615,0.988911,0.000264,0.826578,0.416227,1.002736,0.023438,0.82258,0.579503,1.011092,0.028038,0.804346,0.434045,1.045118,-0.02058,0.795038,0.561287,1.036314,-0.023339,0.778792,0,synthetic/bicep/children/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00000.mp4,bicep,children,0,bad_form_elbow_swing,synthetic
0.503095,0.084117,-0.090732,0.770788,0.481335,0.057397,-0.129449,0.829935,0.477213,0.06327,-0.121239,0.802475,0.455946,0.062671,-0.131769,0.806484,0.520105,0.063929,-0.126265,0.735127,0.529823,0.064894,-0.135384,0.751477,0.533854,0.061197,-0.111397,0.839971,0.451288,0.103543,-0.0484,0.775779,0.557651,0.10651,-0.045036,0.815926,0.471384,0.120668,-0.079952,0.807436,0.518,0.112868,-0.09392,0.81353,0.386935,0.271616,0.005219,0.809011,0.602504,0.29955,0.013585,0.969324,0.344281,0.48553,-0.000708,0.767824,0.475198,0.404608,-0.010124,0.967381,0.334291,0.677566,-0.006003,0.810566,0.562282,0.522191,-0.023411,0.967392,0.31454,0.713457,0.017509,0.797158,0.690285,0.716575,0.036958,0.810731,0.312323,0.69856,0.010572,0.782226,0.697111,0.69954,0.018381,0.819334,0.316272,0.682742,0.013712,0.800928,0.68038,0.690093,0.027792,0.814466,0.435917,0.61442,0.010993,0.818149,0.577493,0.613961,0.006609,1.0,0.430045,0.827019,0.007743,0.800979,0.575541,0.829166,-0.010378,0.824068,0.435398,0.997085,0.017175,0.779842,0.578966,1.013339,-0.000652,0.846726,0.415389,1.002771,0.012885,0.796988,0.585444,1.029155,0.018784,0.840947,0.419352,1.050467,-0.019281,0.799055,0.565721,1.030805,-0.03116,0.803231,1,synthetic/bicep/children/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00001.mp4,bicep,children,0,bad_form_elbow_swing,synthetic
0.503057,0.075198,-0.097868,0.810431,0.486165,0.062792,-0.120206,0.840601,0.459699,0.046936,-0.122759,0.802688,0.462008,0.068489,-0.116051,0.802642,0.518537,0.063668,-0.125924,0.796696,0.543843,0.059708,-0.107395,0.837113,0.548552,0.067022,-0.124218,0.802912,0.445222,0.103934,-0.045035,0.834156,0.540538,0.089402,-0.061665,0.750844,0.493542,0.11908,-0.072977,0.780383,0.523059,0.118928,-0.09254,0.854019,0.407581,0.266175,-0.005321,0.836968,0.624102,0.264331,0.016227,0.960342,0.338592,0.487215,-0.008166,0.813289,0.467834,0.330039,-0.002125,1.0,0.318513,0.663479,0.002369,0.827119,0.443595,0.486205,-0.002531,0.98469,0.322345,0.719479,0.020206,0.80364,0.680616,0.717914,0.009376,0.783584,0.296363,0.696624,0.028188,0.831018,0.684177,0.713417,0.027173,0.84631,0.310231,0.695309,0.009478,0.837804,0.688768,0.682677,0.022573,0.842043,0.422289,0.610911,0.003076,0.781083,0.562672,0.609274,0.005936,0.949645,0.429348,0.824743,-0.005797,0.762557,0.562029,0.814901,0.004863,0.770456,0.435919,1.008313,0.000425,0.836703,0.571414,1.006872,-0.008935,0.825549,0.423072,1.028244,0.024517,0.800767,0.569939,1.022046,0.021659,0.764171,0.423134,1.032094,-0.017191,0.781218,0.56929,1.045227,-0.01967,0.805566,2,synthetic/bicep/children/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00002.mp4,bicep,children,0,bad_form_elbow_swing,synthetic
0.503672,0.090699,-0.107097,0.776012,0.478072,0.066554,-0.120609,0.798068,0.46906,0.055394,-0.12421,0.745883,0.446064,0.078737,-0.120561,0.783895,0.514225,0.044016,-0.119018,0.752884,0.523461,0.056294,-0.127749,0.82875,0.544948,0.064568,-0.11285,0.797799,0.465082,0.095002,-0.051566,0.811742,0.556511,0.117071,-0.042497,0.835605,0.496134,0.128279,-0.071703,0.818948,0.506599,0.11585,-0.075126,0.803029,0.383673,0.282364,0.000579,0.732014,0.626071,0.293222,-0.002511,0.905739,0.352152,0.482787,0.001556,0.74929,0.491654,0.401372,0.005063,0.981149,0.325836,0.67394,-0.012044,0.828417,0.481553,0.561557,0.008476,0.971925,0.317508,0.724293,0.023836,0.797392,0.676334,0.718459,0.013534,0.824607,0.328571,0.693442,0.024124,0.815377,0.701708,0.699222,0.016753,0.782215,0.334592,0.710237,0.011227,0.84546,0.680026,0.699928,0.011388,0.838208,0.428664,0.623249,-0.011773,0.806005,0.549316,0.614015,-0.003762,0.921417,0.43561,0.814053,0.003332,0.802784,0.569803,0.837302,0.006087,0.825398,0.428262,1.000825,-0.01265,0.779349,0.567294,1.001824,-0.011086,0.813735,0.419477,1.021917,0.02859,0.764962,0.577936,1.018189,0.013755,0.799849,0.427696,1.039932,-0.02297,0.763042,0.565272,1.032,-0.030029,0.800513,3,synthetic/bicep/children/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00003.mp4,bicep,children,0,bad_form_elbow_swing,synthetic
0.508281,0.076872,-0.112518,0.804138,0.47497,0.048699,-0.118428,0.77919,0.480543,0.056052,-0.104095,0.7828,0.47115,0.069294,-0.107991,0.808726,0.526177,0.074934,-0.142947,0.829486,0.529639,0.064607,-0.129519,0.811987,0.557865,0.070579,-0.124014,0.815727,0.454625,0.08445,-0.039044,0.762023,0.545194,0.099181,-0.042606,0.840301,0.479623,0.111286,-0.079601,0.77226,0.507529,0.110846,-0.087808,0.78898,0.40232,0.278996,0.01577,0.787648,0.617119,0.275616,0.010286,0.952863,0.341123,0.459998,0.001119,0.825142,0.467172,0.361407,0.003565,0.939456,0.340517,0.682,-0.009017,0.822296,0.596466,0.431619,-0.004399,0.947977,0.31883,0.719421,0.014788,0.788164,0.69093,0.730399,0.006771,0.767138,0.310935,0.698599,0.018254,0.765334,0.69027,0.688979,0.03305,0.847782,0.325279,0.709282,0.024674,0.691584,0.671335,0.718679,0.026661,0.786737,0.431773,0.614825,0.005,0.820381,0.55716,0.619167,-0.006808,0.936469,0.445011,0.82494,0.008276,0.807919,0.572401,0.832403,-0.011747,0.804033,0.424122,1.006365,0.013852,0.827059,0.568638,1.005424,-0.004953,0.772347,0.412567,1.006672,0.018206,0.824623,0.564616,1.008335,0.024179,0.791103,0.433574,1.038541,-0.025309,0.83103,0.572401,1.044628,-0.026749,0.765443,4,synthetic/bicep/children/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00004.mp4,bicep,children,0,bad_form_elbow_swing,synthetic
0.5065,0.071085,-0.120092,0.816885,0.478724,0.057452,-0.11052,0.744547,0.479526,0.054082,-0.115764,0.799809,0.45746,0.080394,-0.117464,0.805313,0.521725,0.06754,-0.108143,0.798136,0.541824,0.052214,-0.123576,0.795433,0.542775,0.063931,-0.128948,0.772881,0.44428,0.100526,-0.040655,0.803321,0.543518,0.096412,-0.040512,0.799029,0.470536,0.113737,-0.058056,0.771976,0.510181,0.113368,-0.071801,0.817115,0.397194,0.273313,-0.009963,0.823178,0.597675,0.283029,0.001813,0.998899,0.355557,0.482953,-0.007102,0.846982,0.461376,0.375725,0.004961,0.926611,0.316695,0.687026,0.00037,0.82325,0.592478,0.452086,-1.6e-05,0.962771,0.324832,0.700289,0.034077,0.787358,0.689705,0.709534,0.022222,0.796366,0.314657,0.701959,0.013654,0.794652,0.680762,0.686666,0.021769,0.788283,0.309424,0.695752,0.016051,0.824968,0.677724,0.697107,0.017558,0.767377,0.43429,0.619817,0.003706,0.773634,0.554353,0.624393,-0.005193,0.940372,0.42883,0.822908,0.003741,0.823413,0.586654,0.803395,0.004188,0.778699,0.432169,0.994325,0.005773,0.790868,0.581624,1.003362,0.002963,0.738544,0.412781,1.02824,0.027032,0.781712,0.579553,1.010814,0.020191,0.788592,0.43592,1.043412,-0.026066,0.797579,0.554543,1.037514,-0.013788,0.81349,5,synthetic/bicep/children/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00005.mp4,bicep,children,0,bad_form_elbow_swing,synthetic
0.506448,0.070213,-0.106022,0.800616,0.482792,0.059995,-0.124996,0.842095,0.47138,0.059876,-0.12074,0.748828,0.450702,0.080718,-0.115145,0.806918,0.504743,0.053007,-0.129621,0.875843,0.538208,0.058534,-0.141584,0.839958,0.531587,0.070131,-0.117387,0.757399,0.457157,0.107142,-0.040563,0.857154,0.540482,0.099915,-0.046735,0.783116,0.473597,0.122206,-0.089443,0.821989,0.516635,0.125681,-0.075938,0.731987,0.403845,0.281395,-0.011299,0.855225,0.614627,0.291314,-0.008484,0.954384,0.36216,0.48958,-0.004763,0.799705,0.470765,0.367957,0.010226,0.954909,0.330208,0.675501,-0.003019,0.775562,0.385615,0.498732,-0.006578,0.996877,0.320778,0.712213,0.026516,0.813153,0.67883,0.721434,0.021957,0.802287,0.32109,0.697747,0.019987,0.822028,0.68731,0.690697,0.008213,0.75569,0.310129,0.690145,0.024545,0.744974,0.675721,0.711089,0.01455,0.848964,0.439665,0.609871,-0.004681,0.798379,0.568328,0.626871,0.003808,0.963506,0.415038,0.823915,0.009016,0.792529,0.562523,0.820756,0.013718,0.847727,0.440735,1.005028,-0.0046,0.814748,0.568429,1.004689,0.006263,0.786038,0.41922,1.0197,0.013661,0.756045,0.589813,1.018446,0.032423,0.828124,0.441232,1.049039,-0.013451,0.814425,0.573371,1.045164,-0.017678,0.81205,6,synthetic/bicep/children/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00006.mp4,bicep,children,0,bad_form_elbow_swing,synthetic
0.495976,0.080349,-0.117779,0.781841,0.47247,0.057793,-0.12329,0.81951,0.468344,0.067914,-0.135909,0.818298,0.465548,0.082328,-0.134172,0.753178,0.52241,0.054582,-0.119474,0.804321,0.536008,0.066328,-0.11096,0.811936,0.531153,0.083789,-0.102982,0.798549,0.451439,0.106967,-0.056346,0.843202,0.549597,0.089727,-0.049071,0.790443,0.477241,0.11253,-0.083281,0.855051,0.509748,0.114811,-0.082162,0.797132,0.389671,0.277782,-0.005428,0.856063,0.587352,0.28909,0.006088,0.952245,0.359107,0.482359,0.021653,0.821762,0.470565,0.406738,-0.008878,1.0,0.329734,0.683155,0.014425,0.866251,0.40754,0.550755,-0.008941,0.965097,0.321598,0.727798,0.002722,0.818134,0.686871,0.720464,0.018375,0.788349,0.306232,0.700815,0.012967,0.846078,0.682781,0.69934,0.025323,0.74948,0.314804,0.699072,0.024112,0.77632,0.668749,0.703621,0.035249,0.819109,0.428298,0.619112,-6.4e-05,0.785777,0.575408,0.625519,-0.008484,0.957896,0.437254,0.822038,-9e-06,0.76664,0.588502,0.817413,-0.002657,0.781747,0.424596,0.991104,0.002545,0.765329,0.569916,1.007216,0.006805,0.789163,0.43432,1.030913,0.016776,0.864047,0.580332,1.026334,0.004368,0.793994,0.421087,1.043163,-0.027277,0.783204,0.57011,1.026954,-0.01696,0.763761,7,synthetic/bicep/children/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00007.mp4,bicep,children,0,bad_form_elbow_swing,synthetic
0.516194,0.080883,-0.104978,0.867076,0.474665,0.05765,-0.102546,0.813553,0.471806,0.06427,-0.11284,0.863337,0.454003,0.071482,-0.113849,0.829788,0.519891,0.047785,-0.112091,0.789257,0.528921,0.059864,-0.118781,0.748492,0.552287,0.059588,-0.117774,0.824129,0.432139,0.099764,-0.047993,0.784106,0.556462,0.096374,-0.060344,0.820837,0.478688,0.113206,-0.088372,0.767374,0.527165,0.126102,-0.079753,0.832388,0.408442,0.278851,-0.004387,0.853748,0.584996,0.260408,0.001265,0.960467,0.354409,0.467688,-0.006045,0.797686,0.456357,0.370906,-0.013048,0.944632,0.332936,0.681245,0.002635,0.805065,0.57264,0.47507,-0.00893,0.991685,0.311905,0.71824,0.019271,0.81275,0.68796,0.728631,0.026294,0.736389,0.309985,0.696502,0.029004,0.817098,0.699591,0.701775,0.02257,0.840934,0.310626,0.702771,0.030387,0.780111,0.677934,0.698816,0.011956,0.785924,0.424253,0.616302,-0.014047,0.811491,0.582055,0.617844,-0.000612,0.910711,0.436422,0.824768,0.009121,0.78822,0.58169,0.824765,0.013512,0.828236,0.422396,1.002935,0.013369,0.775939,0.570815,0.997573,-0.004638,0.792306,0.424256,1.017372,0.005453,0.803259,0.592002,1.01964,0.024757,0.784903,0.433391,1.045868,-0.023254,0.77966,0.574551,1.046057,-0.013949,0.844613,8,synthetic/bicep/children/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00008.mp4,bicep,children,0,bad_form_elbow_swing,synthetic
0.508623,0.062397,-0.098902,0.809953,0.486681,0.05637,-0.120669,0.790449,0.465408,0.055116,-0.131502,0.772842,0.452163,0.068106,-0.11735,0.776918,0.526873,0.045571,-0.118647,0.780389,0.530618,0.060959,-0.118744,0.831144,0.536296,0.065874,-0.127428,0.786045,0.451034,0.093493,-0.069499,0.820134,0.544466,0.097444,-0.062255,0.77557,0.472953,0.11596,-0.099072,0.806423,0.527168,0.122302,-0.078457,0.798903,0.406138,0.265231,0.014786,0.807125,0.60726,0.274147,-0.009928,0.939981,0.343335,0.473808,-0.003028,0.793131,0.446755,0.35202,0.004259,0.956086,0.342623,0.679687,0.010298,0.808809,0.5417,0.468612,-0.010697,0.965671,0.316741,0.730409,0.013076,0.786983,0.671365,0.725722,0.031187,0.812063,0.305371,0.691801,0.026417,0.765273,0.702199,0.706996,0.02116,0.811201,0.330447,0.687763,0.024341,0.758527,0.674573,0.709367,0.022381,0.781511,0.436346,0.618151,0.010314,0.761223,0.570111,0.631783,-2e-05,0.88202,0.4109,0.820361,0.018609,0.787979,0.571229,0.832368,0.001203,0.763052,0.425616,0.998926,0.011458,0.851767,0.581008,1.014942,0.008745,0.803368,0.417887,1.029911,0.008519,0.820706,0.573448,1.021947,0.009612,0.873741,0.419764,1.033397,-0.016885,0.818032,0.572122,1.035915,-0.019582,0.769537,9,synthetic/bicep/children/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00009.mp4,bicep,children,0,bad_form_elbow_swing,synthetic
