landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.499866,0.073176,-0.092965,0.823334,0.480528,0.069018,-0.11626,0.774221,0.47295,0.052329,-0.112972,0.798502,0.458521,0.064553,-0.11022,0.795364,0.516573,0.057183,-0.115742,0.810963,0.533302,0.063447,-0.102867,0.787808,0.535902,0.06349,-0.115072,0.833869,0.449088,0.093279,-0.056596,0.819518,0.555946,0.104345,-0.055324,0.806965,0.480933,0.12175,-0.073029,0.806708,0.525431,0.120541,-0.077687,0.818939,0.388343,0.277443,-0.003763,0.780834,0.579389,0.272958,-0.006927,0.979048,0.336537,0.477321,0.001302,0.817587,0.515687,0.426112,-0.00279,0.936129,0.336864,0.67847,-0.010205,0.766001,0.564581,0.567539,0.001139,0.970715,0.316582,0.721268,0.025005,0.79072,0.683654,0.714705,0.017096,0.788548,0.300433,0.703896,0.016245,0.800375,0.693846,0.703572,0.025323,0.797045,0.316614,0.699362,0.006501,0.756587,0.669418,0.692022,0.023198,0.772836,0.426975,0.630394,-0.00285,0.822125,0.567288,0.616648,-0.0076,0.939829,0.436722,0.806181,0.003475,0.807132,0.565247,0.808432,0.000577,0.784115,0.431861,1.000175,0.012814,0.792819,0.561812,1.001434,0.00176,0.840776,0.426681,1.022855,0.031706,0.764337,0.574882,1.012587,0.016882,0.758699,0.435081,1.038222,-0.031766,0.769533,0.572508,1.046705,-0.004026,0.887416,0,synthetic/bicep/children/good_form,synthetic_good_form_00000.mp4,bicep,children,1,good_form,synthetic
0.508528,0.081256,-0.101269,0.76893,0.466603,0.05611,-0.12043,0.853038,0.471042,0.067862,-0.123994,0.764452,0.452279,0.064198,-0.102972,0.775358,0.526708,0.052777,-0.112547,0.811549,0.528747,0.059674,-0.125238,0.813382,0.53636,0.060195,-0.130224,0.805178,0.462633,0.10128,-0.050949,0.808575,0.560448,0.101755,-0.053287,0.833189,0.48343,0.132286,-0.078534,0.763266,0.509055,0.133207,-0.066211,0.794614,0.396935,0.291692,-0.008856,0.773158,0.594444,0.274268,-4.1e-05,0.945097,0.352701,0.49126,0.000725,0.819318,0.52657,0.435775,-0.006746,0.913436,0.322975,0.677327,0.007327,0.760208,0.557694,0.585325,-0.002621,0.980083,0.324305,0.730699,0.018764,0.779122,0.678209,0.72194,0.021413,0.767468,0.310724,0.701826,0.04014,0.856305,0.683174,0.697701,0.008292,0.782279,0.322525,0.709647,0.014167,0.780376,0.662822,0.698699,0.011501,0.784117,0.422985,0.619246,-0.014062,0.755989,0.57362,0.613724,-0.008774,1.0,0.453241,0.810627,-0.002946,0.810247,0.58383,0.812105,-0.001962,0.82332,0.433478,0.996991,-0.001071,0.758753,0.568095,0.997869,0.001857,0.78334,0.423772,1.028102,0.021243,0.810553,0.580425,1.020001,0.014228,0.809495,0.429222,1.056745,-0.007413,0.811575,0.563896,1.031101,-0.010471,0.807882,1,synthetic/bicep/children/good_form,synthetic_good_form_00001.mp4,bicep,children,1,good_form,synthetic
0.497663,0.079172,-0.102016,0.804577,0.491772,0.039467,-0.121895,0.805295,0.472368,0.057025,-0.134054,0.80984,0.473819,0.057729,-0.113089,0.790144,0.519509,0.051577,-0.122676,0.839001,0.534661,0.073858,-0.110581,0.813173,0.553951,0.073512,-0.113376,0.791103,0.450532,0.094421,-0.042083,0.764651,0.556259,0.098475,-0.04063,0.822526,0.494565,0.125846,-0.092576,0.797991,0.510624,0.115854,-0.06791,0.819126,0.394409,0.27189,0.000262,0.763503,0.586211,0.276533,0.009242,0.968263,0.33167,0.482435,0.000576,0.812417,0.527564,0.422928,-0.004729,0.967727,0.317347,0.691808,0.002947,0.825398,0.53879,0.586127,0.008548,0.956986,0.321875,0.722163,0.013093,0.795574,0.67878,0.723067,0.027999,0.768244,0.309,0.711852,0.014051,0.775332,0.691618,0.706755,0.020091,0.839869,0.326854,0.706735,0.024433,0.86983,0.678359,0.683972,0.032834,0.786269,0.430863,0.630476,-0.012818,0.762451,0.565705,0.617243,0.003517,0.965726,0.43221,0.808698,-0.018481,0.801631,0.566226,0.823675,0.005616,0.804147,0.436081,1.001834,0.004241,0.77886,0.568563,1.001574,0.006564,0.788188,0.424169,1.017873,0.01906,0.824886,0.564056,1.009628,0.008143,0.729992,0.424574,1.045995,-0.022279,0.805934,0.578714,1.050621,-0.020553,0.840608,2,synthetic/bicep/children/good_form,synthetic_good_form_00002.mp4,bicep,children,1,good_form,synthetic
0.488943,0.083143,-0.108324,0.814241,0.478951,0.045353,-0.112574,0.78185,0.465729,0.051442,-0.125234,0.812837,0.458486,0.072629,-0.117105,0.83962,0.517258,0.048185,-0.111462,0.790055,0.538917,0.063067,-0.121049,0.810463,0.555608,0.086616,-0.119445,0.804806,0.45861,0.093235,-0.047335,0.799224,0.552511,0.093333,-0.062717,0.73781,0.471061,0.116331,-0.082346,0.858117,0.528848,0.112303,-0.077218,0.787788,0.397725,0.281483,0.004953,0.789822,0.595374,0.271852,5.1e-05,1.0,0.351785,0.491466,0.000732,0.817423,0.562641,0.443374,-0.006236,0.962909,0.323188,0.685325,0.008682,0.810996,0.677382,0.546032,-0.002469,0.978066,0.305349,0.717315,0.004074,0.755148,0.690911,0.727161,0.014244,0.754925,0.286284,0.695652,0.039363,0.813047,0.685523,0.703721,0.007512,0.79108,0.320796,0.699311,0.026326,0.810339,0.685347,0.694493,0.027183,0.848868,0.422239,0.612898,0.010686,0.79426,0.582044,0.631996,0.01164,0.953945,0.432066,0.832518,-0.002894,0.771766,0.566411,0.823619,-0.012526,0.819124,0.42569,1.009183,-0.019154,0.776403,0.556508,0.99339,0.001981,0.794623,0.417973,1.018727,0.021627,0.769744,0.585655,1.025301,0.02308,0.816696,0.432371,1.056281,-0.020697,0.790788,0.563972,1.031742,-0.029956,0.773336,3,synthetic/bicep/children/good_form,synthetic_good_form_00003.mp4,bicep,children,1,good_form,synthetic
0.504387,0.081504,-0.111585,0.797961,0.482096,0.052802,-0.118481,0.756355,0.480689,0.069984,-0.12202,0.810904,0.440721,0.060749,-0.12235,0.767836,0.525715,0.075978,-0.129413,0.774876,0.531884,0.072889,-0.129779,0.807471,0.55457,0.056786,-0.130249,0.787292,0.445835,0.106501,-0.048067,0.746751,0.554123,0.09538,-0.039804,0.781172,0.474907,0.124329,-0.073897,0.813443,0.506515,0.124304,-0.088274,0.807058,0.38861,0.283571,-0.006453,0.761521,0.611857,0.288361,-0.004912,0.993535,0.346475,0.480257,0.002151,0.78141,0.546339,0.442529,-0.003293,0.990879,0.321675,0.660698,0.012887,0.87648,0.671384,0.519884,-0.002484,0.941413,0.318481,0.711093,0.024636,0.815735,0.668045,0.725594,0.036421,0.805159,0.307301,0.698864,0.024922,0.74808,0.691315,0.696876,0.034783,0.794775,0.333343,0.69117,0.024698,0.809582,0.673048,0.701419,0.0297,0.790286,0.416464,0.619859,-0.007219,0.78973,0.568396,0.607954,-0.012925,0.964462,0.425818,0.799482,0.006279,0.808171,0.564289,0.809465,0.006686,0.810481,0.449061,1.003362,0.003102,0.794992,0.576534,1.005001,0.010014,0.78436,0.416517,1.016167,0.026326,0.844951,0.576329,1.016602,0.022513,0.792627,0.437616,1.021986,-0.026614,0.776528,0.551437,1.032291,-0.027321,0.793967,4,synthetic/bicep/children/good_form,synthetic_good_form_00004.mp4,bicep,children,1,good_form,synthetic
0.498228,0.08518,-0.100109,0.82105,0.471719,0.059903,-0.121686,0.763523,0.457492,0.065486,-0.122808,0.769332,0.459231,0.079024,-0.138246,0.755101,0.512617,0.071689,-0.117739,0.82302,0.520879,0.051044,-0.116417,0.801748,0.54439,0.068499,-0.117775,0.804744,0.456222,0.106456,-0.062959,0.732582,0.558014,0.109502,-0.058165,0.744205,0.480792,0.127447,-0.065619,0.815489,0.517026,0.112855,-0.079908,0.791022,0.391879,0.29639,0.014281,0.834081,0.606808,0.27366,0.005117,0.963276,0.359997,0.485083,0.00592,0.819107,0.561783,0.425565,0.000669,0.933314,0.319761,0.693455,0.013832,0.840777,0.707038,0.485119,9.6e-05,0.956084,0.311252,0.723176,0.020483,0.76092,0.67959,0.719362,0.03438,0.826826,0.310092,0.70199,0.020354,0.793913,0.681341,0.698792,0.014031,0.762491,0.32409,0.70313,0.005706,0.796319,0.687966,0.708474,0.028207,0.801167,0.42324,0.61133,0.002757,0.811378,0.567865,0.628868,-0.001058,0.912674,0.427447,0.821738,-0.001617,0.782663,0.572023,0.815968,-0.005025,0.809344,0.426784,1.001953,0.002186,0.765817,0.56615,1.011502,-0.009297,0.7365,0.405105,1.020233,0.020247,0.796472,0.589714,0.998617,0.023167,0.846843,0.420978,1.036962,-0.026023,0.77317,0.56739,1.05142,-0.005301,0.789922,5,synthetic/bicep/children/good_form,synthetic_good_form_00005.mp4,bicep,children,1,good_form,synthetic
0.494342,0.087752,-0.102895,0.785307,0.487269,0.060249,-0.117771,0.80042,0.472693,0.0634,-0.135496,0.819997,0.452144,0.058462,-0.120467,0.802519,0.514452,0.066648,-0.130737,0.787792,0.525321,0.059627,-0.117769,0.769763,0.545794,0.070504,-0.135136,0.741242,0.449901,0.098232,-0.050827,0.799161,0.551804,0.107581,-0.058889,0.764841,0.471253,0.122311,-0.07004,0.78706,0.499986,0.106368,-0.086664,0.783268,0.396733,0.280309,-0.002494,0.83148,0.598607,0.280205,0.003831,0.903931,0.353118,0.48082,-0.00118,0.847648,0.543853,0.452764,-0.001803,0.91169,0.330559,0.67139,-0.006014,0.811911,0.556947,0.594804,0.007899,0.984725,0.33149,0.724235,0.030907,0.743576,0.677457,0.713064,0.020954,0.782857,0.308671,0.715057,0.018642,0.812414,0.688142,0.700606,0.020048,0.81345,0.329322,0.713179,0.022477,0.817686,0.670793,0.699297,0.027522,0.825979,0.431693,0.627091,0.003926,0.836009,0.596588,0.625387,0.002687,0.862082,0.433063,0.790813,-0.013788,0.813553,0.57382,0.810701,-0.005697,0.841116,0.426128,1.017943,-1.5e-05,0.812241,0.582935,1.001048,-0.008019,0.796708,0.419715,1.009082,0.017953,0.777734,0.587395,1.020277,0.017738,0.796815,0.431785,1.044935,-0.027998,0.768752,0.578837,1.036701,-0.031335,0.813314,6,synthetic/bicep/children/good_form,synthetic_good_form_00006.mp4,bicep,children,1,good_form,synthetic
0.497579,0.076138,-0.093036,0.844378,0.494355,0.070518,-0.120878,0.810582,0.476135,0.060969,-0.118954,0.824713,0.459526,0.064166,-0.123316,0.819017,0.520024,0.062722,-0.114639,0.788755,0.53605,0.063031,-0.129879,0.843269,0.535994,0.056759,-0.12836,0.769369,0.450417,0.097809,-0.052695,0.818591,0.552719,0.102528,-0.046721,0.818484,0.463136,0.117084,-0.097442,0.801082,0.519963,0.128364,-0.070499,0.806083,0.395997,0.283881,-0.004223,0.799958,0.607688,0.284089,0.006445,0.970322,0.342362,0.487791,0.005589,0.803058,0.543753,0.443063,-0.004301,0.966278,0.322355,0.6835,-0.009934,0.793878,0.569818,0.607605,-0.011019,0.99416,0.321199,0.723289,0.020947,0.813342,0.678771,0.731632,0.016348,0.833967,0.304845,0.699518,0.011424,0.813651,0.701561,0.699381,0.018425,0.766561,0.318166,0.687258,0.012697,0.806804,0.690552,0.722474,0.015307,0.843059,0.43195,0.61879,0.003461,0.801857,0.559207,0.621015,-0.011185,0.903691,0.435226,0.817786,-0.004769,0.800255,0.576359,0.821443,-0.005248,0.836789,0.442633,1.003956,0.007789,0.837259,0.579041,1.004913,0.004787,0.81559,0.411221,1.025606,0.009153,0.776162,0.590429,1.026722,0.031899,0.79185,0.420782,1.038077,-0.019184,0.80237,0.579069,1.03711,-0.017184,0.770341,7,synthetic/bicep/children/good_form,synthetic_good_form_00007.mp4,bicep,children,1,good_form,synthetic
0.498049,0.06322,-0.107154,0.792108,0.474513,0.071054,-0.12132,0.838653,0.470494,0.060298,-0.12071,0.800114,0.47375,0.051443,-0.136012,0.783705,0.520116,0.065521,-0.116215,0.788473,0.538152,0.068242,-0.118528,0.82888,0.542181,0.065508,-0.114417,0.803318,0.450011,0.111784,-0.069607,0.757469,0.540503,0.097094,-0.052037,0.75478,0.472119,0.113113,-0.060341,0.854052,0.516706,0.117091,-0.089194,0.742756,0.399065,0.272017,-0.000679,0.751994,0.59511,0.277893,0.00293,0.962524,0.339436,0.486837,-0.006402,0.818986,0.551316,0.435224,-0.00253,0.960961,0.334904,0.678872,0.012254,0.830225,0.701558,0.420498,0.01547,1.0,0.310176,0.712588,0.031879,0.768252,0.66942,0.71611,0.023362,0.796928,0.304795,0.694606,0.014301,0.773615,0.708253,0.70238,0.027094,0.785328,0.318512,0.694292,-0.001214,0.75866,0.665515,0.682002,0.010437,0.839749,0.429645,0.630325,0.003288,0.823477,0.580567,0.621308,0.00583,0.932701,0.434476,0.82453,-0.004396,0.766317,0.560527,0.820692,0.002616,0.776224,0.430213,1.004564,0.004946,0.846556,0.580216,0.99199,0.013469,0.784071,0.428359,1.020544,0.016703,0.745769,0.578627,1.007525,0.027738,0.845504,0.423625,1.042416,-0.025803,0.781145,0.576196,1.039692,-0.006083,0.785533,8,synthetic/bicep/children/good_form,synthetic_good_form_00008.mp4,bicep,children,1,good_form,synthetic
0.505202,0.084748,-0.087704,0.84348,0.477,0.062984,-0.124989,0.800701,0.465202,0.072961,-0.11709,0.793459,0.469549,0.052635,-0.136113,0.823875,0.520484,0.062004,-0.130611,0.799303,0.546028,0.066594,-0.118642,0.786828,0.536843,0.052966,-0.117939,0.825364,0.437395,0.094709,-0.05926,0.771039,0.550428,0.083325,-0.045086,0.822616,0.477991,0.100154,-0.087971,0.836987,0.497776,0.11722,-0.08944,0.824137,0.394599,0.283232,0.004524,0.855087,0.598693,0.280349,-0.01188,0.985712,0.343916,0.475514,-0.000178,0.753113,0.553353,0.446069,0.002343,0.902333,0.32901,0.685936,-0.015024,0.767757,0.635705,0.573844,0.003296,1.0,0.323748,0.725263,0.041686,0.793586,0.673617,0.723422,0.023512,0.784199,0.301741,0.718479,0.022615,0.778031,0.697327,0.699127,0.017977,0.816868,0.309665,0.702821,0.035304,0.813985,0.67699,0.695943,0.016717,0.792381,0.426978,0.62733,-0.013866,0.82586,0.561793,0.626804,-0.009016,0.989859,0.439965,0.827677,-0.012118,0.824874,0.573239,0.807158,-0.000194,0.810936,0.434449,1.001418,0.00233,0.844208,0.579808,0.977064,-0.00254,0.79506,0.405983,1.020753,0.02999,0.767403,0.582691,1.012673,0.014625,0.844322,0.42566,1.043698,-0.03497,0.85587,0.574821,1.03854,-0.015396,0.757705,9,synthetic/bicep/children/good_form,synthetic_good_form_00009.mp4,bicep,children,1,good_form,synthetic
