landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.503716,0.083553,-0.090838,0.79449,0.482567,0.0548,-0.125161,0.82882,0.478055,0.069919,-0.107554,0.787932,0.457949,0.072287,-0.122861,0.784077,0.521269,0.050317,-0.111916,0.861149,0.52474,0.057811,-0.116334,0.785585,0.533344,0.084721,-0.120682,0.765818,0.448342,0.095877,-0.059477,0.810506,0.542024,0.111373,-0.047811,0.752958,0.486309,0.115563,-0.082385,0.83171,0.517255,0.124135,-0.091955,0.808086,0.401324,0.273345,-0.000605,0.827982,0.608287,0.276086,-0.00542,0.968014,0.34531,0.475814,0.005313,0.753317,0.455034,0.39724,-0.00689,0.913341,0.338591,0.676259,0.001669,0.769443,0.586164,0.51257,0.00433,0.944564,0.3241,0.717866,0.007991,0.821671,0.684023,0.723715,0.028778,0.77279,0.320779,0.691235,0.033087,0.813068,0.686644,0.7071,0.026816,0.818268,0.314761,0.687343,0.025574,0.86088,0.679623,0.708632,0.025784,0.806783,0.439903,0.624457,0.004767,0.748263,0.563916,0.627349,0.001817,0.935936,0.438377,0.822685,-0.009512,0.791113,0.565902,0.808085,0.009559,0.850776,0.44856,1.013235,0.014452,0.782123,0.556234,1.006453,0.011341,0.772012,0.413642,1.041743,0.020469,0.815709,0.58316,1.025594,0.025069,0.836013,0.426632,1.042352,-0.013744,0.802004,0.564249,1.033858,-0.024229,0.731892,0,synthetic/bicep/senior/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00000.mp4,bicep,senior,0,bad_form_elbow_swing,synthetic
0.502075,0.071256,-0.088284,0.838841,0.471921,0.060038,-0.12682,0.79562,0.480124,0.068487,-0.124288,0.815192,0.464312,0.063823,-0.117125,0.797649,0.535,0.052693,-0.129958,0.847198,0.526474,0.046637,-0.13214,0.799701,0.539672,0.067733,-0.128333,0.823577,0.450303,0.102543,-0.04367,0.770289,0.548094,0.087808,-0.04218,0.798178,0.484408,0.115333,-0.071156,0.770098,0.509168,0.118924,-0.061355,0.846877,0.40489,0.289387,0.009526,0.769247,0.59738,0.29507,-0.006857,0.948428,0.352876,0.475941,-0.004281,0.742542,0.458598,0.413689,-0.002676,0.97171,0.310552,0.688301,-0.005527,0.808277,0.54099,0.556679,-0.013644,0.900155,0.317226,0.71862,0.018762,0.809052,0.681337,0.727713,0.017799,0.748232,0.307884,0.704313,0.025844,0.835189,0.68328,0.703865,0.010203,0.844331,0.310281,0.698855,0.021143,0.787752,0.682413,0.697694,0.010465,0.807941,0.419337,0.62408,0.004961,0.739126,0.574304,0.618139,-0.011412,0.936112,0.417994,0.829714,-0.005703,0.770331,0.55701,0.822569,-7.1e-05,0.776147,0.420214,0.994544,-0.005982,0.760365,0.569888,1.0011,-0.005612,0.801047,0.411934,1.012889,0.024637,0.799152,0.578115,1.022152,0.008134,0.808301,0.435801,1.028528,-0.014438,0.850751,0.566584,1.031544,-0.020441,0.782436,1,synthetic/bicep/senior/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00001.mp4,bicep,senior,0,bad_form_elbow_swing,synthetic
0.493174,0.075399,-0.090327,0.818144,0.475397,0.053565,-0.115641,0.773105,0.469908,0.0516,-0.121911,0.752192,0.454481,0.072955,-0.104793,0.789562,0.527777,0.057554,-0.142034,0.816446,0.522146,0.071243,-0.111459,0.762934,0.528806,0.076397,-0.125098,0.791203,0.433927,0.094394,-0.048774,0.784355,0.559168,0.10041,-0.045823,0.792491,0.484343,0.111905,-0.088079,0.794992,0.5284,0.117617,-0.081546,0.785756,0.404402,0.268677,-0.010307,0.862097,0.601054,0.263493,-0.012961,0.96308,0.353885,0.480865,-0.010778,0.908389,0.453192,0.385809,-0.012955,0.927739,0.339206,0.673355,-0.000786,0.814784,0.558545,0.524913,0.000468,0.943003,0.324419,0.71939,0.024004,0.791047,0.665285,0.708909,0.021628,0.793883,0.324271,0.70144,0.02197,0.787801,0.681625,0.685585,0.030519,0.800457,0.304409,0.688331,0.021099,0.821536,0.678824,0.700076,0.00424,0.821901,0.437766,0.61986,0.003856,0.829764,0.573269,0.618571,-0.001963,0.945399,0.426873,0.821567,-0.006605,0.76173,0.569899,0.814314,0.006694,0.797473,0.434516,0.99315,-0.01331,0.792294,0.580509,1.013222,-0.007441,0.756974,0.416967,1.012369,0.024299,0.831459,0.572258,1.004893,0.012981,0.796346,0.429697,1.047163,-0.010442,0.789882,0.56932,1.034555,-0.027556,0.834711,2,synthetic/bicep/senior/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00002.mp4,bicep,senior,0,bad_form_elbow_swing,synthetic
0.498175,0.082639,-0.110588,0.737515,0.488707,0.071565,-0.121169,0.830395,0.479555,0.065772,-0.124112,0.796048,0.45677,0.080444,-0.128415,0.79885,0.526446,0.060756,-0.12701,0.754939,0.528836,0.057378,-0.11033,0.874645,0.558733,0.068048,-0.116878,0.767971,0.442722,0.100857,-0.049763,0.824906,0.554555,0.098738,-0.044301,0.801149,0.48531,0.115566,-0.085551,0.772335,0.525418,0.120309,-0.077677,0.794079,0.39625,0.272909,0.002831,0.779569,0.617565,0.262638,0.01259,0.9825,0.354244,0.467894,0.008895,0.795419,0.467051,0.391572,0.002721,0.895374,0.335601,0.671858,0.002765,0.785328,0.571116,0.536969,-0.006223,0.982421,0.321041,0.714232,0.015763,0.783953,0.668676,0.722353,0.020527,0.822931,0.319561,0.711035,0.011597,0.779856,0.689032,0.71055,0.012706,0.805015,0.328551,0.694952,0.010562,0.76926,0.684066,0.686474,0.024569,0.809121,0.436672,0.603663,0.003176,0.743053,0.57742,0.625689,-0.004669,0.964615,0.426319,0.821776,-0.005186,0.82505,0.587497,0.814844,0.006975,0.791802,0.420841,1.00691,0.006911,0.783824,0.589229,0.997776,-0.003533,0.747473,0.425581,1.009435,0.018803,0.81004,0.575766,1.024826,0.012456,0.824225,0.430642,1.039552,-0.020314,0.839886,0.572641,1.034069,-0.035276,0.771623,3,synthetic/bicep/senior/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00003.mp4,bicep,senior,0,bad_form_elbow_swing,synthetic
0.501693,0.08795,-0.109371,0.849456,0.490206,0.055206,-0.114351,0.792732,0.483538,0.055685,-0.139149,0.802441,0.458459,0.074846,-0.111907,0.821788,0.528577,0.066726,-0.119115,0.80128,0.534242,0.068728,-0.123607,0.808229,0.542291,0.077009,-0.108693,0.808793,0.439944,0.113973,-0.061174,0.797518,0.556521,0.105966,-0.055956,0.770122,0.493318,0.124239,-0.08557,0.81172,0.516998,0.130989,-0.078508,0.83791,0.409201,0.278999,0.000966,0.773871,0.613991,0.280107,0.012779,0.966394,0.343428,0.475025,0.001803,0.779476,0.472048,0.425002,-0.021686,0.936241,0.330826,0.673072,-0.008868,0.77419,0.459092,0.576021,-0.000913,0.963598,0.311022,0.726031,0.016534,0.77936,0.684056,0.722682,0.018925,0.757178,0.305642,0.699676,0.018413,0.807612,0.691484,0.703477,0.018052,0.779179,0.315026,0.698964,0.020241,0.77773,0.67097,0.687069,0.022949,0.752698,0.426854,0.629753,-0.00688,0.832114,0.566647,0.613375,-0.011854,0.998954,0.423047,0.826093,-0.004831,0.829889,0.575888,0.822363,0.006749,0.840425,0.431433,0.997515,-0.01914,0.799249,0.562045,1.001849,0.004042,0.790867,0.427522,1.008702,0.01895,0.779217,0.591398,1.017337,0.015898,0.747491,0.438448,1.036486,-0.010603,0.771383,0.578936,1.036919,-0.024148,0.778993,4,synthetic/bicep/senior/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00004.mp4,bicep,senior,0,bad_form_elbow_swing,synthetic
0.505881,0.091914,-0.098003,0.798826,0.489034,0.064716,-0.132133,0.780737,0.469374,0.059922,-0.121894,0.802929,0.458599,0.085109,-0.1038,0.82007,0.515782,0.064774,-0.124835,0.815465,0.531979,0.060463,-0.117371,0.778589,0.536029,0.082089,-0.123152,0.757516,0.461471,0.094217,-0.05379,0.769324,0.546011,0.120411,-0.042571,0.790375,0.481012,0.122378,-0.077148,0.808913,0.517058,0.109547,-0.091394,0.822492,0.406221,0.284035,-0.005304,0.827908,0.579761,0.271374,-0.014117,0.988404,0.347263,0.47781,0.005318,0.790065,0.433359,0.390559,0.00699,0.915935,0.341609,0.681715,-0.009898,0.802943,0.398495,0.568267,-0.016891,0.963646,0.312066,0.727045,0.026892,0.829367,0.680391,0.716411,0.023993,0.831857,0.306233,0.710792,0.028303,0.759279,0.67788,0.711138,0.019181,0.746477,0.343922,0.692767,0.026301,0.827137,0.686781,0.698239,0.027121,0.740828,0.431751,0.610217,-0.001901,0.844921,0.567655,0.61773,0.009462,0.924769,0.44403,0.818164,-0.006085,0.725764,0.571983,0.812554,-0.012523,0.799857,0.437801,0.998999,0.010794,0.769142,0.580473,0.998012,0.001061,0.798711,0.412527,1.01203,0.027737,0.785103,0.593713,1.025687,0.031637,0.773021,0.436625,1.047565,0.001313,0.832221,0.562395,1.040157,-0.024247,0.824104,5,synthetic/bicep/senior/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00005.mp4,bicep,senior,0,bad_form_elbow_swing,synthetic
0.501998,0.088488,-0.101031,0.834696,0.478622,0.04649,-0.116675,0.806418,0.480004,0.057636,-0.118522,0.777374,0.456589,0.078915,-0.10675,0.799482,0.509348,0.076589,-0.113385,0.801756,0.529779,0.065191,-0.120978,0.787739,0.532317,0.074343,-0.108656,0.767988,0.437343,0.101132,-0.050329,0.813793,0.544726,0.100023,-0.034285,0.830228,0.493442,0.121942,-0.084596,0.791885,0.521894,0.110818,-0.090965,0.789896,0.391226,0.267268,0.00328,0.769924,0.60411,0.274619,-0.001087,0.926891,0.341933,0.476113,0.013112,0.8151,0.459407,0.398417,0.003998,0.932067,0.335589,0.685269,0.00425,0.801452,0.502104,0.562752,0.004569,0.931288,0.314751,0.711952,0.022464,0.805129,0.680829,0.73701,0.035066,0.758633,0.311115,0.705815,0.013162,0.826052,0.685783,0.690577,0.014437,0.814961,0.311877,0.712296,0.024414,0.797904,0.684001,0.687984,0.038959,0.804644,0.436832,0.624198,0.010156,0.747856,0.564162,0.614032,0.005748,0.957664,0.425299,0.822298,-7.3e-05,0.739722,0.568732,0.81296,-0.008999,0.82181,0.430036,1.005199,0.008684,0.777063,0.578149,0.996239,-0.000688,0.838314,0.430965,1.020622,0.025897,0.829582,0.58523,1.018064,0.01678,0.816195,0.42533,1.035147,-0.030521,0.818332,0.576155,1.037546,-0.022221,0.78795,6,synthetic/bicep/senior/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00006.mp4,bicep,senior,0,bad_form_elbow_swing,synthetic
0.499023,0.083909,-0.105154,0.832382,0.466934,0.052598,-0.118551,0.801116,0.465238,0.080247,-0.123551,0.818375,0.447058,0.083013,-0.108893,0.776647,0.510143,0.042195,-0.11747,0.770448,0.539939,0.054037,-0.122823,0.797258,0.534349,0.068034,-0.12826,0.76969,0.457055,0.102709,-0.047332,0.789198,0.536678,0.102281,-0.046245,0.822725,0.471692,0.126315,-0.074193,0.753275,0.522202,0.13236,-0.068313,0.784432,0.408991,0.288798,-0.007927,0.848188,0.598762,0.298599,0.010606,0.920468,0.346078,0.48721,0.003803,0.857076,0.44474,0.421269,0.002645,0.950984,0.3358,0.660021,-0.010027,0.824975,0.399249,0.576701,-0.00643,0.922375,0.322822,0.717185,0.024144,0.780027,0.683007,0.715434,0.010977,0.809855,0.316397,0.70488,0.022502,0.789422,0.677518,0.699306,0.023564,0.818555,0.318902,0.701672,0.019077,0.808098,0.683721,0.694336,0.02439,0.816316,0.436585,0.625201,0.006449,0.784573,0.581967,0.625806,5.7e-05,0.951927,0.423123,0.81187,0.000701,0.812393,0.575782,0.815691,-0.005268,0.80761,0.42477,1.00345,-0.003897,0.82024,0.576732,1.013026,-0.009908,0.77694,0.413148,1.019116,0.020756,0.843261,0.590375,1.010795,0.033023,0.784376,0.432926,1.034886,-0.025449,0.777727,0.568202,1.045722,-0.017935,0.710322,7,synthetic/bicep/senior/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00007.mp4,bicep,senior,0,bad_form_elbow_swing,synthetic
0.488594,0.063367,-0.104203,0.781397,0.472629,0.06723,-0.115437,0.813285,0.45993,0.069545,-0.117208,0.813043,0.451228,0.074581,-0.117187,0.823763,0.515669,0.062681,-0.114886,0.808977,0.530356,0.069428,-0.124517,0.813083,0.529568,0.076879,-0.113996,0.77381,0.448603,0.108985,-0.052167,0.785731,0.538015,0.088468,-0.050997,0.794284,0.484218,0.122775,-0.084106,0.837218,0.531105,0.128161,-0.07521,0.786394,0.398316,0.279176,0.010892,0.769039,0.610424,0.270525,0.007716,0.959529,0.342353,0.483949,-0.001966,0.815418,0.469327,0.400963,-0.005933,0.98409,0.324872,0.671939,-0.003505,0.805632,0.564811,0.556136,0.007181,0.922668,0.31496,0.723948,0.013792,0.789831,0.684473,0.73493,0.013058,0.804643,0.289747,0.695085,0.020829,0.807432,0.676492,0.701778,0.02429,0.781836,0.330132,0.707357,0.022137,0.770347,0.669281,0.705163,0.033545,0.784057,0.431159,0.619549,0.004018,0.789021,0.57819,0.613502,-0.005625,0.892762,0.434386,0.812847,-0.007093,0.839276,0.578987,0.823153,0.008793,0.782226,0.434551,0.996408,-0.003701,0.753505,0.560757,1.000383,-0.00491,0.801011,0.419591,1.009321,0.018727,0.766536,0.576723,1.021819,0.024296,0.837378,0.427027,1.043273,-0.017923,0.767688,0.570751,1.042181,-0.029682,0.812569,8,synthetic/bicep/senior/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00008.mp4,bicep,senior,0,bad_form_elbow_swing,synthetic
0.503576,0.080173,-0.09416,0.806351,0.465103,0.046011,-0.130805,0.77411,0.460783,0.046725,-0.113289,0.756476,0.441503,0.065462,-0.11494,0.824772,0.517877,0.060577,-0.139235,0.809005,0.53328,0.061885,-0.13188,0.822764,0.548585,0.064772,-0.106578,0.831538,0.453013,0.107019,-0.053029,0.819846,0.547161,0.099617,-0.060969,0.75153,0.483523,0.120152,-0.067817,0.863992,0.521728,0.109047,-0.073835,0.78032,0.402672,0.289898,0.005611,0.789536,0.5973,0.291827,0.006032,0.963437,0.346635,0.479349,0.010571,0.789324,0.461226,0.421063,-0.001674,0.929793,0.323589,0.685924,-0.004808,0.816643,0.510641,0.583768,-0.003245,0.95263,0.323738,0.710312,0.011297,0.812949,0.68392,0.719057,0.018198,0.80494,0.311587,0.694127,0.025812,0.786909,0.685549,0.696485,0.015515,0.80059,0.317031,0.690197,0.032018,0.808225,0.664508,0.703069,0.026565,0.798103,0.432329,0.628198,-0.005608,0.756243,0.586071,0.599889,-0.000638,0.924752,0.419304,0.823937,-0.004841,0.838633,0.580639,0.829831,-0.019673,0.803937,0.42726,1.013006,-0.013564,0.798801,0.560352,1.002559,0.023199,0.743178,0.428329,1.022058,0.015533,0.822982,0.587132,1.008715,0.024108,0.796582,0.425073,1.028674,-0.02449,0.786631,0.568229,1.049067,-0.005518,0.787843,9,synthetic/bicep/senior/bad_form_elbow_swing,synthetic_bad_form_elbow_swing_00009.mp4,bicep,senior,0,bad_form_elbow_swing,synthetic
