landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.496618,0.083991,-0.107683,0.740387,0.476756,0.06276,-0.122096,0.824032,0.481731,0.068499,-0.117727,0.831948,0.468151,0.086715,-0.122137,0.833023,0.516141,0.06153,-0.118653,0.74685,0.529599,0.052044,-0.123566,0.762364,0.547824,0.062234,-0.13907,0.78616,0.440528,0.0951,-0.051482,0.790302,0.554014,0.100081,-0.054585,0.755673,0.478701,0.111151,-0.085729,0.771577,0.516891,0.118152,-0.079154,0.785624,0.415321,0.266542,-0.003793,0.799766,0.613372,0.298906,-0.003942,0.992864,0.311383,0.473548,-0.014269,0.765924,0.534783,0.471381,0.010296,0.953316,0.3264,0.679615,-0.009668,0.833371,0.707878,0.506614,-0.000965,0.923268,0.331402,0.730775,0.013876,0.834613,0.688824,0.712692,0.039655,0.761354,0.298116,0.705744,0.021063,0.848889,0.684115,0.694799,0.015185,0.782974,0.318143,0.700732,0.013209,0.769527,0.675206,0.723938,0.018574,0.770196,0.432006,0.614942,0.006285,0.763504,0.56583,0.616013,0.000356,0.927493,0.421318,0.821862,-0.003632,0.82158,0.563608,0.814618,-0.001429,0.78278,0.424423,0.994694,-0.005776,0.834784,0.571365,0.996464,-0.009561,0.796948,0.417972,1.021781,0.024134,0.877266,0.580673,1.022007,0.010097,0.814698,0.43007,1.038371,-0.013883,0.836838,0.575085,1.050496,-0.018612,0.796486,0,synthetic/bicep/senior/good_form,synthetic_good_form_00000.mp4,bicep,senior,1,good_form,synthetic
0.494391,0.076753,-0.115248,0.829709,0.475252,0.063661,-0.113475,0.805299,0.478164,0.05908,-0.119089,0.763349,0.457056,0.077562,-0.125121,0.823393,0.523398,0.054101,-0.120371,0.774757,0.535815,0.046537,-0.137166,0.81782,0.537506,0.061853,-0.122276,0.786187,0.447078,0.113078,-0.043937,0.799293,0.567077,0.089084,-0.057206,0.807552,0.486537,0.117383,-0.082781,0.74939,0.514446,0.130629,-0.078436,0.817482,0.400076,0.293145,-0.011494,0.83217,0.599987,0.294974,0.00183,0.951479,0.351249,0.48474,-0.003788,0.83744,0.524108,0.473438,0.020434,0.929518,0.318512,0.674847,0.014355,0.774523,0.662351,0.558473,-0.001116,0.986095,0.315284,0.72001,0.019678,0.774198,0.684213,0.715011,0.02154,0.812831,0.317026,0.70696,0.010119,0.773735,0.682189,0.695392,0.028314,0.758963,0.32656,0.691303,0.021022,0.805543,0.673291,0.705404,0.0112,0.770163,0.424637,0.631237,0.001075,0.778413,0.576333,0.632144,0.002013,0.963375,0.437644,0.828221,-0.018093,0.78833,0.567287,0.833677,0.009001,0.794935,0.429234,0.988811,-0.002464,0.749899,0.582941,1.000564,0.002391,0.826038,0.423728,1.032837,0.007671,0.824035,0.586365,1.013486,0.008476,0.818228,0.416639,1.03804,-0.023469,0.767045,0.581552,1.032825,-0.026316,0.797865,1,synthetic/bicep/senior/good_form,synthetic_good_form_00001.mp4,bicep,senior,1,good_form,synthetic
0.487355,0.093784,-0.095519,0.777525,0.484265,0.052792,-0.119092,0.828905,0.464622,0.05444,-0.11517,0.812029,0.475227,0.065012,-0.112686,0.777242,0.53651,0.054867,-0.12456,0.785043,0.528872,0.062475,-0.114006,0.79106,0.546011,0.082909,-0.115686,0.848385,0.441991,0.10232,-0.053775,0.749425,0.544523,0.083989,-0.033025,0.780388,0.483196,0.120367,-0.08362,0.770822,0.53226,0.126166,-0.079725,0.769949,0.395163,0.289819,-0.002168,0.799881,0.593913,0.271138,0.003603,0.953338,0.348706,0.470482,-0.000759,0.815789,0.517033,0.455224,-0.001437,0.967656,0.325957,0.677931,0.001449,0.809706,0.60016,0.602768,0.010905,0.927295,0.325317,0.719724,0.015655,0.785291,0.666036,0.733909,0.020522,0.793993,0.311125,0.687481,0.023063,0.773001,0.695099,0.70303,0.018545,0.788813,0.32806,0.709355,0.013756,0.815338,0.673889,0.700449,0.029661,0.792852,0.432879,0.627728,-0.006409,0.823178,0.560816,0.625314,0.012853,0.938736,0.4286,0.816726,0.004725,0.826872,0.570091,0.810139,-0.01422,0.813897,0.431578,1.009964,-0.005212,0.772339,0.568497,1.005902,0.007353,0.80708,0.414679,1.019002,0.013231,0.823979,0.581275,1.015514,0.017371,0.824582,0.430868,1.042088,-0.007848,0.743151,0.569869,1.04604,-0.0134,0.762555,2,synthetic/bicep/senior/good_form,synthetic_good_form_00002.mp4,bicep,senior,1,good_form,synthetic
0.49463,0.083351,-0.108847,0.828255,0.484848,0.055619,-0.116117,0.739125,0.460971,0.058906,-0.140366,0.810759,0.465923,0.083742,-0.137859,0.773242,0.522488,0.053007,-0.122727,0.813103,0.532959,0.059972,-0.103456,0.823615,0.533625,0.071663,-0.12005,0.794218,0.446578,0.091674,-0.029194,0.809478,0.555254,0.0859,-0.044618,0.773763,0.469907,0.115293,-0.082671,0.790905,0.527968,0.120694,-0.075962,0.79099,0.395319,0.27182,0.016454,0.822424,0.597653,0.284939,0.003015,0.985483,0.356255,0.480046,0.00318,0.805676,0.496025,0.445308,0.005865,0.967224,0.334773,0.682617,0.005458,0.752798,0.663803,0.491094,-0.002052,0.964993,0.32724,0.727372,0.02657,0.75048,0.675355,0.724282,0.030763,0.772723,0.310722,0.697239,0.02283,0.799712,0.680736,0.689542,0.015622,0.812795,0.318675,0.70148,0.019183,0.791627,0.675905,0.706619,0.020814,0.777566,0.438134,0.611937,0.001918,0.794603,0.552757,0.618163,-0.009628,0.908265,0.423994,0.804987,0.000646,0.82476,0.588325,0.821471,0.000876,0.770003,0.433421,0.999085,0.00041,0.79196,0.573863,1.005986,0.014252,0.800246,0.416393,1.007918,0.028922,0.797995,0.589606,1.036885,0.023386,0.769227,0.421326,1.042324,-0.033544,0.840404,0.588205,1.04107,-0.034037,0.838671,3,synthetic/bicep/senior/good_form,synthetic_good_form_00003.mp4,bicep,senior,1,good_form,synthetic
0.506096,0.064424,-0.099754,0.868335,0.480293,0.05393,-0.134716,0.827134,0.470485,0.063275,-0.125291,0.736527,0.452234,0.07185,-0.126236,0.791048,0.517282,0.069262,-0.128425,0.87393,0.530422,0.051923,-0.108984,0.753781,0.548067,0.064326,-0.121539,0.834778,0.44616,0.101275,-0.041166,0.824392,0.54508,0.103252,-0.057745,0.817403,0.480269,0.124758,-0.076749,0.715584,0.511261,0.127147,-0.082573,0.823066,0.415795,0.276364,-0.006897,0.788781,0.585057,0.28772,0.015846,0.953513,0.356274,0.481522,-0.000937,0.806447,0.545686,0.470817,-0.006788,0.922802,0.328972,0.694114,0.002519,0.836531,0.588239,0.649836,0.011556,0.977255,0.32218,0.710928,0.021252,0.849366,0.675646,0.721677,0.016173,0.822308,0.31587,0.697039,0.038044,0.78245,0.703449,0.699727,0.017762,0.819305,0.320629,0.696197,0.021515,0.830962,0.68288,0.711309,0.014442,0.786782,0.439506,0.612769,0.009061,0.829721,0.568612,0.611316,-0.002998,0.941462,0.425739,0.806723,0.001251,0.739766,0.561177,0.821862,0.006084,0.794405,0.42394,1.000324,-0.002555,0.771616,0.566901,0.991389,-0.0135,0.790203,0.424072,1.020769,0.035846,0.812217,0.586412,1.024261,0.010317,0.791566,0.427914,1.05796,-0.017482,0.826418,0.565409,1.040813,-0.029681,0.797613,4,synthetic/bicep/senior/good_form,synthetic_good_form_00004.mp4,bicep,senior,1,good_form,synthetic
0.493849,0.073627,-0.101967,0.779756,0.462131,0.059462,-0.100314,0.819214,0.472268,0.05371,-0.131944,0.761967,0.475819,0.080696,-0.127759,0.779563,0.518325,0.064372,-0.133033,0.813456,0.537791,0.073797,-0.12635,0.844133,0.533216,0.065913,-0.124299,0.74426,0.449455,0.098064,-0.054734,0.784031,0.546548,0.094992,-0.046243,0.835398,0.487063,0.114397,-0.068081,0.801029,0.514673,0.102361,-0.078733,0.774839,0.413122,0.285662,-0.002296,0.76568,0.59327,0.267466,-0.006012,0.946201,0.328976,0.488153,0.014423,0.835885,0.52198,0.441232,-0.007571,0.952183,0.337693,0.688124,-0.007939,0.786007,0.597356,0.594882,0.020946,0.91299,0.322766,0.704443,0.018869,0.80437,0.678324,0.720188,0.021773,0.787304,0.310172,0.698262,0.022356,0.823028,0.691552,0.70258,0.023954,0.810112,0.323538,0.699252,0.032364,0.838955,0.676453,0.70219,0.020359,0.791678,0.43488,0.635496,0.004866,0.832861,0.575384,0.61553,-0.005368,0.965748,0.422981,0.826447,0.010993,0.74495,0.566879,0.826217,0.026105,0.86608,0.427218,1.004408,-0.008189,0.755289,0.566456,0.997687,0.011054,0.825833,0.411072,1.01171,0.010359,0.738379,0.568208,1.025353,0.023192,0.847596,0.433018,1.050188,-0.029313,0.78725,0.578116,1.038784,-0.025642,0.792084,5,synthetic/bicep/senior/good_form,synthetic_good_form_00005.mp4,bicep,senior,1,good_form,synthetic
0.51166,0.068456,-0.093507,0.81908,0.476951,0.058234,-0.123679,0.799547,0.47049,0.062185,-0.129039,0.820675,0.471255,0.079124,-0.10471,0.760553,0.525336,0.05307,-0.118374,0.796267,0.526198,0.065725,-0.126754,0.833821,0.551501,0.070314,-0.115596,0.801098,0.443709,0.100486,-0.04313,0.830541,0.561025,0.099806,-0.047491,0.816175,0.469955,0.115528,-0.066148,0.804792,0.523717,0.111545,-0.075939,0.793613,0.406274,0.279844,-0.005856,0.770212,0.606661,0.299115,-0.007659,0.929959,0.350785,0.486761,-0.024966,0.805083,0.535985,0.469711,-0.001731,0.991308,0.352518,0.68197,0.01461,0.771692,0.694671,0.486883,0.004978,0.981825,0.323617,0.71989,0.028351,0.781184,0.674485,0.725677,0.00822,0.789837,0.306708,0.699441,0.028568,0.819852,0.684723,0.692502,0.02505,0.79877,0.307288,0.695421,0.025263,0.860127,0.691113,0.708898,0.024181,0.791619,0.414941,0.614522,0.00287,0.812252,0.584558,0.627898,-0.019001,0.927384,0.437069,0.81147,0.005341,0.77511,0.581302,0.851178,0.00236,0.778328,0.426676,0.999877,0.000647,0.809761,0.560424,1.002349,-0.004005,0.835003,0.419635,1.025877,0.015514,0.838086,0.573269,1.024949,0.021303,0.848514,0.426997,1.033429,-0.016762,0.792154,0.557953,1.045114,-0.032028,0.780564,6,synthetic/bicep/senior/good_form,synthetic_good_form_00006.mp4,bicep,senior,1,good_form,synthetic
0.49805,0.077152,-0.09632,0.823612,0.481236,0.051521,-0.110272,0.834433,0.458129,0.073278,-0.130461,0.795502,0.488709,0.070952,-0.116846,0.789216,0.523213,0.045976,-0.112634,0.797752,0.543768,0.0424,-0.1132,0.80072,0.543421,0.062209,-0.112762,0.81407,0.460831,0.107075,-0.052876,0.777211,0.537445,0.095083,-0.047169,0.79922,0.478385,0.127487,-0.07096,0.763023,0.518377,0.117892,-0.077328,0.73664,0.402171,0.276542,-0.00014,0.804047,0.611668,0.274824,-0.000504,0.96417,0.331684,0.479674,-0.009853,0.811894,0.533444,0.448299,-0.007497,0.904449,0.325237,0.67692,-0.011585,0.799381,0.562669,0.611978,-0.007358,0.965576,0.312095,0.711224,0.003691,0.82956,0.688926,0.711556,0.019508,0.80541,0.314938,0.712269,0.024831,0.794954,0.694696,0.699788,0.032295,0.795091,0.304959,0.694521,0.011278,0.836156,0.669828,0.698454,0.017553,0.845765,0.408785,0.628294,-0.008502,0.775972,0.548392,0.625892,0.013175,0.959178,0.430843,0.830012,-0.013185,0.813933,0.591513,0.819224,0.003664,0.793699,0.439393,0.99643,0.011877,0.827378,0.561253,1.009904,0.009233,0.731507,0.412896,1.019157,0.026655,0.790551,0.577702,1.010594,0.027853,0.742973,0.437295,1.02705,-0.023388,0.778775,0.561253,1.04243,-0.016629,0.774727,7,synthetic/bicep/senior/good_form,synthetic_good_form_00007.mp4,bicep,senior,1,good_form,synthetic
0.513036,0.085385,-0.100256,0.761166,0.484193,0.071337,-0.119783,0.767542,0.467813,0.072945,-0.122859,0.8332,0.453752,0.06348,-0.124807,0.775219,0.522853,0.060868,-0.115616,0.787118,0.523986,0.054646,-0.113874,0.819095,0.533803,0.073335,-0.121191,0.791703,0.448976,0.090202,-0.03832,0.792824,0.553053,0.101075,-0.054488,0.740997,0.463948,0.113946,-0.08711,0.832286,0.514523,0.120785,-0.067878,0.784265,0.404923,0.280171,0.009154,0.83761,0.590935,0.285385,-0.00313,0.97185,0.354995,0.48174,-0.004314,0.796855,0.533788,0.460828,-0.007157,0.938204,0.327386,0.676818,-0.011894,0.821317,0.68323,0.540268,0.007879,0.964004,0.331684,0.712082,0.023514,0.821724,0.682817,0.727918,0.02464,0.858694,0.304243,0.686666,0.018988,0.782162,0.68391,0.716243,0.023462,0.767644,0.317312,0.70966,0.009266,0.756948,0.692514,0.70742,0.023615,0.778545,0.420157,0.62441,-0.008751,0.796689,0.581395,0.620327,-0.014185,0.904175,0.439208,0.821722,0.002491,0.818058,0.570288,0.819755,-0.003391,0.881474,0.432002,1.008871,-0.009088,0.859173,0.572967,0.999319,-0.000234,0.740142,0.429978,1.023657,0.016952,0.802476,0.577899,1.021581,0.022571,0.823075,0.446752,1.036926,-0.02297,0.802541,0.556239,1.042549,-0.026115,0.793758,8,synthetic/bicep/senior/good_form,synthetic_good_form_00008.mp4,bicep,senior,1,good_form,synthetic
0.506973,0.100615,-0.105637,0.745089,0.485776,0.061272,-0.111359,0.842725,0.470862,0.05195,-0.118828,0.78024,0.474921,0.065777,-0.111183,0.859445,0.516131,0.052057,-0.114825,0.795987,0.53434,0.069377,-0.126811,0.810423,0.539987,0.079677,-0.125449,0.802856,0.448413,0.085988,-0.046688,0.791473,0.547181,0.097604,-0.056554,0.837428,0.484091,0.12778,-0.070386,0.817196,0.523618,0.123504,-0.072435,0.811699,0.393033,0.274247,-0.008448,0.860715,0.60297,0.269333,-0.005819,0.950644,0.334147,0.472444,0.003027,0.806219,0.54279,0.443502,0.002126,1.0,0.325124,0.674894,-0.003089,0.780373,0.695354,0.524011,5.7e-05,0.900491,0.308936,0.738161,0.023026,0.78455,0.686093,0.724665,0.017741,0.848343,0.319347,0.705582,0.004695,0.776081,0.677198,0.692969,0.027409,0.814704,0.312841,0.698368,-0.004629,0.793468,0.684832,0.690859,0.0228,0.81115,0.437445,0.62928,-0.001853,0.819458,0.580253,0.612359,0.004784,0.962963,0.43272,0.81362,-0.006746,0.76351,0.585465,0.822724,-0.012212,0.831309,0.425639,0.993746,0.008415,0.798159,0.562692,1.008165,0.000141,0.808375,0.416869,1.021379,0.01384,0.794669,0.57589,1.011883,0.002861,0.83046,0.43303,1.045994,-0.015372,0.782412,0.572497,1.031598,-0.006862,0.775407,9,synthetic/bicep/senior/good_form,synthetic_good_form_00009.mp4,bicep,senior,1,good_form,synthetic
