landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.493225,0.067948,-0.099982,0.775354,0.470426,0.059454,-0.120631,0.827446,0.463476,0.063124,-0.099476,0.841253,0.453071,0.071815,-0.133627,0.858872,0.519204,0.060527,-0.111009,0.728419,0.52982,0.05354,-0.117891,0.784579,0.534096,0.060196,-0.106383,0.814203,0.44276,0.113921,-0.053903,0.818514,0.544878,0.106838,-0.064262,0.738412,0.485472,0.122826,-0.076577,0.828148,0.510271,0.120132,-0.075964,0.778525,0.404074,0.277833,0.010951,0.829908,0.614863,0.285409,-0.000529,0.931632,0.351278,0.483567,-0.001957,0.821694,0.608303,0.081639,0.006845,0.959619,0.33049,0.677638,-0.001914,0.791998,0.440365,0.124159,0.007407,0.899324,0.327676,0.709569,0.020613,0.785047,0.687968,0.702574,0.034882,0.854722,0.298844,0.706935,0.024751,0.813694,0.694724,0.687352,0.019329,0.793412,0.324808,0.683923,0.015228,0.741804,0.687047,0.702051,0.020224,0.786121,0.440643,0.613144,-0.009464,0.779233,0.562095,0.614223,-0.005235,0.939158,0.429256,0.823998,0.002516,0.826757,0.634013,0.829495,0.003848,0.954062,0.439737,0.990483,0.014286,0.824989,0.556884,1.000136,-0.018187,0.816836,0.427028,1.021937,0.02465,0.817001,0.592411,1.02157,0.016835,0.785294,0.433838,1.04027,-0.029361,0.771701,0.584226,1.038774,-0.015882,0.849019,0,synthetic/chest/adult/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00000.mp4,chest,adult,0,bad_form_sagging_hips,synthetic
0.518557,0.076323,-0.099799,0.81676,0.47883,0.069918,-0.104886,0.750855,0.475638,0.058973,-0.11746,0.802713,0.475835,0.068044,-0.121891,0.843574,0.528769,0.050747,-0.116877,0.830891,0.536485,0.060984,-0.127908,0.833046,0.527869,0.063397,-0.119472,0.866287,0.459886,0.099833,-0.060744,0.843952,0.537965,0.099475,-0.047809,0.791419,0.484526,0.127319,-0.089326,0.794848,0.516086,0.130466,-0.080189,0.783698,0.395616,0.279118,-0.00567,0.780523,0.582314,0.292552,0.001893,0.987769,0.348267,0.488542,0.001961,0.856207,0.562126,0.094214,-2.9e-05,0.927149,0.329479,0.672189,0.009314,0.804803,0.394358,0.042524,-0.005455,0.952215,0.31681,0.745426,0.01207,0.776896,0.679607,0.720978,0.014668,0.755909,0.310156,0.700828,0.024208,0.837146,0.683708,0.692902,0.008246,0.800039,0.311258,0.713361,0.021505,0.840423,0.679498,0.699448,0.020925,0.812387,0.4283,0.626107,0.001572,0.751,0.553666,0.620047,-0.001169,0.974812,0.424894,0.801983,0.004379,0.806703,0.633821,0.837366,-0.007688,0.933721,0.433445,0.983944,0.000299,0.750124,0.574404,1.006071,-0.003693,0.819564,0.415487,1.017894,0.029937,0.763379,0.583986,1.014547,0.009936,0.756328,0.419178,1.042965,-0.026372,0.823188,0.569531,1.025678,-0.022771,0.802395,1,synthetic/chest/adult/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00001.mp4,chest,adult,0,bad_form_sagging_hips,synthetic
0.496689,0.072987,-0.100891,0.770842,0.475509,0.055028,-0.127561,0.807394,0.469477,0.053967,-0.123986,0.758051,0.454293,0.073803,-0.111606,0.857537,0.531738,0.05523,-0.127707,0.832168,0.54185,0.052189,-0.126468,0.794553,0.537028,0.069878,-0.119321,0.833404,0.460697,0.110785,-0.057464,0.82707,0.547247,0.105958,-0.057755,0.830548,0.483236,0.108644,-0.085909,0.783014,0.52319,0.121635,-0.08964,0.829097,0.406928,0.262838,-0.002698,0.748149,0.611205,0.272564,-0.003267,0.946484,0.359999,0.479078,0.020072,0.821986,0.607203,0.077911,-0.008195,0.964051,0.319902,0.680461,-0.008966,0.780306,0.556201,-0.097485,-0.002534,0.915379,0.325797,0.73243,0.019894,0.80461,0.684687,0.706477,0.024078,0.780318,0.30457,0.690717,0.019409,0.773435,0.702278,0.698081,0.016544,0.831182,0.325276,0.701271,0.025153,0.766827,0.685921,0.716013,0.020376,0.771767,0.434449,0.612482,0.004742,0.81825,0.572438,0.616747,0.000846,0.946929,0.431079,0.826075,-0.018494,0.79887,0.654059,0.820093,0.002132,0.984192,0.419372,1.016775,0.000708,0.803785,0.569065,1.010146,0.00341,0.811199,0.426125,1.021401,0.018238,0.767737,0.573,1.032422,0.00739,0.798217,0.434649,1.042487,-0.015899,0.768306,0.56301,1.039979,-0.011072,0.820662,2,synthetic/chest/adult/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00002.mp4,chest,adult,0,bad_form_sagging_hips,synthetic
0.512584,0.09142,-0.095199,0.748083,0.485447,0.061913,-0.123801,0.769527,0.479173,0.057118,-0.11901,0.786088,0.462245,0.060003,-0.117989,0.79588,0.518867,0.05909,-0.122065,0.833995,0.523046,0.044908,-0.133832,0.796401,0.527826,0.061386,-0.114392,0.744223,0.446361,0.095045,-0.054544,0.827482,0.54843,0.100022,-0.046843,0.782186,0.481412,0.144116,-0.071028,0.80453,0.517756,0.111116,-0.089363,0.804236,0.401743,0.273689,0.006169,0.850679,0.596116,0.274678,-0.001088,0.949868,0.357069,0.478625,-0.002956,0.807627,0.592465,0.080912,0.016661,0.96485,0.318736,0.666535,-0.002297,0.77101,0.406871,0.062351,-0.000163,0.971133,0.31427,0.7043,0.020285,0.762908,0.672995,0.722655,0.021582,0.807971,0.30209,0.703079,0.020283,0.814959,0.676524,0.696394,0.013749,0.78357,0.32594,0.693958,0.02835,0.779867,0.679391,0.695659,0.02884,0.797787,0.430505,0.631326,0.01277,0.821775,0.560727,0.62981,-0.004642,0.957065,0.424805,0.803139,-0.006523,0.788688,0.70653,0.796406,-0.006346,0.972207,0.419112,1.002265,0.005861,0.792773,0.567864,1.006914,-0.010515,0.754737,0.423888,1.02896,0.011428,0.790915,0.589594,1.019297,0.010654,0.858303,0.419022,1.040912,-0.020001,0.807716,0.586205,1.047348,-0.021583,0.791606,3,synthetic/chest/adult/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00003.mp4,chest,adult,0,bad_form_sagging_hips,synthetic
0.497773,0.094829,-0.106352,0.824637,0.469355,0.056592,-0.111151,0.797341,0.478606,0.048451,-0.119439,0.806672,0.454546,0.068775,-0.12821,0.772078,0.511038,0.068838,-0.125369,0.769561,0.521222,0.061332,-0.128597,0.823459,0.537407,0.062734,-0.12154,0.737974,0.442754,0.113184,-0.057442,0.752215,0.544198,0.095114,-0.0381,0.799044,0.478162,0.114492,-0.074817,0.827389,0.528147,0.124054,-0.084746,0.779343,0.397367,0.273208,-0.002941,0.84255,0.610062,0.263452,0.002478,0.954399,0.34591,0.466944,-0.004861,0.839915,0.597102,0.067122,-0.000998,0.94538,0.349842,0.682046,-0.003494,0.799562,0.424582,0.123772,0.008858,0.945686,0.320339,0.73003,0.019696,0.780847,0.683412,0.711242,0.003632,0.853516,0.313914,0.690714,0.02503,0.832331,0.695605,0.696129,0.017425,0.778598,0.321413,0.691188,0.021463,0.75438,0.678549,0.6986,0.02793,0.790356,0.433236,0.626413,-0.01093,0.82351,0.573179,0.629476,-0.00064,0.940772,0.422089,0.816774,-0.007226,0.793898,0.639205,0.846111,-0.001952,0.96245,0.440442,0.997688,-0.010505,0.767239,0.575121,0.996467,0.001133,0.743504,0.426264,1.024443,0.030679,0.77303,0.573757,1.005261,0.018336,0.823421,0.435007,1.037496,-0.017579,0.817353,0.575044,1.032213,-0.02245,0.820204,4,synthetic/chest/adult/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00004.mp4,chest,adult,0,bad_form_sagging_hips,synthetic
0.496607,0.091858,-0.09698,0.77102,0.486449,0.061168,-0.11394,0.798969,0.473619,0.057483,-0.124745,0.785009,0.450089,0.081066,-0.13087,0.81972,0.529197,0.063265,-0.108264,0.794817,0.520698,0.064725,-0.125187,0.762523,0.528711,0.082854,-0.122163,0.768706,0.451918,0.111323,-0.05148,0.830377,0.542139,0.103553,-0.049629,0.760678,0.471848,0.114814,-0.079297,0.80266,0.518337,0.120579,-0.070909,0.786418,0.388639,0.284111,-0.00073,0.771517,0.607773,0.272243,-0.010318,0.962,0.346993,0.472116,-0.004558,0.798597,0.603912,0.079162,0.007661,0.954962,0.337932,0.693279,-0.004613,0.821699,0.446586,0.172451,-0.02042,0.891603,0.319054,0.741043,0.003644,0.834733,0.676114,0.73277,0.009598,0.826094,0.313032,0.699364,0.028635,0.746176,0.694606,0.706376,0.012271,0.813439,0.332267,0.689811,0.012918,0.803537,0.696691,0.682852,0.014471,0.812953,0.441985,0.61967,0.00503,0.810355,0.565441,0.629194,0.000416,0.940182,0.43387,0.809137,-0.003018,0.781012,0.606877,0.846018,-0.011833,0.932545,0.431989,0.997881,0.005578,0.79525,0.573362,0.998576,0.009317,0.839914,0.424881,1.014236,0.011621,0.769085,0.580321,1.013686,0.003294,0.803567,0.408404,1.049539,-0.021661,0.751196,0.557633,1.040367,-0.024132,0.808517,5,synthetic/chest/adult/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00005.mp4,chest,adult,0,bad_form_sagging_hips,synthetic
0.50251,0.074877,-0.096798,0.831862,0.474881,0.058949,-0.113241,0.792504,0.459906,0.056516,-0.109169,0.810602,0.467966,0.054941,-0.123932,0.782993,0.529234,0.055348,-0.138865,0.831042,0.53946,0.059152,-0.110697,0.836471,0.542545,0.065537,-0.125345,0.795144,0.451877,0.092645,-0.048913,0.792698,0.550404,0.097766,-0.035459,0.827165,0.470312,0.133383,-0.06885,0.768142,0.52806,0.133583,-0.073112,0.807369,0.407,0.281913,0.006571,0.80825,0.606079,0.26832,0.000183,0.940569,0.356053,0.490736,-0.000376,0.793186,0.588068,0.075667,-0.008384,0.965942,0.338909,0.686103,0.014131,0.82627,0.426255,0.131735,0.000332,0.99261,0.320919,0.710033,0.016195,0.809104,0.686367,0.728275,0.018238,0.769873,0.307703,0.706002,0.023079,0.751532,0.690646,0.695308,0.021196,0.804665,0.328342,0.697829,0.018737,0.816466,0.671358,0.69626,0.024235,0.793572,0.437497,0.622196,-0.003307,0.816412,0.568501,0.61107,-0.002605,0.940144,0.422821,0.823767,-0.007919,0.740051,0.642177,0.813707,-0.018003,0.945762,0.423019,0.988588,-0.003647,0.814382,0.562164,0.998804,0.006052,0.843678,0.419551,1.01316,0.030964,0.749004,0.570685,1.036496,0.020819,0.818569,0.430958,1.03881,-0.002551,0.771957,0.581407,1.036854,-0.022417,0.780111,6,synthetic/chest/adult/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00006.mp4,chest,adult,0,bad_form_sagging_hips,synthetic
0.505308,0.080257,-0.09045,0.806507,0.479211,0.062799,-0.121857,0.797878,0.470556,0.051721,-0.117919,0.835202,0.45384,0.068644,-0.130145,0.712821,0.515823,0.06017,-0.134482,0.806554,0.522395,0.066907,-0.123222,0.805646,0.533546,0.069407,-0.110015,0.821271,0.436215,0.103461,-0.046432,0.796509,0.551338,0.097213,-0.050918,0.816687,0.485687,0.135707,-0.076058,0.746471,0.520502,0.115036,-0.087553,0.793237,0.403807,0.283014,0.004842,0.805764,0.597842,0.276586,-0.007889,0.951172,0.345652,0.461765,-0.006525,0.825148,0.564091,0.080243,0.009175,0.9553,0.337583,0.667644,-0.013653,0.77943,0.393221,0.108107,0.000119,0.969701,0.328283,0.714862,0.017553,0.751635,0.677081,0.714384,0.022039,0.803295,0.308432,0.696807,0.01057,0.793861,0.687408,0.71104,0.010478,0.799588,0.322842,0.698624,0.016086,0.79773,0.678056,0.712149,0.015621,0.806473,0.427831,0.614153,0.007482,0.735464,0.568155,0.636511,-0.011022,0.927228,0.444264,0.793882,0.002094,0.811036,0.692755,0.825691,0.008095,0.965986,0.429208,0.994942,0.001822,0.786821,0.567604,1.002484,0.009743,0.801719,0.42557,1.01684,0.014439,0.762801,0.590142,1.02481,0.000575,0.837066,0.433491,1.044036,-0.027343,0.778682,0.575883,1.04498,-0.010148,0.794166,7,synthetic/chest/adult/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00007.mp4,chest,adult,0,bad_form_sagging_hips,synthetic
0.518518,0.074717,-0.10133,0.770862,0.486218,0.058593,-0.114074,0.859704,0.479231,0.059775,-0.122111,0.825516,0.445958,0.071605,-0.112894,0.776329,0.495237,0.061133,-0.125433,0.746083,0.524739,0.076267,-0.11266,0.832397,0.537349,0.067332,-0.113772,0.742569,0.450777,0.097662,-0.055325,0.82667,0.561291,0.102032,-0.049245,0.795614,0.478035,0.132508,-0.085694,0.808376,0.514163,0.116923,-0.086588,0.811491,0.396342,0.277664,-0.007664,0.787225,0.596967,0.270884,0.014389,0.923229,0.344921,0.483506,0.004838,0.80611,0.573144,0.065535,-0.006346,0.936998,0.323354,0.686681,-0.012041,0.716526,0.472199,-0.074861,0.003175,0.970798,0.327408,0.728087,0.031788,0.820822,0.689975,0.711879,0.036128,0.770866,0.307401,0.711822,0.02453,0.83268,0.692429,0.693285,-4.9e-05,0.72761,0.314153,0.716882,0.012747,0.788556,0.689856,0.685662,0.027888,0.845521,0.424066,0.62282,-0.002287,0.7776,0.564972,0.613676,0.004908,0.993386,0.431044,0.823132,0.014178,0.739475,0.710235,0.789257,0.001003,0.955678,0.435557,1.021696,0.009856,0.793464,0.572653,1.008736,0.006703,0.771679,0.436664,1.035845,0.019055,0.763804,0.577051,1.020061,0.021224,0.822172,0.426449,1.038643,-0.033926,0.739902,0.572944,1.046012,-0.019936,0.796527,8,synthetic/chest/adult/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00008.mp4,chest,adult,0,bad_form_sagging_hips,synthetic
0.496957,0.080692,-0.102349,0.847923,0.47487,0.06571,-0.117478,0.846972,0.480623,0.056282,-0.125961,0.788242,0.454445,0.061619,-0.112932,0.859325,0.524955,0.059346,-0.121018,0.823052,0.527497,0.053348,-0.130179,0.806563,0.553027,0.065888,-0.115727,0.803902,0.444365,0.104418,-0.046987,0.797645,0.539533,0.101102,-0.054017,0.79277,0.486385,0.121634,-0.081008,0.801586,0.527436,0.120088,-0.094035,0.774396,0.382217,0.286782,0.002168,0.716436,0.615644,0.300818,0.003177,0.956214,0.358879,0.489613,-8.2e-05,0.776223,0.588993,0.101633,0.003239,0.98466,0.324103,0.683324,-0.00151,0.798343,0.450453,0.213477,-0.001495,0.989239,0.33303,0.706897,0.023107,0.811979,0.669327,0.718283,0.020332,0.849845,0.299286,0.696536,0.008148,0.833353,0.6857,0.707349,0.007511,0.771202,0.315066,0.695324,0.008366,0.83841,0.68154,0.710257,0.033043,0.843443,0.425145,0.621812,-0.012665,0.849836,0.583713,0.633653,-0.007411,0.969956,0.437189,0.822295,0.005429,0.761758,0.709714,0.809665,0.01046,0.973808,0.446241,1.000675,0.000792,0.797688,0.560391,0.999312,-0.009989,0.808049,0.425964,1.027908,0.034502,0.850833,0.572457,1.016505,0.020639,0.811965,0.43132,1.026766,-0.009404,0.855725,0.550817,1.054807,-0.025156,0.845539,9,synthetic/chest/adult/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00009.mp4,chest,adult,0,bad_form_sagging_hips,synthetic
