landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.487106,0.09088,-0.086122,0.761986,0.485851,0.070056,-0.138698,0.793253,0.462247,0.063761,-0.120951,0.792263,0.471929,0.075683,-0.118889,0.818874,0.527259,0.052893,-0.130658,0.753341,0.524217,0.047335,-0.120836,0.805982,0.541946,0.069298,-0.142648,0.799456,0.44348,0.112976,-0.047135,0.732976,0.548598,0.091104,-0.036026,0.7894,0.490076,0.127468,-0.076529,0.798891,0.522637,0.123154,-0.07786,0.837664,0.403353,0.293687,0.002481,0.808484,0.596894,0.276083,0.000191,0.97706,0.353644,0.474949,-0.012233,0.790152,0.596296,0.083283,-0.003818,0.958412,0.324368,0.678585,-0.003407,0.817016,0.41165,0.028151,-0.004523,0.950741,0.326374,0.709931,0.02031,0.748103,0.671734,0.722064,0.026981,0.795248,0.316557,0.694508,0.005998,0.807371,0.676585,0.707811,0.024624,0.821956,0.319182,0.706736,0.028454,0.795535,0.668168,0.691407,0.015097,0.74689,0.436017,0.612687,-0.003251,0.816005,0.569463,0.611571,-0.002732,0.938895,0.425251,0.820426,0.010578,0.893839,0.563322,0.844784,-0.007681,0.96272,0.428484,0.995889,0.023495,0.771969,0.559093,1.003172,0.006427,0.828342,0.420942,1.0063,0.013696,0.807631,0.567255,1.019985,0.016751,0.78988,0.448356,1.046812,-0.024698,0.784721,0.575603,1.044831,-0.023289,0.734696,0,synthetic/chest/adult/good_form,synthetic_good_form_00000.mp4,chest,adult,1,good_form,synthetic
0.495392,0.072429,-0.101681,0.856068,0.47359,0.067504,-0.124446,0.793469,0.461565,0.07307,-0.116797,0.784273,0.461115,0.076294,-0.111317,0.804093,0.522041,0.050049,-0.123733,0.799336,0.527036,0.053629,-0.107425,0.771121,0.546774,0.066193,-0.108693,0.824741,0.451959,0.114063,-0.05329,0.819045,0.552826,0.101336,-0.052992,0.773944,0.473384,0.126269,-0.072486,0.819488,0.53093,0.125817,-0.083578,0.812009,0.404981,0.278675,0.004448,0.826789,0.608597,0.295925,-0.006072,0.980191,0.354719,0.501623,-0.016372,0.811039,0.590599,0.09888,0.00952,0.964217,0.329331,0.687809,0.004136,0.75685,0.522453,-0.068286,-0.012419,0.904376,0.314016,0.71795,0.020486,0.843093,0.68843,0.715118,0.011744,0.784941,0.309502,0.696776,0.013727,0.806793,0.69112,0.691588,0.023647,0.806157,0.31618,0.69681,0.019738,0.821048,0.679434,0.702987,0.016016,0.850156,0.426775,0.607069,0.013587,0.843132,0.574084,0.632999,-0.00665,0.968312,0.420272,0.820882,0.00416,0.805342,0.568185,0.850908,0.009473,0.886316,0.422501,0.985328,-0.008486,0.799178,0.576418,1.000365,-0.003984,0.79652,0.432401,1.02815,0.019909,0.809398,0.578254,1.004673,0.031762,0.786953,0.437154,1.041331,-0.042011,0.75945,0.559668,1.039191,-0.015945,0.801275,1,synthetic/chest/adult/good_form,synthetic_good_form_00001.mp4,chest,adult,1,good_form,synthetic
0.500634,0.073392,-0.099164,0.820349,0.502263,0.053289,-0.123889,0.793307,0.466944,0.066797,-0.123797,0.821045,0.476106,0.070736,-0.115588,0.798575,0.517829,0.070691,-0.118118,0.832027,0.531143,0.073099,-0.130446,0.805031,0.544799,0.062614,-0.114392,0.832974,0.453661,0.102994,-0.063194,0.734353,0.56047,0.094185,-0.052772,0.820662,0.494271,0.135933,-0.08171,0.735055,0.513504,0.111829,-0.070836,0.814244,0.3999,0.277025,-0.004035,0.806872,0.59787,0.297675,0.001064,1.0,0.352748,0.472438,0.013233,0.853222,0.603172,0.104146,-0.016355,0.935111,0.333637,0.661332,0.00223,0.824667,0.418237,0.085485,0.004358,0.932802,0.323782,0.729996,0.022334,0.78307,0.678861,0.717668,0.025805,0.837421,0.305913,0.701252,0.020299,0.825509,0.687953,0.717631,0.023733,0.809136,0.325685,0.710665,0.026611,0.812621,0.67762,0.692269,0.00955,0.796098,0.428967,0.617033,-0.01718,0.800667,0.564147,0.618082,-0.002792,0.985656,0.438603,0.825145,0.005838,0.762721,0.534433,0.836387,0.004461,0.914203,0.430292,0.995635,-0.006344,0.793552,0.569257,0.992518,0.005745,0.788592,0.434327,1.032943,0.031588,0.793616,0.572442,1.029758,0.021436,0.798625,0.433164,1.042309,-0.004339,0.752543,0.567301,1.039339,-0.031599,0.798615,2,synthetic/chest/adult/good_form,synthetic_good_form_00002.mp4,chest,adult,1,good_form,synthetic
0.485099,0.076385,-0.097223,0.789843,0.485955,0.071636,-0.120024,0.784559,0.466473,0.063623,-0.127246,0.770895,0.461309,0.063144,-0.117451,0.810396,0.526815,0.066919,-0.130938,0.77161,0.539628,0.053427,-0.111529,0.81098,0.546383,0.063908,-0.129422,0.804893,0.442788,0.097317,-0.041228,0.817079,0.542206,0.108759,-0.048129,0.747479,0.492041,0.136309,-0.092666,0.809112,0.52308,0.135462,-0.087758,0.805609,0.397357,0.278297,-0.012401,0.824286,0.609323,0.277524,-0.002823,0.93329,0.362014,0.496469,-0.001621,0.798641,0.595565,0.079648,-0.000871,0.925168,0.333136,0.689981,0.003987,0.789015,0.515781,-0.076684,0.007581,1.0,0.330026,0.715764,0.022222,0.808736,0.682818,0.726604,0.033685,0.778444,0.316577,0.701046,0.010064,0.81463,0.682121,0.714455,0.023835,0.812422,0.307507,0.69695,0.02957,0.812472,0.675079,0.700095,0.012531,0.843371,0.422444,0.631491,0.002482,0.822031,0.56332,0.644524,0.007454,0.961659,0.443535,0.810189,-0.005345,0.79745,0.555673,0.856667,-0.004418,0.940702,0.439453,0.992592,-0.002391,0.742868,0.573114,1.00179,0.003848,0.791515,0.436952,1.028378,0.018075,0.784248,0.579091,1.017852,0.016846,0.810068,0.435684,1.042603,-0.010525,0.794224,0.570458,1.045496,-0.031615,0.839299,3,synthetic/chest/adult/good_form,synthetic_good_form_00003.mp4,chest,adult,1,good_form,synthetic
0.50743,0.089213,-0.102946,0.831951,0.483108,0.061071,-0.108721,0.838721,0.457475,0.056655,-0.117681,0.809812,0.453915,0.06969,-0.123081,0.789571,0.525078,0.04951,-0.120996,0.765991,0.522427,0.054083,-0.126996,0.777095,0.546896,0.069176,-0.110959,0.757678,0.453629,0.113053,-0.047028,0.775263,0.543995,0.091533,-0.056649,0.758922,0.478559,0.115444,-0.067129,0.794452,0.531673,0.107068,-0.091697,0.796959,0.400971,0.265862,-0.005164,0.791844,0.60871,0.298006,-0.016654,0.930016,0.344785,0.479972,-0.004535,0.80181,0.596195,0.105812,-0.007208,0.973391,0.331133,0.673781,0.007362,0.802719,0.443713,-0.005905,0.00891,0.963421,0.319323,0.717364,0.018723,0.838561,0.679225,0.730421,0.008368,0.765263,0.303234,0.703643,0.026209,0.84178,0.698714,0.721441,0.023787,0.829285,0.303645,0.714581,0.015119,0.804054,0.692972,0.702415,0.020911,0.793591,0.434425,0.613868,0.003166,0.818113,0.573874,0.631128,-0.008227,0.953703,0.41807,0.834843,0.013528,0.767849,0.544422,0.844828,0.00156,0.957312,0.428792,0.993182,0.001998,0.812,0.572769,1.000258,0.002876,0.828371,0.407042,1.015381,0.010279,0.798954,0.589922,1.019141,0.032043,0.790106,0.438383,1.047691,-0.019278,0.759032,0.568197,1.024979,-0.018584,0.778122,4,synthetic/chest/adult/good_form,synthetic_good_form_00004.mp4,chest,adult,1,good_form,synthetic
0.510682,0.076706,-0.121724,0.823067,0.470414,0.063633,-0.101481,0.815744,0.47261,0.048827,-0.104473,0.76581,0.447949,0.073924,-0.11902,0.765774,0.51747,0.047874,-0.119345,0.743983,0.533732,0.064466,-0.108963,0.738743,0.538065,0.061612,-0.115582,0.786131,0.454008,0.091238,-0.046916,0.770792,0.541131,0.100809,-0.047156,0.838962,0.486644,0.120678,-0.079545,0.827332,0.528677,0.127096,-0.083798,0.748667,0.396466,0.274438,-0.001765,0.74771,0.589246,0.290182,-0.005825,0.910185,0.359572,0.469318,0.012944,0.788957,0.575198,0.085961,-0.001967,0.942306,0.321508,0.673156,0.012451,0.797726,0.547706,-0.089111,0.000337,0.980275,0.327961,0.721849,0.015013,0.781711,0.665891,0.729777,0.009835,0.767413,0.309104,0.69841,0.018686,0.790943,0.692652,0.713691,0.022757,0.87537,0.312203,0.701498,0.020612,0.79216,0.67645,0.709557,0.018837,0.84017,0.420523,0.632494,0.009119,0.808265,0.550456,0.624276,-0.003743,0.90478,0.428597,0.812312,-0.00502,0.808973,0.54444,0.842092,0.005385,1.0,0.420465,0.994445,0.002109,0.750789,0.570924,0.986995,-0.001497,0.774418,0.409003,1.013205,0.024565,0.807845,0.573184,1.028013,0.002501,0.764296,0.432492,1.042666,-0.0123,0.828157,0.558463,1.054569,-0.009347,0.844143,5,synthetic/chest/adult/good_form,synthetic_good_form_00005.mp4,chest,adult,1,good_form,synthetic
0.519511,0.083013,-0.107613,0.769678,0.481902,0.055518,-0.11839,0.780771,0.479256,0.063728,-0.129319,0.793943,0.457499,0.06347,-0.128302,0.812008,0.522406,0.053208,-0.131627,0.751038,0.532806,0.060675,-0.108819,0.765848,0.532615,0.083358,-0.123715,0.825489,0.454481,0.096887,-0.038752,0.794694,0.541018,0.09167,-0.054174,0.767933,0.479854,0.127281,-0.088244,0.836271,0.52886,0.124843,-0.077256,0.781192,0.407322,0.288291,0.001135,0.738682,0.603299,0.285382,-0.024358,0.927833,0.349772,0.493412,-0.011731,0.809992,0.586067,0.090654,-0.020092,0.941731,0.330276,0.682241,-0.001428,0.855233,0.519228,-0.078787,-0.004519,0.939089,0.329897,0.72263,0.024259,0.831306,0.663958,0.713369,0.029813,0.831085,0.3194,0.70193,0.012831,0.804836,0.683093,0.694656,0.028978,0.823746,0.305078,0.705854,0.009951,0.756515,0.67372,0.698542,0.017184,0.837869,0.437636,0.640861,-0.00753,0.808936,0.575249,0.627577,-0.01118,0.918527,0.425803,0.835127,-0.001893,0.831377,0.556866,0.848899,-0.005394,0.982262,0.434253,0.999964,-0.007026,0.822032,0.567112,1.008557,0.00187,0.834945,0.411785,1.01402,0.034285,0.801726,0.589594,1.020252,0.017256,0.770571,0.430201,1.048297,-0.016953,0.785547,0.563124,1.039511,-0.018488,0.828893,6,synthetic/chest/adult/good_form,synthetic_good_form_00006.mp4,chest,adult,1,good_form,synthetic
0.498107,0.063456,-0.08907,0.774322,0.485425,0.065469,-0.124766,0.775803,0.470438,0.064672,-0.12567,0.783122,0.459849,0.057004,-0.11862,0.805517,0.527317,0.049413,-0.129632,0.82577,0.520672,0.048752,-0.112843,0.788683,0.538378,0.075053,-0.118743,0.774796,0.445305,0.1061,-0.044447,0.752048,0.547465,0.103104,-0.041369,0.791282,0.464976,0.113582,-0.080138,0.779381,0.515706,0.133306,-0.074503,0.794368,0.40107,0.269795,0.005378,0.831301,0.579585,0.290449,0.00867,0.923042,0.348368,0.481828,0.020344,0.769352,0.549687,0.086488,-0.002393,0.917179,0.321951,0.702879,-0.006974,0.816151,0.498887,-0.094067,-0.01,0.91256,0.315477,0.704767,0.020315,0.844357,0.681499,0.717059,0.013424,0.8152,0.304699,0.696329,0.020401,0.845544,0.689923,0.687132,0.026264,0.786881,0.32511,0.701278,0.017692,0.728856,0.685022,0.710862,0.02989,0.829652,0.431418,0.634786,-0.006357,0.80799,0.574952,0.623724,-0.01103,0.954729,0.447844,0.81942,0.014271,0.762796,0.567448,0.837817,0.010701,0.960355,0.430591,1.011479,-0.013121,0.763113,0.573319,1.006851,0.006108,0.764434,0.412371,1.031006,0.016683,0.816137,0.588833,1.018064,0.020516,0.748152,0.439132,1.036598,-0.014814,0.750467,0.57107,1.044522,-0.011485,0.835109,7,synthetic/chest/adult/good_form,synthetic_good_form_00007.mp4,chest,adult,1,good_form,synthetic
0.493796,0.066085,-0.09578,0.829143,0.478922,0.051043,-0.130555,0.791035,0.460996,0.056732,-0.12368,0.769907,0.458961,0.066628,-0.120547,0.79581,0.522256,0.053637,-0.116504,0.882704,0.529343,0.075742,-0.124279,0.803221,0.540085,0.066304,-0.135968,0.802443,0.45063,0.099283,-0.053271,0.772672,0.546526,0.095487,-0.046979,0.803317,0.476154,0.11211,-0.085694,0.799955,0.508222,0.121881,-0.077254,0.789547,0.397749,0.26868,-5.5e-05,0.800374,0.629213,0.273624,0.008826,0.933864,0.356798,0.481908,0.006367,0.804605,0.626389,0.080582,0.000518,1.0,0.334384,0.671483,0.000645,0.791616,0.594097,-0.098878,0.007305,0.935215,0.319725,0.723387,0.011461,0.810291,0.683577,0.711604,0.02219,0.802503,0.308174,0.693704,0.012628,0.792813,0.700425,0.712975,0.018726,0.809122,0.313631,0.71108,0.025995,0.828935,0.681115,0.695794,0.01408,0.806818,0.429337,0.615796,0.011443,0.78684,0.573819,0.625517,-0.001153,0.925189,0.429933,0.815005,0.015257,0.847672,0.566246,0.839106,0.01872,0.966128,0.432528,0.987326,0.004439,0.812562,0.57193,0.999641,0.002058,0.845942,0.411986,1.030268,0.020013,0.802509,0.576448,1.0303,0.02022,0.785617,0.411792,1.039886,-0.022072,0.834627,0.570093,1.039001,-0.003948,0.774917,8,synthetic/chest/adult/good_form,synthetic_good_form_00008.mp4,chest,adult,1,good_form,synthetic
0.503251,0.077723,-0.097752,0.745948,0.484341,0.065384,-0.122607,0.766886,0.465825,0.058463,-0.115553,0.805442,0.448199,0.069661,-0.115599,0.756876,0.507078,0.065587,-0.122034,0.783445,0.531539,0.055616,-0.128726,0.792991,0.535231,0.05414,-0.111858,0.740977,0.452885,0.111333,-0.034196,0.780352,0.558744,0.097562,-0.048723,0.852822,0.483745,0.11249,-0.076068,0.779339,0.496459,0.105871,-0.090199,0.762497,0.402889,0.278409,0.004466,0.885919,0.595741,0.278288,0.011187,0.985141,0.353916,0.48596,-0.008283,0.830487,0.571468,0.084206,-0.00873,0.920549,0.321007,0.675388,-0.001048,0.794708,0.411337,0.154797,-0.004074,0.95346,0.319089,0.735338,0.014761,0.821099,0.678547,0.71439,0.026518,0.768,0.295545,0.698881,0.023027,0.806003,0.701795,0.704424,0.028077,0.835801,0.304802,0.709315,0.033688,0.757944,0.688463,0.700287,0.011842,0.842194,0.43728,0.632726,-0.005038,0.779737,0.580457,0.632145,0.001174,0.911388,0.42325,0.8238,-0.000605,0.785327,0.562286,0.848219,0.009176,0.958303,0.416494,1.00022,0.01166,0.857159,0.572172,1.000353,-0.001461,0.767083,0.42949,1.013455,0.027659,0.767374,0.581766,1.02029,0.023057,0.791469,0.42649,1.056104,-0.01209,0.7573,0.579323,1.054084,-0.029362,0.780062,9,synthetic/chest/adult/good_form,synthetic_good_form_00009.mp4,chest,adult,1,good_form,synthetic
