landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.500745,0.097069,-0.095158,0.787364,0.493819,0.061432,-0.114703,0.824629,0.470231,0.068628,-0.127697,0.838046,0.459132,0.069744,-0.117201,0.773381,0.527715,0.055231,-0.126457,0.810874,0.525494,0.052842,-0.101756,0.851062,0.543337,0.07721,-0.126084,0.793317,0.461263,0.093972,-0.031854,0.799859,0.540396,0.101109,-0.05284,0.725923,0.484195,0.119501,-0.080034,0.788382,0.521744,0.106884,-0.069951,0.776192,0.398335,0.276154,0.006181,0.775923,0.602813,0.271531,-0.003747,0.973852,0.357516,0.482408,0.003841,0.80304,0.584228,0.107714,0.007016,0.918239,0.331574,0.668628,0.009578,0.827774,0.52837,-0.041442,-0.002464,0.920041,0.301666,0.743591,0.017306,0.775396,0.667456,0.709249,0.033039,0.812028,0.300116,0.701676,0.013017,0.774253,0.7067,0.701182,0.016381,0.802425,0.332965,0.693539,0.023546,0.759499,0.683836,0.706384,0.012334,0.796229,0.433061,0.614118,0.007689,0.814363,0.566633,0.627826,-0.007305,0.902452,0.416179,0.807709,-0.002295,0.823945,0.67015,0.7788,0.005518,0.915788,0.437566,1.018566,-0.001961,0.828486,0.564969,0.994764,0.003165,0.827567,0.422537,1.030532,0.024402,0.798337,0.588262,1.025119,0.008025,0.801732,0.432078,1.041267,-0.022442,0.832849,0.555518,1.031968,-0.039115,0.794355,0,synthetic/chest/children/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00000.mp4,chest,children,0,bad_form_sagging_hips,synthetic
0.50912,0.074902,-0.100825,0.781456,0.479334,0.06684,-0.112746,0.793454,0.46496,0.060889,-0.118374,0.805959,0.4432,0.065064,-0.108785,0.814898,0.527731,0.052656,-0.126317,0.789545,0.534934,0.070897,-0.120056,0.730483,0.541288,0.057266,-0.134621,0.850995,0.458087,0.09615,-0.058931,0.814061,0.532143,0.101297,-0.041222,0.778658,0.475685,0.116436,-0.07078,0.802991,0.51768,0.10887,-0.079902,0.795499,0.404536,0.283893,-0.008899,0.797002,0.5939,0.295931,0.005292,0.979618,0.350224,0.483363,-0.001347,0.715846,0.578976,0.119432,-0.017559,0.987233,0.330522,0.683294,-0.009155,0.763205,0.454453,0.041948,0.005737,0.922169,0.304863,0.731277,0.032234,0.74312,0.661487,0.717594,0.028868,0.790066,0.296319,0.705679,0.017978,0.786543,0.688205,0.706461,0.023657,0.803579,0.310526,0.68551,0.013955,0.82266,0.686844,0.690468,0.021282,0.84576,0.433562,0.623775,-0.00859,0.862519,0.563045,0.619582,0.011937,0.979631,0.423652,0.829224,-0.008308,0.839627,0.645169,0.789116,0.000471,0.906056,0.433196,1.013437,-0.005421,0.831183,0.56709,0.988284,-0.004839,0.844872,0.414466,1.019736,0.020907,0.828896,0.567728,1.009521,0.025953,0.81168,0.425281,1.037221,-0.021222,0.798809,0.568876,1.052429,-0.022415,0.811581,1,synthetic/chest/children/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00001.mp4,chest,children,0,bad_form_sagging_hips,synthetic
0.511451,0.08945,-0.111756,0.788911,0.490426,0.055323,-0.120035,0.773932,0.456616,0.069871,-0.125001,0.762014,0.461588,0.067619,-0.124774,0.800824,0.537786,0.069259,-0.108071,0.766922,0.529304,0.053441,-0.133391,0.810975,0.543956,0.058892,-0.116215,0.771589,0.45048,0.08758,-0.055277,0.81988,0.547438,0.092257,-0.045892,0.820193,0.467163,0.108279,-0.084994,0.758262,0.509457,0.112115,-0.078299,0.784477,0.41044,0.27553,-6.7e-05,0.810895,0.604795,0.285194,-0.010377,0.915504,0.353495,0.472518,0.001599,0.796848,0.596006,0.115686,-0.001505,0.911469,0.324058,0.691057,-0.001354,0.860979,0.497486,-0.012522,-0.002105,0.905159,0.324555,0.738092,0.028975,0.797845,0.682085,0.731058,0.017802,0.778899,0.302873,0.70015,0.006992,0.836923,0.68466,0.700738,0.019326,0.813916,0.315476,0.701491,0.031218,0.785253,0.683642,0.69893,0.009769,0.779833,0.423691,0.623627,-0.007057,0.763787,0.570689,0.637121,-0.001506,0.933307,0.435376,0.821625,0.00411,0.790151,0.643027,0.80779,0.003907,0.979535,0.435913,0.990164,0.004045,0.842208,0.574887,1.000943,0.000558,0.816642,0.417702,1.014617,0.017451,0.77272,0.575244,1.023761,0.030228,0.785262,0.44279,1.042039,-0.017241,0.781326,0.551117,1.027167,-0.012296,0.812036,2,synthetic/chest/children/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00002.mp4,chest,children,0,bad_form_sagging_hips,synthetic
0.495534,0.08753,-0.101888,0.75129,0.470992,0.068801,-0.125745,0.863263,0.461357,0.067071,-0.115936,0.767295,0.465979,0.066171,-0.112475,0.805916,0.517514,0.062921,-0.125399,0.740285,0.522849,0.072133,-0.123736,0.776091,0.545306,0.077975,-0.105202,0.771028,0.458786,0.107858,-0.062118,0.790496,0.544423,0.096383,-0.045275,0.824932,0.46976,0.112839,-0.072866,0.751666,0.51274,0.13594,-0.092444,0.86615,0.393894,0.276511,0.000946,0.767818,0.608064,0.291791,0.01029,0.946899,0.335126,0.475408,0.002422,0.711155,0.59763,0.127953,0.011793,0.932694,0.325836,0.677148,0.000141,0.803853,0.456771,0.179049,0.013118,0.956232,0.324635,0.717365,0.026198,0.793647,0.683778,0.712988,0.022727,0.819198,0.302106,0.705918,-0.00227,0.810314,0.685185,0.701903,0.018498,0.75774,0.32104,0.704061,0.017819,0.767354,0.680122,0.697147,0.005987,0.83939,0.440677,0.625146,-0.0064,0.742689,0.570281,0.599153,-0.005907,0.930669,0.427717,0.835007,-0.018062,0.722681,0.635793,0.777881,0.003853,0.957118,0.438116,0.999721,-0.004039,0.794297,0.578667,0.998682,-0.011585,0.828582,0.405954,1.016293,0.003568,0.752887,0.59498,1.021967,0.00575,0.83331,0.434422,1.040822,-0.024351,0.742228,0.587449,1.031071,-0.016882,0.827637,3,synthetic/chest/children/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00003.mp4,chest,children,0,bad_form_sagging_hips,synthetic
0.50703,0.085759,-0.096454,0.773539,0.474496,0.050463,-0.123219,0.79747,0.47985,0.042886,-0.125443,0.776643,0.455428,0.063547,-0.108413,0.742832,0.505553,0.044271,-0.132921,0.82312,0.530947,0.060986,-0.119823,0.794223,0.5398,0.062796,-0.112782,0.816365,0.452102,0.09749,-0.046112,0.764647,0.543307,0.098213,-0.048984,0.8007,0.483578,0.11842,-0.081928,0.780135,0.522965,0.109644,-0.060954,0.837618,0.40073,0.284799,-0.001505,0.81121,0.597498,0.290274,-0.006931,0.953467,0.352624,0.483547,-0.00023,0.80872,0.581146,0.120116,0.002164,0.969605,0.333544,0.691276,0.010742,0.831815,0.4766,0.008139,-0.001598,0.943398,0.328588,0.723917,0.018392,0.817086,0.678679,0.720222,0.027676,0.783939,0.30709,0.702651,0.008661,0.799022,0.688985,0.709672,0.027794,0.839279,0.319339,0.698533,0.015778,0.71581,0.686628,0.699965,0.010516,0.801353,0.419932,0.622804,0.001791,0.824697,0.551066,0.62537,0.005032,0.933535,0.427344,0.826514,0.007214,0.79928,0.681801,0.774158,0.009009,0.938792,0.411882,1.007984,0.011628,0.786092,0.559839,0.991361,0.00021,0.868605,0.405,1.004877,0.012744,0.794836,0.573273,1.020073,0.023839,0.82143,0.421416,1.050474,-0.017123,0.771386,0.549733,1.050379,-0.013167,0.788754,4,synthetic/chest/children/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00004.mp4,chest,children,0,bad_form_sagging_hips,synthetic
0.489292,0.093666,-0.100199,0.718671,0.4651,0.061369,-0.112119,0.831344,0.462074,0.062196,-0.124991,0.780884,0.452181,0.079509,-0.121969,0.803335,0.526079,0.067842,-0.11842,0.789677,0.539217,0.052259,-0.125262,0.765182,0.526245,0.06051,-0.133257,0.754637,0.448889,0.096458,-0.049711,0.813134,0.549578,0.099149,-0.05261,0.828277,0.464871,0.122465,-0.081352,0.783124,0.499857,0.101609,-0.07142,0.829147,0.397408,0.285251,0.008674,0.748984,0.609005,0.284165,-0.002008,0.933801,0.35746,0.470111,0.007209,0.781094,0.599781,0.110289,-0.00378,0.905717,0.342864,0.678208,0.007601,0.767201,0.446308,0.09529,0.008932,0.914243,0.297694,0.716792,0.025494,0.849636,0.67771,0.711984,0.020626,0.7565,0.315911,0.702087,0.025524,0.780712,0.684593,0.692051,0.013421,0.779432,0.333736,0.707263,0.019526,0.77639,0.682408,0.702519,0.017694,0.796522,0.42416,0.611646,-0.001802,0.826855,0.569146,0.620301,-0.007816,0.913154,0.417366,0.81256,0.007793,0.827995,0.658679,0.784198,0.005162,0.911929,0.42446,0.998009,0.000686,0.818685,0.563007,1.003594,-0.009576,0.867298,0.404067,1.017955,0.026237,0.788676,0.575371,1.018532,0.034788,0.838979,0.425371,1.043206,-0.010213,0.82901,0.562072,1.044319,-0.033701,0.774896,5,synthetic/chest/children/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00005.mp4,chest,children,0,bad_form_sagging_hips,synthetic
0.510776,0.069021,-0.105725,0.779102,0.470611,0.054705,-0.127056,0.80099,0.453393,0.074094,-0.115214,0.746573,0.462623,0.090163,-0.124,0.819601,0.511822,0.060318,-0.122157,0.83152,0.523561,0.065814,-0.115441,0.779538,0.518713,0.06811,-0.109738,0.840069,0.44267,0.093606,-0.041115,0.800164,0.546272,0.079536,-0.048817,0.785372,0.480052,0.126237,-0.07975,0.81005,0.51393,0.116074,-0.070839,0.828133,0.386424,0.279031,0.002265,0.757874,0.602622,0.262582,0.000756,0.937113,0.346529,0.486541,-0.00516,0.800121,0.58361,0.096334,0.000105,0.955438,0.343181,0.674064,0.003022,0.815546,0.426533,0.089267,0.008878,0.897207,0.305364,0.712516,0.019281,0.819127,0.693827,0.715977,0.025926,0.776046,0.298013,0.704063,0.014714,0.809162,0.698267,0.703579,0.020807,0.741292,0.315841,0.701275,0.009409,0.79541,0.679458,0.703535,0.01238,0.813246,0.424233,0.621373,0.0047,0.807649,0.579105,0.616322,0.002308,0.912088,0.412056,0.827066,-0.001416,0.780211,0.644491,0.794587,-0.004667,0.928791,0.435427,0.996619,-0.01411,0.803296,0.586856,0.989632,0.000918,0.811905,0.413735,1.014261,0.017631,0.853415,0.575785,1.013814,0.025124,0.850051,0.420498,1.041892,-0.029777,0.796068,0.571108,1.035289,-0.027223,0.790105,6,synthetic/chest/children/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00006.mp4,chest,children,0,bad_form_sagging_hips,synthetic
0.496471,0.074983,-0.094789,0.861173,0.47808,0.056775,-0.114334,0.811307,0.460824,0.06278,-0.133221,0.810131,0.463261,0.072292,-0.10667,0.835587,0.526613,0.076322,-0.102738,0.860957,0.525675,0.061623,-0.133406,0.824622,0.551677,0.068316,-0.106966,0.836129,0.428858,0.095842,-0.042221,0.858584,0.548685,0.080107,-0.06365,0.777959,0.475652,0.096347,-0.099717,0.843464,0.523935,0.117386,-0.075182,0.816871,0.408121,0.278058,0.001995,0.814565,0.603391,0.294134,-0.014129,0.964635,0.342233,0.471239,0.001726,0.800594,0.590992,0.127574,-0.005371,0.969233,0.329617,0.687411,0.002603,0.789679,0.4448,0.069312,-0.005277,0.950992,0.317423,0.727465,0.019542,0.79534,0.683309,0.720214,0.016179,0.81834,0.312388,0.695243,0.032101,0.783694,0.700264,0.698553,0.019044,0.743559,0.326511,0.708614,0.019134,0.817311,0.687219,0.706196,0.018144,0.807892,0.441717,0.614185,-0.010523,0.801975,0.570453,0.613235,0.001675,0.873873,0.430424,0.814959,0.012742,0.777571,0.626859,0.78476,0.010409,0.916047,0.439334,1.002337,0.010144,0.809381,0.565503,1.004091,0.000774,0.794622,0.415928,1.028743,0.012113,0.787162,0.59394,1.017536,0.011058,0.81139,0.415786,1.049696,-0.026567,0.80638,0.561344,1.043,-0.016037,0.853488,7,synthetic/chest/children/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00007.mp4,chest,children,0,bad_form_sagging_hips,synthetic
0.500652,0.087999,-0.106152,0.798395,0.478443,0.074184,-0.139056,0.871046,0.459724,0.071333,-0.1054,0.844049,0.461474,0.06473,-0.113451,0.81032,0.518142,0.049458,-0.129997,0.777993,0.544053,0.060304,-0.113136,0.785537,0.55157,0.067441,-0.109558,0.742606,0.463517,0.102587,-0.051449,0.833298,0.528706,0.109709,-0.045116,0.726963,0.4743,0.115231,-0.081038,0.78348,0.513027,0.119052,-0.091381,0.775135,0.401872,0.282533,-0.0005,0.813515,0.58972,0.276015,-0.001747,0.974633,0.33554,0.476209,0.007441,0.7887,0.574773,0.118292,0.005268,1.0,0.325235,0.661971,-0.023213,0.766778,0.429,0.093588,-0.000424,0.936465,0.319782,0.716872,0.022621,0.797981,0.678071,0.721434,0.018231,0.774212,0.31039,0.702257,0.026305,0.817839,0.699948,0.701486,0.019674,0.831352,0.321422,0.719634,0.014865,0.797339,0.672591,0.718105,0.026873,0.797336,0.438962,0.614662,-0.001882,0.768725,0.569508,0.614848,0.006465,0.976489,0.417123,0.818345,-0.002641,0.804123,0.652844,0.786046,0.012903,0.954748,0.424324,1.0051,0.003232,0.816408,0.569027,0.988596,0.009484,0.757622,0.410297,1.011487,0.021036,0.805786,0.584459,1.018274,0.026902,0.814927,0.424204,1.046986,-0.018927,0.826147,0.560385,1.036142,-0.014108,0.812242,8,synthetic/chest/children/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00008.mp4,chest,children,0,bad_form_sagging_hips,synthetic
0.493084,0.09386,-0.112787,0.832318,0.487891,0.070028,-0.109844,0.720047,0.467717,0.058909,-0.114702,0.80101,0.453476,0.072597,-0.11625,0.813632,0.530891,0.056737,-0.130586,0.831048,0.536992,0.060877,-0.13049,0.773259,0.554427,0.077283,-0.127665,0.811578,0.436282,0.092783,-0.053556,0.785363,0.550162,0.112327,-0.0401,0.881573,0.501042,0.125196,-0.088581,0.826449,0.517298,0.110341,-0.087192,0.759106,0.395816,0.27596,0.022104,0.773788,0.612895,0.29547,-0.01679,0.952901,0.343617,0.47603,-0.002865,0.794466,0.609643,0.120757,0.007079,0.967595,0.333503,0.688399,-0.000884,0.773375,0.481812,0.029547,-0.003898,0.935315,0.324395,0.719999,0.02652,0.816872,0.676366,0.712806,0.028079,0.806272,0.31135,0.716519,0.022148,0.829216,0.692169,0.698874,0.013122,0.766629,0.322867,0.70354,0.031959,0.790013,0.669628,0.695164,0.014215,0.78813,0.446082,0.62198,-0.016506,0.782024,0.568958,0.619499,-0.006231,1.0,0.429464,0.817178,-0.006355,0.840589,0.618712,0.793819,0.001009,0.964704,0.445771,0.996732,-0.014102,0.817442,0.571167,1.005121,0.00904,0.826127,0.413877,1.025601,0.015801,0.81475,0.571635,1.017212,0.018147,0.742995,0.435552,1.03683,-0.009255,0.864646,0.574118,1.05025,-0.01951,0.811492,9,synthetic/chest/children/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00009.mp4,chest,children,0,bad_form_sagging_hips,synthetic
