landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.503084,0.091424,-0.095228,0.792232,0.479831,0.061766,-0.115021,0.807093,0.466389,0.055793,-0.128049,0.812848,0.465604,0.071727,-0.11954,0.840203,0.522235,0.049431,-0.11548,0.736924,0.521655,0.066698,-0.10472,0.822354,0.539284,0.070933,-0.120275,0.792642,0.439421,0.109905,-0.03776,0.787613,0.547762,0.105991,-0.055417,0.785454,0.476231,0.125707,-0.074302,0.805608,0.528403,0.115682,-0.08538,0.76664,0.403828,0.28281,-0.012463,0.801612,0.583856,0.270753,-0.002165,0.983097,0.349572,0.479504,0.01755,0.764526,0.554168,0.095857,0.003949,0.943596,0.333876,0.661716,-0.005758,0.806345,0.494953,-0.044987,0.000695,0.986736,0.319279,0.720346,0.015275,0.805902,0.666637,0.718703,0.019116,0.781066,0.308686,0.707114,0.029266,0.839591,0.694789,0.705294,0.035528,0.788615,0.31608,0.711098,0.028793,0.762459,0.670497,0.70414,0.019521,0.791488,0.444243,0.623794,-0.002427,0.808409,0.571883,0.620192,0.009694,0.924358,0.435292,0.837652,-0.009984,0.798817,0.583974,0.803651,-0.001422,0.972923,0.416345,1.007427,0.001984,0.828064,0.566121,0.99163,0.004885,0.814315,0.423779,1.028795,0.03297,0.793948,0.576201,1.006216,0.027864,0.830238,0.434291,1.05729,-0.017007,0.771787,0.566958,1.037612,-0.019622,0.841344,0,synthetic/chest/children/good_form,synthetic_good_form_00000.mp4,chest,children,1,good_form,synthetic
0.501285,0.081451,-0.093146,0.753887,0.4712,0.056159,-0.130535,0.774928,0.476585,0.054321,-0.128754,0.790901,0.463949,0.076183,-0.127053,0.772409,0.515941,0.060678,-0.119581,0.802756,0.533811,0.059036,-0.117311,0.832605,0.542677,0.065692,-0.123228,0.82645,0.44542,0.088802,-0.058809,0.800816,0.549515,0.096128,-0.063404,0.843114,0.499553,0.11863,-0.074258,0.824576,0.510641,0.119274,-0.076047,0.774681,0.406243,0.282097,-0.000627,0.766593,0.59548,0.284961,-0.019414,0.877946,0.351907,0.472778,-0.001132,0.797129,0.581958,0.10791,-0.009232,0.993716,0.338054,0.674742,-0.008735,0.853158,0.469209,0.018405,0.008765,0.953353,0.314326,0.722599,0.014564,0.750872,0.680699,0.726119,0.021362,0.824372,0.312738,0.704495,0.02407,0.84462,0.683248,0.709393,0.0135,0.799273,0.319136,0.689842,0.038994,0.81756,0.681463,0.701544,0.022295,0.82477,0.45009,0.630933,0.006241,0.79742,0.560356,0.610392,0.003252,1.0,0.431949,0.820433,0.004014,0.769593,0.547283,0.79353,0.006395,0.938336,0.435628,0.988495,0.017164,0.815465,0.572642,0.992848,0.008592,0.758869,0.416109,1.021534,0.018679,0.766781,0.590082,1.031595,0.029496,0.84146,0.422207,1.034508,-0.03604,0.743698,0.567956,1.049654,-0.018655,0.828789,1,synthetic/chest/children/good_form,synthetic_good_form_00001.mp4,chest,children,1,good_form,synthetic
0.481886,0.069981,-0.106879,0.892398,0.48178,0.060539,-0.119613,0.742032,0.45482,0.051355,-0.114599,0.781227,0.457307,0.072688,-0.114424,0.820215,0.528765,0.057379,-0.112223,0.813429,0.530253,0.063087,-0.12821,0.758495,0.550428,0.086063,-0.107451,0.828462,0.452806,0.096578,-0.051697,0.85429,0.540205,0.092285,-0.037475,0.787932,0.474248,0.127388,-0.093829,0.767147,0.52353,0.118392,-0.060434,0.772907,0.40096,0.279376,-0.005646,0.810419,0.573089,0.313931,0.00738,0.990984,0.330889,0.478265,-0.007175,0.840331,0.556314,0.150503,-0.00524,0.996319,0.320003,0.676846,-0.020012,0.789762,0.421678,0.057592,0.006042,0.942268,0.321991,0.735488,0.02087,0.832462,0.688197,0.727186,0.047907,0.80356,0.294265,0.686786,0.014624,0.811202,0.688668,0.714211,0.017911,0.802305,0.321444,0.709189,0.013122,0.77929,0.680219,0.697747,0.007462,0.848755,0.429944,0.617236,5.6e-05,0.795171,0.569124,0.604421,-0.002851,0.93534,0.42968,0.821073,0.010168,0.781252,0.596629,0.801856,0.011808,0.899286,0.434717,1.002743,0.006981,0.821902,0.587103,0.995805,-0.001518,0.798512,0.415785,1.02806,0.012276,0.722088,0.586244,1.008893,0.022077,0.824692,0.41937,1.030514,-0.017373,0.748267,0.566262,1.047603,-0.016567,0.817077,2,synthetic/chest/children/good_form,synthetic_good_form_00002.mp4,chest,children,1,good_form,synthetic
0.487704,0.070286,-0.093961,0.780744,0.48796,0.061252,-0.125976,0.851254,0.468542,0.066961,-0.12707,0.83707,0.46613,0.079333,-0.123242,0.799785,0.525265,0.073192,-0.129778,0.791205,0.530465,0.059998,-0.11818,0.794419,0.539241,0.076786,-0.112678,0.857885,0.446147,0.090798,-0.053035,0.795979,0.560251,0.093921,-0.045207,0.805312,0.483781,0.133618,-0.077993,0.798695,0.511302,0.126132,-0.083074,0.762144,0.407751,0.279464,0.001861,0.791064,0.611364,0.267172,0.000791,0.968126,0.33773,0.48465,-0.006223,0.787355,0.590123,0.101449,-0.005056,0.950708,0.33051,0.690222,0.009157,0.754685,0.549601,-0.048381,0.004005,0.957832,0.334525,0.722208,0.028386,0.854017,0.682043,0.725425,0.017425,0.815265,0.324975,0.70241,0.009988,0.757499,0.67365,0.697173,0.029231,0.768201,0.322596,0.690706,0.021766,0.806999,0.670919,0.689492,0.009939,0.811563,0.435904,0.607254,-0.00866,0.796751,0.563993,0.61049,-0.005936,1.0,0.429983,0.819315,-0.003921,0.83245,0.538311,0.801911,-0.004472,0.953502,0.427249,1.007961,0.024241,0.797782,0.565135,1.005695,0.005648,0.775284,0.403877,1.011025,0.039696,0.763162,0.561266,1.005113,0.029231,0.820822,0.416856,1.029503,-0.025066,0.758568,0.580278,1.038133,-0.020193,0.822296,3,synthetic/chest/children/good_form,synthetic_good_form_00003.mp4,chest,children,1,good_form,synthetic
0.507086,0.075703,-0.105102,0.825779,0.480865,0.068219,-0.120812,0.810058,0.474475,0.075236,-0.12612,0.762709,0.471324,0.066299,-0.121039,0.783797,0.51806,0.058982,-0.122604,0.813562,0.527823,0.044843,-0.11214,0.825016,0.54024,0.073027,-0.123295,0.78501,0.452039,0.102166,-0.063954,0.886014,0.542219,0.10539,-0.054492,0.767723,0.484883,0.130923,-0.098178,0.758215,0.530422,0.132646,-0.096554,0.829176,0.389577,0.277715,-0.002169,0.833582,0.59913,0.274499,-0.002539,0.956655,0.361939,0.499008,-0.001818,0.845738,0.585431,0.100321,-0.017494,0.881956,0.328182,0.675528,0.010599,0.818916,0.431359,0.131485,0.011839,0.953135,0.319788,0.724413,0.020468,0.800866,0.665368,0.712462,0.013247,0.829221,0.305606,0.696362,0.023833,0.721493,0.68336,0.704656,0.005033,0.850796,0.310583,0.705945,0.012825,0.842442,0.667457,0.69639,0.019032,0.802408,0.42606,0.617489,-0.000274,0.838196,0.585591,0.612639,-0.001889,0.954791,0.435149,0.821908,0.005348,0.786354,0.577281,0.798945,0.002027,0.9118,0.421126,1.012853,-0.001893,0.792859,0.555202,0.992857,-0.011452,0.834374,0.418053,1.028156,0.008138,0.830842,0.600206,1.037909,0.009194,0.81536,0.434582,1.048482,-0.028173,0.864068,0.570618,1.047486,-0.011675,0.782805,4,synthetic/chest/children/good_form,synthetic_good_form_00004.mp4,chest,children,1,good_form,synthetic
0.506698,0.084745,-0.098217,0.797787,0.474322,0.063375,-0.110771,0.825168,0.463461,0.058011,-0.10947,0.822788,0.464759,0.068233,-0.124197,0.80391,0.507079,0.063185,-0.117464,0.822125,0.50912,0.061902,-0.136646,0.840224,0.542383,0.062403,-0.12594,0.766399,0.45494,0.097781,-0.045071,0.78382,0.562701,0.109307,-0.052657,0.832223,0.479636,0.125125,-0.062677,0.827069,0.507119,0.115506,-0.089036,0.812313,0.400776,0.287601,0.008554,0.752334,0.595443,0.296612,0.001643,0.945667,0.349024,0.481362,0.008335,0.807561,0.579982,0.126194,-0.004313,0.928357,0.333788,0.687852,0.004977,0.793224,0.517181,-0.016358,0.008998,0.959108,0.319076,0.728,0.022407,0.823644,0.686123,0.730618,0.024788,0.811424,0.303433,0.68298,0.033232,0.831572,0.68775,0.693839,0.015025,0.781627,0.32688,0.695276,0.011413,0.834339,0.682341,0.700411,0.006163,0.795129,0.435887,0.62097,-0.000917,0.817566,0.569343,0.616132,0.000491,0.953377,0.421248,0.815372,0.014349,0.759438,0.576312,0.804897,-0.003113,0.980721,0.441346,0.988576,0.001092,0.757462,0.575259,1.010037,-0.010951,0.735301,0.423028,1.031824,0.017823,0.833972,0.56603,1.011081,0.029527,0.827272,0.422269,1.026107,-0.022282,0.749528,0.577986,1.033566,-0.016262,0.759787,5,synthetic/chest/children/good_form,synthetic_good_form_00005.mp4,chest,children,1,good_form,synthetic
0.490049,0.066963,-0.108382,0.790695,0.47104,0.065386,-0.110527,0.800253,0.460569,0.058552,-0.107393,0.814985,0.449894,0.070911,-0.11314,0.816781,0.530985,0.059201,-0.122792,0.822156,0.534586,0.064681,-0.117081,0.761747,0.54368,0.066098,-0.127999,0.733887,0.443604,0.090091,-0.052558,0.805493,0.538808,0.095544,-0.063875,0.797705,0.481139,0.129927,-0.062784,0.80892,0.515769,0.107395,-0.080353,0.788065,0.398864,0.278628,-0.000897,0.832694,0.621632,0.273003,0.010444,0.98547,0.333385,0.478082,0.004336,0.771183,0.614916,0.122293,0.012062,0.9691,0.321294,0.68629,0.019606,0.845169,0.507039,-0.000315,-0.001365,0.97535,0.32167,0.720049,0.014495,0.815273,0.672791,0.731989,0.020812,0.822095,0.312554,0.702359,0.015605,0.842826,0.696476,0.69331,0.023366,0.787877,0.311106,0.701584,0.011269,0.821729,0.684512,0.707656,0.021821,0.772115,0.431139,0.625447,-0.005561,0.828478,0.578121,0.622409,-0.006189,0.93748,0.431432,0.821612,0.001692,0.827616,0.596053,0.807574,0.000192,0.977632,0.422611,0.996269,0.008025,0.838064,0.568567,1.000766,0.011789,0.872467,0.426917,1.026225,0.010179,0.818468,0.573496,1.044185,0.020372,0.741138,0.440303,1.051233,-0.018898,0.781802,0.561616,1.028788,-0.016463,0.821665,6,synthetic/chest/children/good_form,synthetic_good_form_00006.mp4,chest,children,1,good_form,synthetic
0.485316,0.09454,-0.121319,0.837689,0.47834,0.052267,-0.132407,0.7563,0.480591,0.055467,-0.109238,0.791965,0.471785,0.072868,-0.115906,0.813316,0.536027,0.067621,-0.125028,0.754355,0.528872,0.05621,-0.114647,0.803232,0.544639,0.083131,-0.131677,0.828023,0.448571,0.108109,-0.0574,0.828955,0.545797,0.095403,-0.058248,0.789804,0.464898,0.10567,-0.07465,0.757064,0.521695,0.124809,-0.084215,0.830016,0.381011,0.285671,-0.009651,0.80354,0.591417,0.287092,-0.001408,0.926469,0.344424,0.470261,0.00011,0.789946,0.560562,0.118681,-0.002231,0.912816,0.327322,0.671842,-2e-06,0.802809,0.415504,0.086393,-0.004593,0.955942,0.330019,0.714978,0.016506,0.796163,0.691412,0.70793,0.012821,0.852775,0.306941,0.688392,0.016265,0.785292,0.698621,0.701303,0.000785,0.836869,0.323872,0.708744,0.029165,0.800034,0.674327,0.71992,0.016043,0.815057,0.421159,0.617616,0.004449,0.78199,0.577002,0.632484,0.00847,0.937133,0.438566,0.826707,-0.004542,0.774153,0.590996,0.816494,0.004264,0.947146,0.422092,1.006686,0.020164,0.78123,0.570855,1.002664,-0.008427,0.82428,0.419058,1.019568,0.027945,0.849374,0.584638,1.033426,0.017269,0.918229,0.417689,1.050931,-0.030141,0.761329,0.567249,1.054736,-0.02264,0.831886,7,synthetic/chest/children/good_form,synthetic_good_form_00007.mp4,chest,children,1,good_form,synthetic
0.483192,0.080581,-0.094665,0.791431,0.484351,0.062452,-0.122828,0.769794,0.478426,0.060268,-0.120547,0.813687,0.457826,0.08965,-0.089813,0.768833,0.531018,0.058858,-0.119476,0.792212,0.523227,0.064605,-0.115351,0.796594,0.53898,0.070792,-0.117309,0.796232,0.445009,0.104346,-0.051883,0.783723,0.545548,0.096052,-0.052788,0.806067,0.471442,0.134727,-0.075826,0.809494,0.540278,0.122893,-0.100845,0.830914,0.402463,0.293293,0.003396,0.852325,0.597299,0.261788,0.013855,0.961922,0.353965,0.487666,-0.001566,0.781311,0.579184,0.08747,0.004123,0.949524,0.33521,0.675481,-0.009105,0.813405,0.444449,0.162532,0.002585,0.958248,0.329255,0.70762,0.033187,0.780458,0.684632,0.722962,0.017092,0.887892,0.315506,0.712755,0.008458,0.784378,0.688996,0.696887,0.013727,0.84999,0.320101,0.703699,0.013764,0.769937,0.685427,0.698101,0.020512,0.789785,0.429073,0.62958,-0.012072,0.816329,0.570004,0.622914,-0.008138,0.957774,0.424638,0.800398,-0.00924,0.812546,0.561109,0.80563,-0.003729,0.96955,0.419232,1.002693,0.005366,0.740224,0.575948,0.996857,-0.000709,0.779079,0.432348,1.007791,0.017101,0.821684,0.592254,1.023393,0.018588,0.75977,0.418597,1.044498,-0.029615,0.838259,0.57464,1.022491,-0.02517,0.786607,8,synthetic/chest/children/good_form,synthetic_good_form_00008.mp4,chest,children,1,good_form,synthetic
0.494874,0.074577,-0.111901,0.78139,0.470929,0.055033,-0.12601,0.775888,0.461309,0.070415,-0.113956,0.848941,0.469533,0.078783,-0.132188,0.801531,0.515842,0.051426,-0.113371,0.791544,0.522991,0.059606,-0.119372,0.822985,0.547757,0.060215,-0.121869,0.764486,0.449097,0.089557,-0.04914,0.805358,0.544939,0.11406,-0.059266,0.839189,0.476764,0.120564,-0.082571,0.806682,0.516673,0.123372,-0.076772,0.780471,0.413023,0.276149,0.003478,0.776852,0.613965,0.265185,-0.011149,0.95629,0.339014,0.499443,0.002461,0.74738,0.594143,0.097216,0.005539,0.852908,0.341067,0.671166,0.002195,0.795216,0.467209,0.157753,0.004626,0.936807,0.327873,0.715488,0.022493,0.755555,0.673386,0.717821,0.023491,0.738903,0.306677,0.706149,0.024687,0.847369,0.695878,0.702874,0.023742,0.826841,0.307978,0.69444,0.027399,0.803178,0.694457,0.702415,0.013522,0.803065,0.424401,0.623796,-0.003147,0.764831,0.576279,0.625918,-0.008892,0.970565,0.433607,0.819309,-0.009598,0.797941,0.60199,0.809791,-0.001288,0.955353,0.42158,0.994881,-0.012159,0.816785,0.56532,1.009377,-0.014075,0.806654,0.397585,1.01016,0.034821,0.772377,0.573146,1.015376,0.000953,0.79421,0.435897,1.040127,-0.010806,0.813247,0.570453,1.024514,-0.030393,0.807348,9,synthetic/chest/children/good_form,synthetic_good_form_00009.mp4,chest,children,1,good_form,synthetic
