landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.493753,0.094693,-0.102316,0.82415,0.480115,0.049759,-0.131229,0.789771,0.466633,0.067291,-0.119392,0.782396,0.444601,0.062166,-0.131574,0.794501,0.514536,0.068579,-0.112485,0.798029,0.525478,0.057875,-0.13439,0.793878,0.537014,0.070693,-0.12263,0.764436,0.453114,0.097737,-0.048588,0.75198,0.546421,0.10281,-0.055972,0.768487,0.474735,0.127039,-0.083798,0.787866,0.524823,0.12783,-0.073635,0.797108,0.397271,0.276802,-0.006244,0.791743,0.60793,0.271726,-0.01152,0.924472,0.363926,0.482776,0.001218,0.787424,0.596913,0.083725,0.003276,0.951001,0.325441,0.693085,0.00279,0.82054,0.452297,-0.013099,-0.011553,1.0,0.317797,0.722093,0.022935,0.754273,0.689964,0.717123,0.016383,0.803534,0.295682,0.695464,0.00778,0.755846,0.696986,0.711237,0.014875,0.810849,0.320823,0.702823,0.007694,0.811125,0.674127,0.697114,0.022926,0.862988,0.423302,0.621496,-0.005222,0.813948,0.577413,0.617722,0.013547,0.959837,0.429861,0.824407,-0.004112,0.748211,0.718961,0.778616,-0.006625,0.974251,0.430672,0.998735,0.00754,0.77406,0.56422,0.984942,0.004177,0.759912,0.423499,1.021665,0.009668,0.820592,0.581421,1.023867,0.032158,0.833432,0.412308,1.030595,-0.027449,0.793088,0.560912,1.039302,-0.022451,0.792715,0,synthetic/chest/senior/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00000.mp4,chest,senior,0,bad_form_sagging_hips,synthetic
0.511876,0.09159,-0.098317,0.755031,0.472486,0.065499,-0.112378,0.803525,0.472455,0.064498,-0.11793,0.81994,0.458464,0.070185,-0.11495,0.738251,0.542371,0.0621,-0.121299,0.818957,0.537445,0.063509,-0.123086,0.819368,0.531434,0.067721,-0.115932,0.832738,0.460513,0.111325,-0.060535,0.792752,0.553043,0.099034,-0.045817,0.73724,0.480686,0.107117,-0.081868,0.824913,0.512779,0.118551,-0.075169,0.795387,0.397939,0.281209,0.017156,0.800036,0.608267,0.28526,-0.007411,0.953034,0.35517,0.475442,0.004617,0.808204,0.601582,0.08171,0.018763,0.861458,0.331883,0.673937,-0.009131,0.783562,0.428271,0.105403,0.006103,0.983296,0.317969,0.715037,0.006192,0.768146,0.680179,0.711344,0.026973,0.774619,0.307278,0.71179,0.016581,0.78418,0.695591,0.694131,0.029071,0.771283,0.332326,0.706156,0.010171,0.788659,0.67542,0.705846,0.008284,0.76899,0.426792,0.635666,-0.005492,0.823868,0.575557,0.618624,-0.015256,0.95149,0.417729,0.820317,-0.002879,0.777185,0.67089,0.810195,0.010022,0.950739,0.448189,0.992834,0.005194,0.803066,0.56894,1.004245,-0.014439,0.819262,0.419145,1.014209,0.021883,0.834582,0.590152,1.006005,0.021959,0.856196,0.425744,1.033203,-0.010318,0.80699,0.574744,1.030774,-0.025857,0.839048,1,synthetic/chest/senior/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00001.mp4,chest,senior,0,bad_form_sagging_hips,synthetic
0.491141,0.093004,-0.097477,0.80392,0.478796,0.059548,-0.130597,0.812764,0.476952,0.069402,-0.121168,0.839617,0.44366,0.068525,-0.120938,0.772607,0.509996,0.060851,-0.12768,0.821813,0.531854,0.067473,-0.116755,0.785081,0.538811,0.066747,-0.117182,0.821208,0.453491,0.092664,-0.047173,0.788634,0.5521,0.105728,-0.045549,0.862487,0.475409,0.123668,-0.056853,0.836909,0.519999,0.122664,-0.07805,0.810906,0.383992,0.270382,0.005072,0.811219,0.589386,0.24702,-0.017314,0.97212,0.347679,0.478059,-0.00315,0.814982,0.552892,0.064267,0.008107,0.986264,0.327778,0.688697,0.005432,0.774636,0.467744,-0.07625,-0.001198,0.909408,0.316535,0.725117,0.015972,0.757888,0.680808,0.737563,0.014554,0.779431,0.309769,0.702858,0.016108,0.783724,0.688385,0.700215,0.012181,0.80328,0.321522,0.708973,0.023881,0.81312,0.676642,0.696349,0.018337,0.754314,0.426174,0.623035,0.006215,0.893734,0.575603,0.616878,-0.002228,0.941321,0.433434,0.832132,-0.007385,0.819658,0.646454,0.805892,-0.006306,0.908626,0.432766,1.007466,-0.015001,0.816136,0.55796,1.007026,-0.002783,0.839707,0.412934,1.015209,0.009471,0.831739,0.568461,1.005433,0.012418,0.745796,0.42765,1.02885,-0.009396,0.799895,0.55602,1.033781,-0.032159,0.782943,2,synthetic/chest/senior/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00002.mp4,chest,senior,0,bad_form_sagging_hips,synthetic
0.498866,0.064077,-0.10988,0.816631,0.482033,0.063506,-0.112378,0.783192,0.460206,0.075665,-0.118506,0.746459,0.462553,0.067069,-0.113643,0.793043,0.514541,0.041762,-0.117637,0.799046,0.529631,0.068204,-0.122885,0.784175,0.527516,0.059171,-0.113224,0.829718,0.451244,0.104755,-0.045944,0.81377,0.564025,0.096381,-0.055623,0.832152,0.474074,0.135387,-0.089953,0.750351,0.515188,0.12939,-0.080583,0.779867,0.401582,0.284835,-0.004878,0.736792,0.604933,0.292503,0.00255,0.970781,0.348416,0.473615,0.005612,0.803444,0.574417,0.112431,-0.001367,0.962409,0.340228,0.6829,0.008242,0.8299,0.41153,0.123498,-0.00379,0.976553,0.318085,0.722806,0.027696,0.816336,0.672373,0.723189,0.019677,0.894816,0.318058,0.688646,0.025122,0.787403,0.680619,0.70655,0.022967,0.803704,0.317101,0.696707,0.033752,0.752162,0.701358,0.696152,0.006526,0.78854,0.436441,0.609845,0.004334,0.763517,0.581934,0.612263,-0.012881,0.974041,0.438197,0.834739,-0.021035,0.813245,0.700702,0.780586,-0.009328,0.897319,0.42802,1.015534,0.004169,0.805466,0.577357,1.003566,-0.005079,0.798027,0.406071,1.041964,0.031578,0.821149,0.576267,1.015694,0.023009,0.817036,0.435879,1.051439,-0.02799,0.791715,0.56145,1.02542,-0.03238,0.756818,3,synthetic/chest/senior/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00003.mp4,chest,senior,0,bad_form_sagging_hips,synthetic
0.507635,0.067426,-0.106119,0.832995,0.465587,0.054946,-0.134116,0.838213,0.470424,0.070437,-0.133331,0.796549,0.452365,0.066364,-0.12062,0.780506,0.513268,0.06588,-0.109183,0.821514,0.527521,0.071133,-0.118995,0.796629,0.550258,0.083479,-0.124015,0.779382,0.447503,0.112052,-0.05323,0.77919,0.554878,0.102281,-0.050559,0.734649,0.487958,0.10833,-0.07085,0.781717,0.523091,0.11881,-0.081551,0.762908,0.400354,0.272567,0.000375,0.818308,0.601628,0.276066,-0.001917,0.931095,0.3528,0.480305,-0.006539,0.822464,0.598794,0.094296,-0.008187,0.941265,0.33574,0.662241,-0.003846,0.836097,0.433348,0.036642,-0.006426,0.956435,0.322251,0.709588,0.022087,0.781406,0.693135,0.714777,0.01508,0.819501,0.305973,0.690316,0.026863,0.738708,0.676513,0.684179,0.009981,0.860947,0.333131,0.698592,0.014518,0.823432,0.672002,0.706957,-0.009088,0.829947,0.444963,0.630993,-0.005102,0.832413,0.567963,0.628277,-0.009078,0.884162,0.438721,0.828058,-0.008174,0.800891,0.672997,0.799631,0.001439,0.947128,0.423923,0.998733,0.005058,0.765831,0.564045,1.00401,-0.023217,0.836619,0.420756,1.006629,0.021497,0.785887,0.579399,1.008516,0.008543,0.775647,0.457367,1.040642,-0.019537,0.826046,0.581877,1.032922,-0.035868,0.822388,4,synthetic/chest/senior/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00004.mp4,chest,senior,0,bad_form_sagging_hips,synthetic
0.500983,0.080907,-0.099432,0.792133,0.47546,0.051313,-0.123652,0.824463,0.465565,0.066054,-0.118559,0.821933,0.460787,0.08089,-0.13519,0.787821,0.519691,0.062587,-0.106629,0.829977,0.537276,0.062716,-0.115151,0.798133,0.547666,0.065596,-0.11171,0.824118,0.454287,0.086046,-0.050769,0.782066,0.543224,0.109368,-0.059147,0.80344,0.479572,0.11247,-0.081101,0.793074,0.505053,0.119103,-0.070495,0.768371,0.403173,0.282837,-0.002483,0.76133,0.597291,0.287889,0.005065,0.937125,0.360628,0.474104,0.010708,0.85713,0.588212,0.090327,-0.000895,0.89175,0.333372,0.674462,6.2e-05,0.824587,0.484978,-0.052199,-0.004146,0.950411,0.312451,0.719534,0.026185,0.818051,0.686126,0.724569,0.013659,0.827964,0.307207,0.695921,0.009741,0.858199,0.688802,0.708444,0.027185,0.812813,0.322248,0.704445,0.012336,0.800182,0.674218,0.70182,0.019284,0.80457,0.421758,0.622603,0.009905,0.852922,0.565663,0.619991,0.00081,0.974112,0.431179,0.830161,-0.00546,0.833748,0.69367,0.775,-0.005563,0.946752,0.42875,0.998862,-0.002207,0.785586,0.570972,1.006893,-0.015797,0.829994,0.415947,1.029791,0.00971,0.813472,0.573372,1.016447,0.027459,0.816754,0.42167,1.01664,-0.020485,0.855003,0.573032,1.048804,-0.031922,0.837937,5,synthetic/chest/senior/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00005.mp4,chest,senior,0,bad_form_sagging_hips,synthetic
0.501263,0.083752,-0.088846,0.797714,0.479049,0.076773,-0.128381,0.809954,0.467507,0.061268,-0.113595,0.801909,0.456641,0.062859,-0.1312,0.771856,0.516866,0.063982,-0.116891,0.803295,0.525415,0.062776,-0.11844,0.741643,0.545216,0.076063,-0.115918,0.805315,0.449324,0.09986,-0.062002,0.785963,0.536729,0.111474,-0.059475,0.779903,0.483374,0.121957,-0.082437,0.853836,0.510759,0.112939,-0.085264,0.808298,0.399537,0.265015,0.000972,0.81274,0.602236,0.249721,8.9e-05,0.978113,0.352981,0.493231,0.003946,0.857775,0.586232,0.063693,0.00353,0.965931,0.338456,0.710097,-0.010784,0.861769,0.450449,-0.045023,0.007656,0.917437,0.320903,0.712061,0.01608,0.834037,0.69073,0.722432,0.019237,0.781535,0.32113,0.700937,0.015356,0.779865,0.706658,0.696594,0.024447,0.824441,0.318872,0.703454,0.003855,0.796692,0.680754,0.701693,0.006598,0.845847,0.428425,0.616071,-0.012876,0.791524,0.57293,0.621334,0.000584,0.974661,0.437018,0.831751,-0.005345,0.784641,0.606089,0.823629,0.003431,0.890757,0.428782,0.995582,-0.004535,0.7944,0.544528,1.001028,0.000708,0.78531,0.421135,1.01054,0.019802,0.814606,0.583033,1.030143,0.02005,0.821685,0.42621,1.036105,-0.014304,0.797223,0.574063,1.049909,-0.022486,0.797579,6,synthetic/chest/senior/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00006.mp4,chest,senior,0,bad_form_sagging_hips,synthetic
0.491687,0.082058,-0.099479,0.813427,0.477998,0.051628,-0.114063,0.771265,0.488686,0.064153,-0.107815,0.802417,0.456158,0.0717,-0.112943,0.797794,0.502323,0.074922,-0.122734,0.777543,0.515624,0.050427,-0.121914,0.785969,0.547161,0.052339,-0.138829,0.746507,0.444162,0.091018,-0.053391,0.852908,0.530086,0.096247,-0.07088,0.772394,0.487409,0.133009,-0.081554,0.826478,0.512412,0.113305,-0.078758,0.805741,0.398659,0.280684,0.007647,0.804196,0.60503,0.274682,-0.002931,0.965059,0.343254,0.463806,-0.009764,0.798336,0.599246,0.098579,0.015696,0.920698,0.314401,0.686088,0.000327,0.788833,0.550547,-0.071402,-0.013247,0.945489,0.321105,0.716948,0.020955,0.765393,0.668064,0.725066,0.035731,0.768347,0.30564,0.692985,0.026533,0.777636,0.695569,0.699478,0.01764,0.762779,0.315344,0.696278,0.014836,0.776955,0.680785,0.696328,0.015634,0.809015,0.432818,0.618263,0.007364,0.843146,0.570266,0.622741,-0.002898,0.962309,0.4359,0.816691,-0.005606,0.767922,0.619511,0.823986,0.007871,0.902589,0.435175,1.002487,0.006521,0.849834,0.553832,0.996854,0.000248,0.809227,0.416739,1.013335,0.040761,0.80096,0.579208,1.021968,0.02822,0.772386,0.436832,1.034819,-0.01036,0.783338,0.576493,1.042719,-0.028646,0.736661,7,synthetic/chest/senior/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00007.mp4,chest,senior,0,bad_form_sagging_hips,synthetic
0.507559,0.085506,-0.106195,0.810286,0.476435,0.06496,-0.126175,0.789929,0.477916,0.060913,-0.118057,0.790707,0.454954,0.065513,-0.125816,0.764604,0.522783,0.049693,-0.109328,0.795851,0.518173,0.07018,-0.121254,0.773351,0.529816,0.069492,-0.111177,0.822539,0.448477,0.10934,-0.064283,0.824519,0.541451,0.105213,-0.056567,0.793505,0.472255,0.129459,-0.087261,0.789229,0.536367,0.109808,-0.074715,0.764134,0.395172,0.274298,0.00387,0.868189,0.603836,0.302899,0.010919,0.96459,0.342742,0.492877,-0.010724,0.773071,0.57771,0.110753,-0.008324,0.912035,0.341839,0.683355,-0.00523,0.870202,0.441438,0.001332,-0.009076,0.948627,0.313869,0.721146,0.026429,0.777689,0.672626,0.725406,0.009589,0.767941,0.299566,0.70657,0.000903,0.835641,0.702959,0.699034,0.019828,0.833958,0.329214,0.690804,0.021819,0.814897,0.682593,0.703862,0.02308,0.767198,0.418184,0.639348,-0.007876,0.843947,0.585478,0.634215,0.000518,0.930057,0.43227,0.813901,0.002455,0.788514,0.717375,0.793502,-0.016772,0.924497,0.431646,1.009864,-0.003925,0.736227,0.560465,0.993433,-0.004268,0.780564,0.413564,1.023454,0.02139,0.793714,0.577161,1.022864,0.036892,0.777707,0.421438,1.036823,-0.025332,0.80035,0.582175,1.03933,-0.018309,0.802891,8,synthetic/chest/senior/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00008.mp4,chest,senior,0,bad_form_sagging_hips,synthetic
0.487936,0.080321,-0.096377,0.772339,0.49689,0.05842,-0.126803,0.819617,0.476926,0.068556,-0.123067,0.773446,0.448793,0.070465,-0.12579,0.858701,0.522748,0.074184,-0.122913,0.767316,0.526698,0.064401,-0.124194,0.807288,0.547221,0.060808,-0.124405,0.786749,0.452268,0.103018,-0.04926,0.843576,0.553326,0.104173,-0.044734,0.794519,0.480483,0.126522,-0.076807,0.813698,0.523963,0.118224,-0.068975,0.814705,0.408876,0.27644,0.002912,0.811278,0.598433,0.285213,-0.011254,0.959598,0.352002,0.473446,0.000924,0.778837,0.583911,0.106759,0.006738,0.984957,0.334869,0.680281,-0.009789,0.79239,0.503551,-0.043881,-0.017756,0.967569,0.330586,0.727847,0.01479,0.757116,0.684585,0.731196,0.027682,0.811628,0.310007,0.69369,0.02109,0.786916,0.692295,0.696114,0.017418,0.805447,0.308999,0.696607,0.022468,0.764565,0.679429,0.697104,0.011703,0.783034,0.427328,0.617525,0.011981,0.803238,0.563201,0.617355,0.005576,0.953124,0.429912,0.826714,-0.007284,0.767934,0.653304,0.814666,0.012466,0.925908,0.426089,0.980794,0.004463,0.771569,0.56988,1.007657,-0.000943,0.81408,0.424418,1.020975,0.00366,0.831784,0.576126,1.012164,0.024273,0.815549,0.430348,1.038249,-0.01565,0.804216,0.57094,1.03911,-0.031942,0.837809,9,synthetic/chest/senior/bad_form_sagging_hips,synthetic_bad_form_sagging_hips_00009.mp4,chest,senior,0,bad_form_sagging_hips,synthetic
