landmark_0_x,landmark_0_y,landmark_0_z,landmark_0_visibility,landmark_1_x,landmark_1_y,landmark_1_z,landmark_1_visibility,landmark_2_x,landmark_2_y,landmark_2_z,landmark_2_visibility,landmark_3_x,landmark_3_y,landmark_3_z,landmark_3_visibility,landmark_4_x,landmark_4_y,landmark_4_z,landmark_4_visibility,landmark_5_x,landmark_5_y,landmark_5_z,landmark_5_visibility,landmark_6_x,landmark_6_y,landmark_6_z,landmark_6_visibility,landmark_7_x,landmark_7_y,landmark_7_z,landmark_7_visibility,landmark_8_x,landmark_8_y,landmark_8_z,landmark_8_visibility,landmark_9_x,landmark_9_y,landmark_9_z,landmark_9_visibility,landmark_10_x,landmark_10_y,landmark_10_z,landmark_10_visibility,landmark_11_x,landmark_11_y,landmark_11_z,landmark_11_visibility,landmark_12_x,landmark_12_y,landmark_12_z,landmark_12_visibility,landmark_13_x,landmark_13_y,landmark_13_z,landmark_13_visibility,landmark_14_x,landmark_14_y,landmark_14_z,landmark_14_visibility,landmark_15_x,landmark_15_y,landmark_15_z,landmark_15_visibility,landmark_16_x,landmark_16_y,landmark_16_z,landmark_16_visibility,landmark_17_x,landmark_17_y,landmark_17_z,landmark_17_visibility,landmark_18_x,landmark_18_y,landmark_18_z,landmark_18_visibility,landmark_19_x,landmark_19_y,landmark_19_z,landmark_19_visibility,landmark_20_x,landmark_20_y,landmark_20_z,landmark_20_visibility,landmark_21_x,landmark_21_y,landmark_21_z,landmark_21_visibility,landmark_22_x,landmark_22_y,landmark_22_z,landmark_22_visibility,landmark_23_x,landmark_23_y,landmark_23_z,landmark_23_visibility,landmark_24_x,landmark_24_y,landmark_24_z,landmark_24_visibility,landmark_25_x,landmark_25_y,landmark_25_z,landmark_25_visibility,landmark_26_x,landmark_26_y,landmark_26_z,landmark_26_visibility,landmark_27_x,landmark_27_y,landmark_27_z,landmark_27_visibility,landmark_28_x,landmark_28_y,landmark_28_z,landmark_28_visibility,landmark_29_x,landmark_29_y,landmark_29_z,landmark_29_visibility,landmark_30_x,landmark_30_y,landmark_30_z,landmark_30_visibility,landmark_31_x,landmark_31_y,landmark_31_z,landmark_31_visibility,landmark_32_x,landmark_32_y,landmark_32_z,landmark_32_visibility,frame,video_path,video_file,exercise_type,age_group,label,form_type,augmentation
0.507583,0.072971,-0.098375,0.820067,0.470218,0.05599,-0.120172,0.788303,0.485261,0.057319,-0.132499,0.803332,0.455097,0.078492,-0.114301,0.810312,0.523881,0.053173,-0.115369,0.795186,0.53933,0.060127,-0.116878,0.821846,0.534814,0.066003,-0.121301,0.817074,0.43442,0.099792,-0.044067,0.787419,0.562661,0.100909,-0.053485,0.733416,0.479858,0.125696,-0.078179,0.805928,0.515986,0.107739,-0.083901,0.806673,0.398616,0.276169,-0.003536,0.824409,0.617362,0.265587,0.016912,1.0,0.350656,0.477105,0.000638,0.764648,0.617633,0.083335,0.005116,0.998542,0.33729,0.674291,-0.008272,0.807294,0.499685,-0.044318,0.014037,0.95063,0.332662,0.72702,0.027195,0.798257,0.670538,0.717493,0.01671,0.841587,0.308342,0.689564,0.028326,0.785291,0.689828,0.701418,0.028514,0.794996,0.315091,0.683638,0.018785,0.769984,0.676863,0.686167,0.021196,0.801271,0.425176,0.618832,-0.000736,0.837951,0.565967,0.625138,0.007717,0.910424,0.435728,0.824335,-0.000204,0.828257,0.56769,0.832194,0.00437,0.970929,0.424799,1.005336,0.007569,0.796012,0.570665,0.997604,-0.006504,0.827579,0.4217,1.031806,0.018241,0.834565,0.580631,1.030363,0.022358,0.809888,0.434659,1.032006,-0.012782,0.83102,0.568422,1.033603,-0.041793,0.81573,0,synthetic/chest/senior/good_form,synthetic_good_form_00000.mp4,chest,senior,1,good_form,synthetic
0.496342,0.076431,-0.104434,0.74445,0.479274,0.059847,-0.110621,0.779355,0.464225,0.07082,-0.129738,0.812466,0.455116,0.063017,-0.121578,0.770476,0.529802,0.049018,-0.105296,0.76692,0.533006,0.059272,-0.126786,0.800057,0.536187,0.059255,-0.120437,0.806841,0.458391,0.097404,-0.063007,0.783245,0.55089,0.112779,-0.054546,0.789786,0.488841,0.111412,-0.083909,0.841478,0.522455,0.124293,-0.070456,0.768614,0.388843,0.275822,0.005199,0.801089,0.607172,0.259657,-0.011487,0.964818,0.352544,0.489701,-0.009728,0.804499,0.594435,0.063997,0.015929,0.978282,0.337817,0.681724,0.006114,0.791321,0.434023,0.007085,0.004663,0.976322,0.317475,0.725962,0.019468,0.784197,0.689726,0.71559,0.02782,0.756917,0.310052,0.699068,0.022085,0.782835,0.695125,0.708438,0.033378,0.776963,0.322139,0.702269,0.003315,0.782683,0.682896,0.700511,0.026655,0.753042,0.431839,0.61328,-0.004298,0.777939,0.577369,0.621049,-0.010994,0.999561,0.420972,0.818875,0.006487,0.760219,0.583396,0.836512,0.008322,0.950688,0.430545,1.004738,0.011072,0.794767,0.589358,1.001799,-0.005131,0.796854,0.423113,1.007638,0.036274,0.828009,0.593709,1.033973,0.030927,0.828634,0.433103,1.039542,-0.014794,0.818416,0.572765,1.048688,-0.021981,0.794183,1,synthetic/chest/senior/good_form,synthetic_good_form_00001.mp4,chest,senior,1,good_form,synthetic
0.483643,0.077123,-0.102092,0.79136,0.479997,0.061804,-0.122963,0.815624,0.459299,0.060339,-0.122394,0.818788,0.454688,0.06976,-0.1218,0.820823,0.520456,0.053326,-0.113439,0.758713,0.525976,0.068399,-0.122882,0.805524,0.538552,0.083129,-0.113633,0.788359,0.450243,0.096244,-0.056044,0.818394,0.543196,0.093797,-0.045964,0.805438,0.467496,0.112619,-0.088356,0.841116,0.513447,0.105805,-0.082923,0.835316,0.394489,0.279809,0.004813,0.789171,0.607665,0.259322,0.004226,0.997361,0.34331,0.468117,-0.001708,0.810437,0.581772,0.070314,-0.0077,0.970655,0.329959,0.682744,-0.01434,0.748832,0.409784,0.094344,-0.009427,0.963612,0.323946,0.718451,0.009046,0.794626,0.677907,0.72118,0.024757,0.807538,0.299558,0.695529,0.032912,0.759339,0.69166,0.700064,0.017605,0.815218,0.306108,0.696453,0.016005,0.864651,0.681485,0.702292,0.02206,0.798086,0.426782,0.617519,0.005524,0.791285,0.55986,0.628623,-0.014997,0.89936,0.44016,0.831086,0.005416,0.761182,0.552866,0.832087,0.006922,0.951059,0.419082,1.021982,0.003203,0.812233,0.575041,1.004847,0.012944,0.810969,0.421354,1.017311,0.016445,0.793974,0.579646,1.03162,0.009511,0.794858,0.43304,1.054654,-0.020364,0.801561,0.588983,1.021457,-0.027893,0.797756,2,synthetic/chest/senior/good_form,synthetic_good_form_00002.mp4,chest,senior,1,good_form,synthetic
0.494648,0.091029,-0.091234,0.887172,0.476474,0.05186,-0.108483,0.801025,0.467507,0.065227,-0.119236,0.75741,0.465184,0.067969,-0.121187,0.803667,0.518748,0.057444,-0.129362,0.778089,0.53711,0.058904,-0.121814,0.79071,0.533841,0.054202,-0.120333,0.794885,0.451638,0.085997,-0.043953,0.829782,0.548152,0.116505,-0.046928,0.823406,0.488306,0.1222,-0.071283,0.758959,0.516366,0.122447,-0.074608,0.785472,0.397594,0.291509,-0.013613,0.817073,0.58034,0.280298,-0.001715,0.889716,0.356661,0.464036,-0.010486,0.844228,0.54163,0.098126,0.002918,0.963406,0.340036,0.672865,-0.006167,0.837913,0.417335,-0.010192,0.002193,0.935516,0.326078,0.706366,0.021405,0.822161,0.676016,0.723775,0.041061,0.790973,0.313248,0.701234,0.020151,0.805763,0.69683,0.708198,0.014204,0.812873,0.315499,0.70211,0.024914,0.773419,0.672025,0.70384,0.022194,0.856846,0.43565,0.619226,-0.007727,0.789717,0.568302,0.611418,0.008674,0.940202,0.43219,0.810059,-0.000472,0.757391,0.59247,0.822089,-0.006094,0.881275,0.4294,0.998143,0.008303,0.787525,0.555768,1.00153,-0.01629,0.869719,0.419226,1.022871,0.007597,0.838101,0.581929,1.028553,0.014329,0.80483,0.426362,1.046176,-0.014428,0.79873,0.561129,1.036945,-0.022913,0.800961,3,synthetic/chest/senior/good_form,synthetic_good_form_00003.mp4,chest,senior,1,good_form,synthetic
0.508963,0.082784,-0.095291,0.80813,0.480326,0.053503,-0.116916,0.854612,0.476258,0.055186,-0.129519,0.838105,0.457829,0.07506,-0.120613,0.832725,0.513509,0.064994,-0.118907,0.80148,0.531627,0.07451,-0.124407,0.814953,0.538292,0.076586,-0.127037,0.731473,0.450625,0.104523,-0.047055,0.765728,0.563891,0.101909,-0.045058,0.754373,0.471056,0.124674,-0.085421,0.823607,0.51285,0.113028,-0.083892,0.800013,0.410356,0.280254,-0.004536,0.859694,0.609356,0.284105,0.000669,0.981146,0.362262,0.490801,-0.000906,0.805001,0.587064,0.09342,0.001571,0.999243,0.335111,0.661962,0.013797,0.816088,0.492579,-0.047327,0.008815,0.97541,0.317709,0.736683,0.023409,0.766495,0.671548,0.721473,0.030417,0.81814,0.306366,0.698998,0.018731,0.816021,0.686319,0.695843,0.018082,0.785606,0.321796,0.694205,0.022558,0.772942,0.687026,0.685738,0.029192,0.743051,0.433102,0.615989,-0.005847,0.801362,0.572483,0.626658,0.006963,0.939147,0.429859,0.813849,-0.00364,0.814912,0.569967,0.837722,-0.001978,0.941026,0.438617,1.001218,-0.002191,0.797271,0.568533,0.999298,-0.005685,0.803247,0.432557,1.020738,0.016188,0.810928,0.583938,1.017764,0.024223,0.783825,0.428072,1.034366,-0.025033,0.792789,0.564472,1.046306,-0.024289,0.781571,4,synthetic/chest/senior/good_form,synthetic_good_form_00004.mp4,chest,senior,1,good_form,synthetic
0.5145,0.075016,-0.101977,0.823126,0.470073,0.064305,-0.134325,0.788135,0.469038,0.073367,-0.117428,0.789079,0.458277,0.062451,-0.11273,0.776218,0.522371,0.060044,-0.125789,0.795891,0.539236,0.067509,-0.125122,0.791816,0.533576,0.070766,-0.11528,0.805908,0.451409,0.107928,-0.048253,0.790644,0.570323,0.086773,-0.05246,0.834055,0.494274,0.106135,-0.064854,0.809251,0.50977,0.110878,-0.07172,0.787736,0.387183,0.279245,0.011193,0.84199,0.586428,0.276415,-0.001104,0.943407,0.34847,0.462052,0.006067,0.727979,0.572532,0.089322,0.008033,0.941629,0.339112,0.682292,0.000591,0.783621,0.496713,-0.065216,-0.004771,0.92817,0.327013,0.740025,0.035028,0.851723,0.678886,0.728684,0.021164,0.789641,0.310657,0.704635,0.023071,0.78268,0.683369,0.712811,0.022988,0.786847,0.330094,0.685436,0.017826,0.819648,0.657948,0.696848,0.028746,0.790499,0.420045,0.60577,-0.005027,0.78266,0.549102,0.604257,0.002111,0.952909,0.426818,0.819902,0.007645,0.833902,0.553783,0.816308,-0.010754,0.949209,0.421454,1.011915,-0.009219,0.755067,0.571079,0.987558,0.017963,0.849492,0.429298,1.005727,0.022009,0.768656,0.579913,1.023068,0.020045,0.853171,0.426668,1.031847,-0.030239,0.776871,0.562251,1.057204,-0.027366,0.833402,5,synthetic/chest/senior/good_form,synthetic_good_form_00005.mp4,chest,senior,1,good_form,synthetic
0.491121,0.089935,-0.096732,0.790869,0.467019,0.061801,-0.110355,0.811472,0.454669,0.072412,-0.122267,0.829227,0.454042,0.070392,-0.107062,0.803849,0.529523,0.081941,-0.103312,0.750937,0.543378,0.063195,-0.107113,0.762651,0.533176,0.08636,-0.124525,0.795711,0.45314,0.09671,-0.044584,0.727351,0.552683,0.108074,-0.038458,0.774789,0.472891,0.12476,-0.073178,0.778231,0.519675,0.118353,-0.083638,0.775805,0.400039,0.284128,0.012291,0.813414,0.597067,0.273044,-0.007698,0.949424,0.352039,0.471076,0.015584,0.77492,0.575391,0.084742,-0.012965,0.948154,0.330003,0.689537,0.00727,0.839785,0.449101,-0.030567,-0.006155,0.935018,0.321151,0.733202,0.018604,0.738922,0.672745,0.724112,0.019847,0.815009,0.320014,0.691448,0.0209,0.783544,0.693607,0.705926,0.018003,0.780766,0.326315,0.713735,0.011272,0.801076,0.678703,0.716384,0.020258,0.812684,0.427612,0.625184,0.003732,0.783405,0.574593,0.629963,0.009487,0.95884,0.41445,0.81304,-0.001547,0.79369,0.597375,0.836906,-0.003092,0.896285,0.442444,1.00541,0.007593,0.788142,0.583952,1.020626,0.005515,0.803283,0.428675,1.034364,0.015854,0.78224,0.585568,1.015253,0.028621,0.75763,0.416841,1.035558,-0.022748,0.831408,0.576085,1.025985,-0.015311,0.776705,6,synthetic/chest/senior/good_form,synthetic_good_form_00006.mp4,chest,senior,1,good_form,synthetic
0.493439,0.084933,-0.105438,0.791748,0.485302,0.053527,-0.13293,0.830286,0.474221,0.05223,-0.120195,0.781049,0.460701,0.091779,-0.111982,0.79217,0.510905,0.059336,-0.115812,0.762956,0.524226,0.052646,-0.10894,0.80381,0.544475,0.062125,-0.118262,0.722242,0.451043,0.103868,-0.037192,0.878189,0.532867,0.091899,-0.042325,0.844914,0.466328,0.106614,-0.088424,0.749764,0.522834,0.122528,-0.07685,0.776051,0.391097,0.272788,-0.002106,0.841187,0.591909,0.281123,0.001937,0.922992,0.338121,0.472034,-0.004688,0.807447,0.571445,0.095624,-0.005812,0.9543,0.319696,0.690179,0.009177,0.754731,0.400989,0.053809,-0.00604,0.932146,0.322281,0.730923,0.018926,0.788579,0.683872,0.714643,0.029052,0.809006,0.313747,0.703682,0.004942,0.801817,0.683274,0.708077,0.012274,0.817088,0.322587,0.697857,0.008153,0.765646,0.668074,0.70153,0.005411,0.83475,0.424633,0.614605,-0.017564,0.806832,0.580011,0.603163,-0.001729,0.931867,0.423129,0.82179,-0.000451,0.816517,0.619272,0.809586,0.006565,0.939886,0.415988,0.992457,0.006144,0.788063,0.566389,1.004478,0.007605,0.805344,0.42967,1.021725,0.036072,0.848997,0.570166,1.0269,0.024091,0.768853,0.409131,1.061547,-0.019248,0.80178,0.567357,1.036389,-0.022697,0.831155,7,synthetic/chest/senior/good_form,synthetic_good_form_00007.mp4,chest,senior,1,good_form,synthetic
0.509153,0.084817,-0.102869,0.848228,0.4836,0.056154,-0.108998,0.787615,0.466182,0.051885,-0.117776,0.76005,0.473987,0.07183,-0.114103,0.7954,0.520716,0.063898,-0.115707,0.802896,0.521508,0.060212,-0.109847,0.7991,0.544959,0.059841,-0.117905,0.790486,0.444447,0.106475,-0.055822,0.755253,0.548124,0.084042,-0.052379,0.757475,0.488277,0.120274,-0.080768,0.757382,0.517841,0.117995,-0.072664,0.777661,0.418249,0.272018,-0.003377,0.821847,0.597046,0.278043,-0.001747,0.9438,0.358718,0.476629,-0.010492,0.768137,0.585828,0.093454,-0.000255,0.967802,0.317646,0.679855,0.006802,0.787403,0.417106,0.098033,-0.012669,0.946144,0.303296,0.723091,0.011432,0.78726,0.691807,0.727325,0.022846,0.78537,0.319481,0.701122,0.030541,0.761404,0.690659,0.699692,0.028961,0.758903,0.325265,0.703498,0.020462,0.805124,0.678146,0.711337,0.015192,0.772589,0.434839,0.622808,-0.004424,0.787576,0.566797,0.613873,-0.000339,0.996131,0.426263,0.822711,0.000609,0.847926,0.57106,0.828877,-0.001636,1.0,0.426866,0.998997,0.003864,0.819627,0.580353,1.007533,0.012257,0.788255,0.426262,1.026663,0.03329,0.799008,0.580622,1.018378,0.01681,0.790484,0.424386,1.036218,-0.008237,0.785264,0.572388,1.03286,-0.017442,0.772056,8,synthetic/chest/senior/good_form,synthetic_good_form_00008.mp4,chest,senior,1,good_form,synthetic
0.515632,0.05447,-0.101346,0.877038,0.472618,0.059717,-0.122527,0.828295,0.465994,0.05522,-0.099027,0.815743,0.460598,0.086634,-0.112556,0.810992,0.533882,0.066669,-0.128414,0.762023,0.543165,0.070818,-0.115832,0.778181,0.562178,0.07173,-0.124314,0.815403,0.448052,0.107446,-0.064385,0.838959,0.56186,0.097767,-0.051025,0.763549,0.492132,0.125617,-0.074625,0.798718,0.52562,0.108164,-0.100872,0.812587,0.384765,0.280745,-0.00079,0.760165,0.618342,0.265007,-0.005493,1.0,0.339686,0.478128,-0.006853,0.767012,0.609438,0.080176,-0.011521,0.926107,0.346746,0.685762,-0.017114,0.757324,0.508128,-0.0662,0.008928,0.95667,0.314281,0.713531,0.019304,0.787287,0.674751,0.72363,0.021223,0.841781,0.295663,0.701645,0.023217,0.824678,0.694629,0.708299,0.01147,0.721019,0.331158,0.70519,0.024166,0.806602,0.694145,0.69731,0.025442,0.806462,0.434905,0.626796,0.003021,0.779522,0.570951,0.619488,-0.000256,0.957089,0.440687,0.822255,-0.000255,0.792351,0.582037,0.827867,0.007021,0.976039,0.428392,0.991259,-0.004387,0.766906,0.567509,1.006357,-0.010578,0.779081,0.432158,1.014655,0.010502,0.802425,0.584191,1.032011,0.017172,0.796671,0.416578,1.036134,0.004931,0.804681,0.574959,1.030216,-0.030289,0.773741,9,synthetic/chest/senior/good_form,synthetic_good_form_00009.mp4,chest,senior,1,good_form,synthetic
